;Año	Mes	Abanico
2010	4	52.89804596
2010	5	121.251871
2010	6	414.0770424
2010	7	310.3281184
2010	8	282.3984451
2010	9	57.16177325
2010	10	68.36946236
2010	11	83.43707405
2010	12	79.21447632
2011	1	73.10659242
2011	2	29.9292604
2011	3	90.53192876
2011	4	153.2788854
2011	5	91.78283946
2011	6	362.612545
2011	7	249.1416921
2011	8	408.7411317
2011	9	206.1730908
2011	10	72.28253305
2011	11	57.24113877
2011	12	15.1385279
2012	1	17.05112281
2012	2	75.67020554
2012	3	34.01986106
2012	4	64.49985153
2012	5	213.1998182
2012	6	378.3871036
2012	7	112.7492935
2012	8	166.2161842
2012	9	90.0736408
2012	10	82.00930875
2012	11	99.93845061
2012	12	184.155645
2013	1	13.15161188
2013	2	43.70801424
2013	3	53.53883181
2013	4	61.27152302
2013	5	342.6122707
2013	6	323.2747395
2013	7	209.2822747
2013	8	269.5874733
2013	9	179.957086
2013	10	143.5004195
2013	11	52.90952742
2013	12	15.1385279
2014	1	39.55455046
2014	2	53.08208448
2014	3	136.4479838
2014	4	135.9266197
2014	5	238.899555
2014	6	460.7105813
2014	7	339.245735
2014	8	283.8120695
2014	9	249.6394538
2014	10	43.99662209
2014	11	25.16658808
2014	12	47.57977731
2015	1	7.058626049
2015	2	2.258812106
2015	3	15.43036511
2015	4	85.48398681
2015	5	125.592271
2015	6	409.1474928
2015	7	390.3805212
2015	8	384.9745704
2015	9	208.4428748
2015	10	225.5631019
2015	11	70.0297056
2015	12	21.85978123
2016	1	15.58880621
2016	2	0
2016	3	45.45240107
2016	4	175.2718734
2016	5	71.33727107
2016	6	89.90986312
2016	7	339.8391755
2016	8	240.4314687
2016	9	64.53857115
2016	10	158.1727904
2016	11	135.1312761
2016	12	72.94130655
2017	1	45.64753629
2017	2	47.77387603
2017	3	40.34028968
2017	4	126.8469458
2017	5	151.2920078
2017	6	379.5701955
2017	7	241.0313392
2017	8	343.5377032
2017	9	193.9162574
2017	10	289.178451
2017	11	99.7321834
2017	12	59.94688344
2018	1	27.77477786
2018	2	34.44688461
2018	3	114.0476411
2018	4	176.7851524
2018	5	262.885976
2018	6	297.4438997
2018	7	135.0033106
2018	8	173.195955
2018	9	330.4437631
2018	10	155.7986417
2018	11	196.8840379
2018	12	70.70088877
2019	1	39.39207084
2019	2	7.90584237
2019	3	35.87881066
