;Año	Mes	Diguillin
2009	10	9.53
2009	11	8.98
2009	12	14.94
2010	1	18.49
2010	2	16.8
2010	3	17.1
2010	4	13.14
2010	5	8.83
2010	6	8.52
2010	7	4.93
2010	8	7.72
2010	9	9.36
2010	10	11.91
2010	11	14.87
2010	12	15.74
2011	1	18.05
2011	2	18.05
2011	3	15.4
2011	4	12.74
2011	5	11.44
2011	6	8.47
2011	7	4.98
2011	8	4.62
2011	9	7.83
2011	10	8.64
2011	11	11.42
2011	12	14.71
2012	1	20.63
2012	2	20.19
2012	3	18.84
2012	4	14
2012	5	12.29
2012	6	7.98
2012	7	5.62
2012	8	4.71
2012	9	7.29
2012	10	10.72
2012	11	15.13
2012	12	14.05
2013	1	20.47
2013	2	17.91
2013	3	15.76
2013	4	13.25
2013	5	9.52
2013	6	8.12
2013	7	8.1
2013	8	7.91
2013	9	8.78
2013	10	11.62
2013	11	13.94
2013	12	18.05
2014	1	18.66
2014	2	17.33
2014	3	14.7
2014	4	10.59
2014	5	8.82
2014	6	7.06
2014	7	6.61
2014	8	9.01
2014	9	8.58
2014	10	11.9
2014	11	13.3
2014	12	16.35
2015	1	20.05
2015	2	17.67
2015	3	15.9
2015	4	12.11
2015	5	8.89
2015	6	7.07
2015	7	6.79
2015	8	7.37
2015	9	8.52
2015	10	9.36
2015	11	11.85
2015	12	16.66
2016	1	18.51
2016	2	18.25
2016	3	16.92
2016	4	10.49
2016	5	9.31
2016	6	6.65
2016	7	6.49
2016	8	8.4
2016	9	11.91
2016	10	10.9
2016	11	13.41
2016	12	15.08
2017	1	19.58
2017	2	17.065
2017	3	14.55
2017	4	11.15
2017	5	7.92
2017	6	6.38
2017	7	7.42
2017	8	6.26
2017	9	8.94
2017	10	9.53
2017	11	13.22
2017	12	16.95
2018	1	18.53
2018	2	18.28
2018	3	13.8
2018	4	9.61
2018	5	9.3
2018	6	6.149776313
2018	7	7.012902813
2018	8	8.091810938
2018	9	11.54431694
2018	10	12.83900669
2018	11	16.29151269
2018	12	19.8519095
2019	1	21.14659925
2019	2	20.21
2019	3	18.25

