Datetime,LagunaMaule,LagunaInvernada,EmbalseMelado,EmbalseColbun,EmbalseMachicura,residual,GarzasySuizasRiego,GarzasySuizasRemanente,TrasvaceMeladoAncoaRiego,TrasvaceMeladoAncoaRemanente,AsociacionCanalMauleRiego,AsociacionCanalMauleRemanente,CooperativaDeRiegoRiego,CooperativaDeRiegoRemanente,SORPAMRiego,SORPAMRemanente,ParticularesRiberaSurRiego,ParticularesRiberaSurRemanente,ParticularesRiberaNorteRiego,ParticularesRiberaNorteRemanente
2019-04-01T00:00:00,539738863.343825,366448.4589410705,135000000.0,1544000000.0,42000000.0,32903626.961532,19422.72,0.0,197290.97642000148,0.0,1461151.0721298289,0.0,710001.5866525266,0.0,475146.2789187866,0.0,41214.38176317201,0.0,26882.71594894009,0.0
2019-05-01T00:00:00,319172807.18873775,161494.24576457607,102000000.0,1544000000.0,42000000.0,29714566.966245905,9711.36,0.0,95464.13940174013,212166.51659825988,707014.2394138544,209897.1205861456,343551.90325259056,451086.1767474094,229911.32909372423,335352.03090627573,19942.602329769335,58266.67767023067,13007.869844912091,6311.17015508791
2019-06-01T00:00:00,382226136.71186984,75741.65879803087,127730752.25772128,1544000000.0,42000000.0,13705281.496617446,9711.36,0.0,98645.48821000074,174495.15178999928,730575.5360649144,186335.82393508562,355000.7933262633,439637.28667373664,237573.1394593933,327690.22054060665,20607.190881586004,57602.08911841399,13441.357974470046,5877.682025529955
2019-07-01T00:00:00,432601323.67108655,35015.450314909336,135000000.0,1544000000.0,42000000.0,11089569.754614763,9711.36,0.0,95464.13940174013,100320.85259825984,707014.2394138544,209897.1205861456,343551.90325259056,451086.1767474094,229911.32909372423,335352.03090627573,19942.602329769335,58266.67767023067,13007.869844912091,6311.17015508791
2019-08-01T00:00:00,464221270.52924067,15595.920409398386,135000000.0,1544000000.0,42000000.0,11434496.156799627,9711.36,0.0,95464.13940174013,139950.80459825986,707014.2394138544,209897.1205861456,343551.90325259056,451086.1767474094,229911.32909372423,335352.03090627573,19942.602329769335,58266.67767023067,13007.869844912091,6311.17015508791
2019-09-01T00:00:00,444511442.0293496,6556.615334067028,135000000.0,1544000000.0,42000000.0,6257182.6466577,14567.04,0.0,140493.312,0.0,1095863.3040973716,279503.7359026284,532501.189989395,659455.9300106051,356359.70918908995,491535.3308109101,30910.786322378997,86403.133677621,20162.036961705067,8816.523038294934
2019-10-01T00:00:00,346864038.67040247,2593.149291571637,135000000.0,1544000000.0,42000000.0,0.0,33989.759999999995,0.0,90961.056,0.0,2474549.83794849,734639.9220515103,1202431.661384067,1578801.6186159328,804689.6518280348,1173732.1081719652,69799.10815419267,203933.37184580736,45527.54445719233,22089.09554280767
2019-11-01T00:00:00,228737307.8284399,915.398477601877,102000000.0,1488945143.2515788,42000000.0,0.0,43701.119999999995,0.0,76104.31680000002,0.0,3287589.9122921145,838511.2077078854,1597503.569968185,1978367.790031815,1069079.1275672698,1474605.9924327298,92732.358967137,259209.401032863,60486.11088511521,26449.56911488479
2019-12-01T00:00:00,183325914.36703795,280.1132047192659,102000000.0,1232851815.9814405,42000000.0,0.0,48556.8,0.0,55294.5312,0.0,3535071.197069272,1049485.6029307276,1717759.516262953,2255430.8837370463,1149556.6454686213,1676760.1545313785,99713.01164884667,291333.38835115335,65039.34922456047,31555.850775439532
2020-01-01T00:00:00,170000000.0,83.83827472332632,102000000.0,1085793541.1037843,42000000.0,0.0,48556.8,0.0,48455.1936,0.0,3535071.197069272,1049485.6029307276,1717759.516262953,2255430.8837370463,1149556.6454686213,1676760.1545313785,99713.01164884667,291333.38835115335,65039.34922456047,31555.850775439532
2020-02-01T00:00:00,170000000.0,24.914212419709656,102000000.0,903723335.5745502,42000000.0,0.0,43701.119999999995,0.0,38379.312,0.0,3522424.808076098,603676.3119239018,1711614.3910792235,1864256.9689207764,1145444.2133002572,1398240.9066997424,99356.297607546,252585.46239245398,64806.676991300046,22129.003008699954
2020-03-01T00:00:00,170000000.0,8.508236353110988,102000000.0,767363730.1593684,42000000.0,0.0,29134.08,0.0,32060.1888,0.0,2121042.718241563,629691.361758437,1030655.7097577718,1353258.5302422284,689733.9872811727,1006056.0927188274,59827.806989307996,174800.033010692,39023.60953473627,18933.51046526373
2020-04-01T00:00:00,170000000.0,3.3795227665104903,102000000.0,721195241.8515192,42000000.0,0.0,19422.72,0.0,45734.0256,0.0,1461151.0721298289,372671.64787017123,710001.5866525266,879274.5733474733,475146.2789187866,655380.4410812133,41214.38176317201,115204.17823682798,26882.71594894009,11755.36405105991
2020-05-01T00:00:00,170000000.0,1.4893594647292048,102000000.0,959484734.5046186,42000000.0,0.0,9711.36,0.0,95464.13940174013,128565.87659825987,707014.2394138544,209897.1205861456,343551.90325259056,451086.1767474094,229911.32909372423,335352.03090627573,19942.602329769335,58266.67767023067,13007.869844912091,6311.17015508791
2020-06-01T00:00:00,170000000.0,0.6985174987930804,102000000.0,1135180860.7377772,42000000.0,0.0,9711.36,0.0,98645.48821000074,60713.26378999927,730575.5360649144,186335.82393508562,355000.7933262633,439637.28667373664,237573.1394593933,327690.22054060665,20607.190881586004,57602.08911841399,13441.357974470046,5877.682025529955
2020-07-01T00:00:00,170000000.0,0.3229253910249099,102000000.0,1421278794.5139751,42000000.0,0.0,9711.36,0.0,95464.13940174013,115794.22859825988,707014.2394138544,209897.1205861456,343551.90325259056,451086.1767474094,229911.32909372423,335352.03090627573,19942.602329769335,58266.67767023067,13007.869844912091,6311.17015508791
