#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1975,6,28.3,656.70,659.50,662.20,665.00,668.70,-1.61,-0.45,0.71,1.87,3.42
1975,7,30.8,998.00,1002.20,1006.40,1010.60,1016.30,-2.30,-1.41,-0.51,0.38,1.58
1975,8,24.9,168.70,169.50,170.20,170.90,171.80,-1.44,-0.52,0.39,1.31,2.54
1975,9,33.6,49.50,49.70,49.90,50.10,50.40,-0.16,1.03,2.22,3.41,5.01
1975,10,38.4,45.70,45.90,46.10,46.20,46.50,3.09,4.19,5.30,6.40,7.88
1975,11,64.5,107.70,108.10,108.60,109.00,109.70,4.82,6.03,7.24,8.45,10.07
1975,12,85.1,58.70,58.90,59.10,59.40,59.70,9.29,10.32,11.34,12.37,13.74
1976,1,58.4,0.00,0.00,0.00,0.00,0.00,11.54,12.47,13.41,14.35,15.60
1976,2,37,14.40,14.50,14.50,14.60,14.70,12.64,13.32,14.01,14.69,15.61
1976,3,29.9,12.50,12.60,12.60,12.70,12.70,10.26,10.92,11.58,12.24,13.13
1976,4,24.4,1.90,1.90,1.90,1.90,1.90,6.81,7.64,8.46,9.28,10.39
1976,5,22.2,166.80,167.90,168.90,170.00,171.40,1.77,2.82,3.87,4.92,6.33
1976,6,22.6,515.40,518.70,522.10,525.40,529.80,-1.54,-0.43,0.68,1.79,3.28
1976,7,20.5,123.90,124.70,125.50,126.30,127.40,-2.71,-1.66,-0.61,0.44,1.85
1976,8,19.1,109.30,110.00,110.70,111.40,112.40,-1.56,-0.57,0.42,1.41,2.74
1976,9,21.1,300.10,302.00,304.00,305.90,308.50,-0.16,1.04,2.24,3.44,5.05
1976,10,26.6,310.90,312.90,315.00,317.00,319.60,3.16,4.29,5.41,6.54,8.05
1976,11,47,173.80,175.00,176.10,177.20,178.70,5.31,6.64,7.98,9.31,11.10
1976,12,51.4,74.40,74.90,75.40,75.90,76.50,9.02,10.01,11.00,12.00,13.33
1977,1,38,39.10,39.40,39.60,39.90,40.20,11.51,12.45,13.38,14.32,15.57
1977,2,27.8,0.00,0.00,0.00,0.00,0.00,12.54,13.22,13.90,14.58,15.49
1977,3,24.6,14.40,14.50,14.60,14.70,14.80,10.80,11.49,12.19,12.89,13.82
1977,4,22,61.30,61.50,61.80,62.00,62.30,7.13,7.99,8.85,9.71,10.87
1977,5,26.7,304.70,305.80,307.00,308.10,309.70,2.06,3.28,4.50,5.73,7.37
1977,6,25.6,595.50,597.80,600.00,602.30,605.30,-1.65,-0.46,0.73,1.92,3.52
1977,7,28.2,1086.50,1090.60,1094.70,1098.80,1104.30,-2.73,-1.67,-0.61,0.45,1.87
1977,8,24.9,373.90,375.30,376.70,378.10,380.00,-1.86,-0.68,0.51,1.69,3.28
1977,9,28.6,111.00,111.40,111.90,112.30,112.80,-0.20,1.26,2.72,4.18,6.14
1977,10,45.4,312.10,313.30,314.50,315.60,317.20,3.65,4.95,6.25,7.55,9.30
1977,11,70.5,265.80,266.80,267.80,268.80,270.10,5.39,6.74,8.09,9.45,11.26
1977,12,102,7.90,7.90,8.00,8.00,8.00,10.08,11.19,12.30,13.41,14.90
1978,1,76.6,1.40,1.50,1.50,1.50,1.50,11.73,12.69,13.64,14.59,15.87
1978,2,46.6,9.20,9.20,9.20,9.30,9.30,12.57,13.25,13.93,14.61,15.52
