#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1992,11,83.3,24.00,24.10,24.20,24.40,24.50,5.26,6.59,7.91,9.23,11.00
1992,12,98.9,2.90,2.90,2.90,2.90,2.90,9.05,10.05,11.05,12.04,13.38
1993,1,72.6,8.30,8.40,8.40,8.40,8.50,12.00,12.98,13.95,14.93,16.24
1993,2,48.3,0.00,0.00,0.00,0.00,0.00,13.90,14.65,15.40,16.15,17.16
1993,3,35.8,0.00,0.00,0.00,0.00,0.00,12.08,12.86,13.64,14.42,15.47
1993,4,30.4,148.80,149.80,150.70,151.60,152.80,7.11,7.97,8.83,9.69,10.84
1993,5,38,489.10,492.10,495.10,498.10,502.10,1.68,2.68,3.68,4.68,6.02
1993,6,41.7,662.40,666.40,670.50,674.50,680.00,-1.84,-0.51,0.81,2.13,3.91
1993,7,33.5,211.60,212.90,214.20,215.50,217.20,-2.76,-1.69,-0.62,0.45,1.89
1993,8,28.6,176.40,177.50,178.60,179.70,181.10,-1.91,-0.70,0.52,1.74,3.37
1993,9,28,36.80,37.00,37.20,37.40,37.70,-0.18,1.15,2.47,3.80,5.58
1993,10,39.3,61.80,62.20,62.60,62.90,63.40,3.25,4.41,5.57,6.73,8.29
1993,11,64.8,31.70,31.90,32.00,32.20,32.50,5.09,6.36,7.64,8.92,10.63
1993,12,72.2,107.20,107.80,108.50,109.10,110.00,9.15,10.16,11.17,12.17,13.53
1994,1,55.2,0.00,0.00,0.00,0.00,0.00,11.76,12.71,13.67,14.62,15.90
1994,2,37.4,0.00,0.00,0.00,0.00,0.00,12.70,13.38,14.07,14.75,15.67
1994,3,30.7,2.50,2.50,2.50,2.50,2.50,11.68,12.43,13.19,13.94,14.95
1994,4,27.5,210.40,211.70,212.90,214.20,215.90,6.95,7.79,8.63,9.47,10.60
1994,5,25.5,230.40,231.80,233.20,234.60,236.50,1.90,3.02,4.15,5.28,6.80
1994,6,28.6,404.80,407.20,409.70,412.10,415.40,-2.01,-0.56,0.89,2.33,4.28
1994,7,32.6,789.40,794.20,798.90,803.70,810.00,-3.14,-1.92,-0.70,0.52,2.15
1994,8,28.3,46.30,46.50,46.80,47.10,47.50,-1.68,-0.61,0.46,1.53,2.97
1994,9,29,155.80,156.70,157.70,158.60,159.90,-0.20,1.28,2.76,4.24,6.23
1994,10,40.5,50.50,50.80,51.10,51.40,51.80,3.36,4.56,5.75,6.95,8.56
1994,11,69.1,11.40,11.40,11.50,11.60,11.60,5.40,6.76,8.12,9.48,11.30
1994,12,68.6,61.00,61.40,61.80,62.10,62.60,9.48,10.52,11.57,12.61,14.01
1995,1,45.3,0.00,0.00,0.00,0.00,0.00,11.48,12.41,13.34,14.27,15.52
1995,2,30.8,5.70,5.70,5.70,5.80,5.80,12.77,13.46,14.15,14.84,15.77
1995,3,30,0.00,0.00,0.00,0.00,0.00,10.84,11.54,12.24,12.94,13.88
1995,4,27.7,321.80,323.60,325.40,327.20,329.60,7.31,8.20,9.08,9.97,11.15
1995,5,25.8,91.70,92.20,92.70,93.20,93.90,1.97,3.14,4.31,5.49,7.06
1995,6,33.3,584.20,587.40,590.70,593.90,598.30,-1.89,-0.53,0.83,2.20,4.02
1995,7,28.8,643.80,647.40,651.00,654.60,659.40,-2.50,-1.53,-0.56,0.41,1.71
1995,8,26,303.00,304.70,306.40,308.10,310.30,-1.67,-0.61,0.45,1.52,2.94
1995,9,31.6,76.00,76.40,76.80,77.30,77.80,-0.18,1.12,2.41,3.70,5.44
1995,10,39.3,61.70,62.10,62.40,62.80,63.20,3.22,4.37,5.52,6.67,8.21
1995,11,86,0.90,1.00,1.00,1.00,1.00,5.16,6.45,7.75,9.04,10.78
1995,12,90,0.00,0.00,0.00,0.00,0.00,10.27,11.40,12.53,13.67,15.18
1996,1,51.9,1.90,1.90,1.90,1.90,1.90,11.06,11.95,12.85,13.75,14.95
1996,2,37,1.90,1.90,1.90,1.90,1.90,12.67,13.35,14.04,14.72,15.64
1996,3,29.2,39.80,40.00,40.20,40.50,40.80,11.03,11.74,12.45,13.16,14.12
1996,4,26.5,64.00,64.60,65.30,66.00,66.90,6.43,7.20,7.98,8.76,9.80
1996,5,24.4,102.70,103.80,104.90,106.00,107.50,1.69,2.70,3.71,4.71,6.07
1996,6,24.3,316.60,320.00,323.40,326.80,331.40,-1.49,-0.42,0.66,1.73,3.18
1996,7,19.5,119.80,121.00,122.30,123.60,125.30,-3.23,-1.98,-0.72,0.53,2.22
1996,8,21.7,374.70,378.70,382.70,386.80,392.20,-1.93,-0.70,0.53,1.75,3.40
1996,9,22.6,16.30,16.50,16.70,16.90,17.10,-0.18,1.16,2.50,3.85,5.65
1996,10,33.9,29.90,30.30,30.60,30.90,31.30,3.37,4.57,5.77,6.97,8.58
1996,11,34,34.90,35.30,35.70,36.10,36.60,5.58,6.98,8.38,9.78,11.65
1996,12,23.6,7.30,7.30,7.40,7.50,7.60,8.60,9.55,10.49,11.44,12.71
1997,1,19.2,0.00,0.00,0.00,0.00,0.00,11.76,12.72,13.67,14.63,15.91
1997,2,18.2,27.20,27.50,27.80,28.10,28.50,12.91,13.61,14.30,15.00,15.94
1997,3,16.8,3.60,3.70,3.70,3.70,3.80,11.76,12.52,13.28,14.04,15.06
1997,4,19.1,310.90,312.00,313.10,314.10,315.50,7.65,8.58,9.50,10.43,11.67
1997,5,19.8,309.00,310.10,311.10,312.20,313.60,1.98,3.15,4.33,5.51,7.09
1997,6,26.5,1001.80,1005.20,1008.60,1012.00,1016.60,-1.48,-0.41,0.65,1.71,3.14
1997,7,25.5,375.80,377.10,378.40,379.70,381.40,-3.43,-2.10,-0.77,0.56,2.35
1997,8,31.2,317.70,318.80,319.90,321.00,322.40,-2.10,-0.76,0.57,1.91,3.70
1997,9,39.8,535.70,537.50,539.30,541.10,543.60,-0.16,1.02,2.20,3.37,4.95
1997,10,39,507.60,509.30,511.00,512.80,515.10,2.92,3.96,5.00,6.04,7.44
1997,11,74.7,77.50,77.80,78.00,78.30,78.60,5.00,6.26,7.51,8.77,10.46
1997,12,109.7,31.00,31.10,31.20,31.30,31.50,8.90,9.88,10.86,11.85,13.16
1998,1,91,0.00,0.00,0.00,0.00,0.00,11.26,12.17,13.09,14.00,15.23
1998,2,60.6,0.00,0.00,0.00,0.00,0.00,12.77,13.46,14.15,14.84,15.77
1998,3,42.6,0.00,0.00,0.00,0.00,0.00,10.64,11.33,12.02,12.70,13.62
1998,4,36.8,175.50,178.70,181.80,185.00,189.20,6.56,7.35,8.14,8.93,10.00
1998,5,31.5,108.00,110.00,111.90,113.90,116.50,2.19,3.49,4.79,6.10,7.85
1998,6,26.9,129.00,131.30,133.60,135.90,139.00,-1.47,-0.41,0.65,1.71,3.12
1998,7,22.8,36.70,37.40,38.00,38.70,39.60,-2.66,-1.63,-0.60,0.44,1.82
1998,8,21.1,56.40,57.40,58.40,59.40,60.80,-1.51,-0.55,0.41,1.37,2.66
1998,9,20.2,102.50,104.30,106.20,108.00,110.50,-0.17,1.09,2.35,3.61,5.31
1998,10,23,0.00,0.00,0.00,0.00,0.00,3.70,5.03,6.35,7.67,9.44
1998,11,21.9,0.00,0.00,0.00,0.00,0.00,5.27,6.59,7.91,9.24,11.01
1998,12,19.1,15.40,15.70,15.90,16.20,16.60,9.69,10.76,11.83,12.90,14.33
1999,1,17.3,0.00,0.00,0.00,0.00,0.00,11.88,12.84,13.81,14.77,16.07
1999,2,15.8,14.50,14.80,15.00,15.30,15.70,13.59,14.33,15.06,15.79,16.78
1999,3,15.1,18.80,19.10,19.50,19.80,20.30,10.42,11.10,11.77,12.44,13.35
1999,4,14.1,32.50,32.70,32.90,33.10,33.40,6.63,7.43,8.24,9.04,10.11
1999,5,14,138.50,139.40,140.30,141.20,142.40,1.48,2.35,3.23,4.11,5.29
1999,6,14.6,481.40,484.50,487.70,490.80,494.90,-1.02,-0.29,0.45,1.18,2.17
1999,7,13.9,143.20,144.10,145.10,146.00,147.20,-1.26,-0.77,-0.28,0.21,0.86
1999,8,14.5,407.90,410.60,413.20,415.90,419.40,-2.03,-0.74,0.55,1.84,3.57
1999,9,18.4,442.30,445.20,448.10,450.90,454.70,-0.18,1.14,2.46,3.79,5.56
1999,10,34,19.80,19.90,20.00,20.20,20.30,3.49,4.73,5.98,7.22,8.89
1999,11,64.3,8.50,8.50,8.60,8.60,8.70,5.77,7.22,8.66,10.11,12.05
1999,12,60.6,0.00,0.00,0.00,0.00,0.00,9.33,10.36,11.39,12.41,13.79
2000,1,39.8,0.00,0.00,0.00,0.00,0.00,11.46,12.39,13.32,14.25,15.50
2000,2,30.7,152.60,153.60,154.60,155.60,156.90,12.72,13.41,14.10,14.79,15.71
2000,3,25.3,0.00,0.00,0.00,0.00,0.00,10.04,10.69,11.34,11.98,12.85
2000,4,21,54.40,54.70,55.00,55.30,55.60,6.33,7.10,7.86,8.63,9.65
2000,5,19.7,105.90,106.50,107.00,107.50,108.20,1.59,2.54,3.49,4.43,5.71
2000,6,26.1,1311.50,1317.90,1324.40,1330.90,1339.60,-1.46,-0.41,0.64,1.70,3.11
2000,7,28.2,113.70,114.20,114.80,115.40,116.10,-1.73,-1.06,-0.39,0.28,1.19
2000,8,27.1,85.00,85.40,85.90,86.30,86.80,-1.70,-0.62,0.46,1.54,3.00
2000,9,26.6,501.50,503.90,506.40,508.90,512.20,-0.16,1.03,2.23,3.43,5.04
2000,10,38.8,39.20,39.40,39.50,39.70,40.00,3.55,4.82,6.09,7.35,9.05
2000,11,66,48.70,49.00,49.20,49.40,49.80,5.54,6.93,8.33,9.72,11.58
2000,12,60.2,0.00,0.00,0.00,0.00,0.00,9.08,10.08,11.08,12.08,13.42
2001,1,56.6,131.20,131.90,132.50,133.20,134.10,10.86,11.74,12.62,13.50,14.69
2001,2,50.2,0.00,0.00,0.00,0.00,0.00,12.63,13.32,14.00,14.68,15.60
2001,3,36.4,0.00,0.00,0.00,0.00,0.00,9.83,10.47,11.10,11.74,12.59
2001,4,30.2,108.40,108.90,109.30,109.80,110.50,5.50,6.16,6.83,7.49,8.39
2001,5,33.7,463.20,465.30,467.40,469.50,472.30,1.77,2.83,3.88,4.94,6.35
2001,6,31.2,231.10,232.20,233.20,234.30,235.60,-1.50,-0.42,0.66,1.75,3.20
2001,7,37.1,933.20,937.40,941.60,945.80,951.40,-3.25,-1.99,-0.73,0.53,2.22
2001,8,36,494.90,497.10,499.30,501.60,504.50,-1.89,-0.69,0.52,1.72,3.34
2001,9,36,13.40,13.50,13.50,13.60,13.70,-0.17,1.04,2.25,3.46,5.08
2001,10,47.4,25.90,26.00,26.10,26.20,26.40,3.41,4.63,5.85,7.07,8.70
2001,11,71.4,6.80,6.80,6.90,6.90,6.90,5.11,6.40,7.68,8.96,10.69
2001,12,96.4,0.00,0.00,0.00,0.00,0.00,10.62,11.78,12.95,14.12,15.69
2002,1,61.9,2.90,2.90,2.90,2.90,2.90,11.99,12.96,13.93,14.91,16.21
2002,2,43.2,48.00,48.20,48.40,48.60,48.90,14.15,14.91,15.68,16.44,17.47
2002,3,38.3,302.10,303.50,304.80,306.20,308.00,11.04,11.75,12.46,13.18,14.13
2002,4,30.3,59.80,60.00,60.30,60.50,60.80,6.37,7.14,7.91,8.68,9.71
2002,5,32.9,638.60,641.10,643.50,646.00,649.30,1.78,2.85,3.91,4.97,6.40
2002,6,30.9,480.30,482.10,484.00,485.90,488.30,-1.12,-0.31,0.49,1.30,2.39
2002,7,28,440.50,442.20,443.90,445.60,447.80,-2.86,-1.75,-0.64,0.47,1.96
2002,8,41.9,852.20,855.50,858.70,862.00,866.40,-2.08,-0.76,0.57,1.89,3.67
2002,9,43.9,328.00,329.20,330.50,331.80,333.50,-0.19,1.17,2.52,3.88,5.70
2002,10,49.2,137.90,138.50,139.00,139.50,140.30,3.32,4.51,5.69,6.87,8.46
2002,11,87.3,41.50,41.60,41.80,42.00,42.20,5.05,6.31,7.58,8.85,10.55
2002,12,136.1,13.50,13.60,13.60,13.70,13.70,9.67,10.74,11.81,12.87,14.30
2003,1,108.7,68.60,68.90,69.10,69.40,69.70,12.11,13.09,14.07,15.05,16.37
2003,2,67.5,0.00,0.00,0.00,0.00,0.00,12.96,13.66,14.36,15.06,16.00
2003,3,49.6,0.00,0.00,0.00,0.00,0.00,12.12,12.90,13.69,14.47,15.52
2003,4,36.2,25.10,25.30,25.50,25.70,25.90,7.44,8.34,9.24,10.14,11.34
2003,5,29.6,189.30,190.90,192.40,194.00,196.00,1.65,2.63,3.61,4.59,5.90
2003,6,37.4,461.80,465.50,469.30,473.00,478.10,-1.89,-0.53,0.83,2.19,4.01
2003,7,32.1,187.50,189.00,190.50,192.10,194.10,-2.50,-1.53,-0.56,0.41,1.71
2003,8,27.8,40.80,41.20,41.50,41.80,42.30,-1.78,-0.65,0.48,1.62,3.14
2003,9,29.1,166.10,167.50,168.80,170.20,172.00,-0.19,1.17,2.52,3.87,5.69
2003,10,38.3,135.50,136.60,137.70,138.80,140.30,3.54,4.80,6.06,7.32,9.02
2003,11,54.5,145.70,146.90,148.10,149.30,150.90,5.29,6.62,7.95,9.28,11.06
2003,12,50.3,14.20,14.30,14.40,14.50,14.70,8.41,9.34,10.27,11.20,12.44
2004,1,37.7,0.00,0.00,0.00,0.00,0.00,12.03,13.01,13.99,14.97,16.28
2004,2,30.1,8.40,8.40,8.50,8.60,8.60,13.30,14.02,14.74,15.46,16.42
2004,3,25.6,75.20,75.80,76.40,77.00,77.80,11.19,11.92,12.64,13.36,14.33
2004,4,35.2,317.70,320.00,322.40,324.70,327.90,6.55,7.34,8.13,8.92,9.98
2004,5,24.1,24.30,24.50,24.70,24.80,25.10,1.59,2.54,3.48,4.43,5.70
2004,6,25.7,217.70,219.30,220.90,222.50,224.70,-1.50,-0.42,0.66,1.74,3.18
2004,7,24.3,352.70,355.30,357.90,360.60,364.00,-2.82,-1.72,-0.63,0.46,1.93
2004,8,24,150.40,151.50,152.70,153.80,155.30,-1.94,-0.71,0.53,1.77,3.42
2004,9,27.8,292.00,294.20,296.30,298.50,301.40,-0.18,1.12,2.42,3.73,5.47
2004,10,32.6,126.50,127.50,128.40,129.30,130.60,2.99,4.06,5.12,6.19,7.62
2004,11,45.3,51.90,52.20,52.60,53.00,53.50,5.03,6.29,7.55,8.81,10.51
2004,12,51,45.90,46.20,46.60,46.90,47.30,9.66,10.73,11.79,12.86,14.29
2005,1,36.5,3.70,3.80,3.80,3.80,3.90,11.47,12.40,13.33,14.26,15.51
2005,2,29,0.00,0.00,0.00,0.00,0.00,13.69,14.43,15.17,15.91,16.91
2005,3,24.8,14.80,14.90,15.00,15.10,15.20,10.42,11.09,11.76,12.44,13.34
2005,4,20.7,0.00,0.00,0.00,0.00,0.00,7.34,8.23,9.12,10.01,11.20
2005,5,23.9,771.00,774.00,777.00,780.00,784.00,1.61,2.57,3.53,4.49,5.77
2005,6,32,762.90,765.90,768.80,771.80,775.70,-1.85,-0.52,0.82,2.15,3.94
2005,7,33,442.40,444.10,445.80,447.60,449.80,-3.36,-2.06,-0.75,0.55,2.30
2005,8,37.8,717.00,719.80,722.60,725.30,729.10,-1.97,-0.72,0.54,1.79,3.48
2005,9,34.9,76.20,76.50,76.80,77.10,77.50,-0.18,1.11,2.41,3.70,5.43
2005,10,43.2,53.60,53.80,54.00,54.20,54.50,3.19,4.33,5.46,6.60,8.13
2005,11,76.9,127.00,127.50,128.00,128.50,129.20,5.32,6.66,7.99,9.33,11.12
2005,12,101.8,72.20,72.50,72.80,73.10,73.50,9.06,10.06,11.06,12.06,13.40
2006,1,100.2,17.40,17.40,17.50,17.60,17.70,11.63,12.58,13.52,14.47,15.73
2006,2,66.2,6.50,6.50,6.50,6.50,6.60,13.49,14.22,14.95,15.68,16.66
2006,3,45.6,0.00,0.00,0.00,0.00,0.00,10.60,11.28,11.97,12.65,13.57
2006,4,39.5,92.80,93.20,93.70,94.10,94.70,6.92,7.75,8.59,9.43,10.55
2006,5,34.6,244.30,245.50,246.60,247.70,249.30,1.77,2.82,3.88,4.93,6.35
2006,6,44.9,664.30,667.30,670.40,673.50,677.60,-1.87,-0.52,0.82,2.17,3.97
2006,7,46.9,709.30,712.60,715.90,719.10,723.50,-3.41,-2.09,-0.76,0.56,2.34
2006,8,36.9,403.70,405.60,407.50,409.30,411.80,-1.84,-0.67,0.50,1.68,3.25
2006,9,34.7,117.80,118.40,118.90,119.50,120.20,-0.18,1.12,2.43,3.73,5.48
2006,10,48.3,197.30,198.20,199.10,200.10,201.30,3.13,4.25,5.37,6.49,7.99
2006,11,79.2,2.90,2.90,2.90,2.90,2.90,5.04,6.30,7.57,8.84,10.53
2006,12,98.8,29.70,29.80,30.00,30.10,30.30,8.73,9.69,10.65,11.61,12.90
2007,1,82.8,3.80,3.80,3.90,3.90,3.90,11.31,12.23,13.15,14.07,15.30
2007,2,55.4,64.70,65.00,65.30,65.60,66.00,11.98,12.63,13.27,13.92,14.79
2007,3,42.2,18.20,18.30,18.40,18.50,18.60,10.99,11.70,12.41,13.12,14.07
