Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2023-02-01,285.586,253.961,312.187,161.046,307.36,250.507,265.198,201.629,480.408,315.254,195.562,247.824,297.428,505.449,302.19
2023-03-01,187.982,162.467,181.987,260.461,194.578,161.352,153.805,130.413,208.644,180.275,222.716,138.391,189.503,243.626,189.039
2023-04-01,293.429,230.712,290.296,96.9113,276.968,230.171,243.584,195.153,220.464,256.386,201.621,206.79,267.506,206.906,283.829
2023-05-01,216.815,122.049,165.272,127.686,157.577,124.942,104.112,175.392,296.862,230.681,156.71,108.617,179.572,272.912,212.507
2023-06-01,324.187,215.202,296.398,163.992,437.75,309.876,177.554,255.627,309.564,466.807,425.191,240.507,283.405,408.615,398.502
2023-07-01,628.036,132.171,302.943,202.691,370.149,265.38,168.33,282.71,323.155,324.275,508.215,291.911,457.73,412.815,370.98
2023-08-01,558.717,291.337,264.106,166.176,617.206,335.579,265.58,503.358,389.432,481.809,500.391,501.689,504.147,474.464,604.124
2023-09-01,471.332,388.616,254.265,423.655,483.38,321.297,349.136,420.288,409.875,506.066,365.196,441.575,437.527,411.975,510.678
2023-10-01,375.319,375.054,300.967,283.443,438.624,268.312,341.877,527.908,432.886,500.83,447.391,426.303,443.834,362.282,392.873
2023-11-01,330.602,369.959,254.584,332.478,575.401,354.486,346.413,553.796,444.443,574.609,455.552,428.214,395.05,326.943,357.8
2023-12-01,490.845,526.677,293.204,716.638,739.938,524.63,524.026,708.275,754.12,738.039,658.659,686.648,588.976,411.453,544.364
2024-01-01,386.598,413.902,220.063,766.691,626.726,397.408,425.14,677.678,712.746,565.65,567.418,582.845,422.235,323.333,418.463
2024-02-01,271.005,272.148,199.367,537.789,363.786,287.607,314.462,442.466,602.559,460.835,362.169,341.711,295.399,234.406,338.066
2024-03-01,186.594,171.203,193.898,239.989,201.803,175.549,185.37,232.873,298.723,239.706,196.384,187.751,184.912,160.359,193.224
2024-04-01,266.303,333.863,112.085,208.824,181.047,249.645,250.752,199.699,220.53,204.947,278.146,272.603,263.876,237.099,276.172
2024-05-01,222.708,123.717,208.023,299.65,319.873,184.605,215.351,313.027,199.36,184.315,128.218,195.971,141.226,175.628,163.882
2024-06-01,798.547,270.836,284.061,266.082,462.787,315.718,261.295,221.194,313.451,456.508,273.686,603.955,230.037,210.73,319.426
2024-07-01,466.921,278.41,396.334,394.709,363.654,192.707,195.773,422.746,325.265,222.48,294.189,279.347,338.829,253.577,529.047
2024-08-01,364.319,627.331,395.465,527.818,370.293,636.511,312.318,378.885,458.503,243.636,661.541,374.367,322.66,314.242,472.247
2024-09-01,351.332,457.688,354.631,418.182,342.558,418.773,198.765,518.506,421.693,220.012,444.276,314.099,416.391,346.722,408.592
2024-10-01,318.541,391.594,330.665,388.306,433.713,419.062,237.088,461.402,366.774,213.159,400.207,268.574,431.137,370.101,411.514
2024-11-01,318.212,416.909,290.476,384.142,404.174,407.289,192.993,489.421,432.391,226.576,429.482,254.264,444.082,298.379,411.949
2024-12-01,415.675,469.151,408.881,481.579,682.728,527.891,310.189,714.29,527.524,329.203,507.504,319.96,778.866,494.656,449.111
2025-01-01,301.645,502.87,381.928,353.108,440.097,395.814,166.604,766.691,341.07,188.695,436.027,247.546,716.259,321.067,443.238
2025-02-01,210.513,337.087,255.397,259.492,389.667,224.948,334.681,513.069,254.744,342.245,342.442,167.013,380.702,194.737,360.035
2025-03-01,152.043,186.637,159.681,165.233,213.276,157.082,86.5525,254.243,169.36,86.7406,193.824,304.537,207.879,231.323,197.922
2025-04-01,266.434,286.1,236.733,252.266,190.879,229.144,207.209,264.645,242.436,253.86,282.16,94.7784,178.824,129.197,288.666
2025-05-01,165.859,114.282,102.093,118.954,290.36,128.543,92.9705,215.034,220.018,75.1156,135.328,311.161,326.878,140.854,176.929
2025-06-01,545.173,207.133,191.246,385.444,562.877,419.502,164.301,304.429,250.152,170.027,238.576,351.417,282.93,232.272,419.716
2025-07-01,312.309,358.207,151.383,299.936,729.758,262.576,257.804,244.334,206.696,282.103,242.567,394.79,365.846,216.064,604.592
2025-08-01,332.874,349.936,176.501,619.438,663.937,274.196,249.953,261.568,200.738,224.295,473.237,538.768,468.815,484.3,398.717
2025-09-01,303.012,357.841,160.096,381.163,562.251,242.209,226.257,388.804,244.519,273.97,417.57,383.652,335.241,318.333,327.639
2025-10-01,298.346,312.349,185.061,385.648,440.073,312.604,244.835,317.941,223.602,367.524,385.893,405.32,291.239,423.733,302.356
2025-11-01,298.324,320.052,172.603,369.016,444.817,344.027,249.806,306.238,260.801,338.336,627.975,418.031,309.697,488.203,355.6
