Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,HIST,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2022-01-01,23.0322,11.8478,21.8082,20.7729,25.6607,26.6624,15.7525,23.2589,19.7336,23.1761,45.9917,19.2605,31.6231,28.6149,27.9145
2022-02-01,15.8005,8.29973,14.8427,12.8025,16.3755,15.7164,10.6932,13.872,12.3989,14.0243,29.4525,11.3704,20.8745,16.8631,16.1836
2022-03-01,8.40599,5.13512,9.24668,8.75046,10.4511,8.77445,7.46291,9.66329,7.21831,9.18494,15.119,6.31972,10.8694,10.7567,8.70928
2022-04-01,6.32534,5.89412,7.30181,5.83419,6.72143,6.72777,5.08751,7.86906,5.37444,7.9937,9.18817,4.86657,7.55958,6.76822,9.13794
2022-05-01,5.76914,15.8327,10.5607,6.83641,11.7363,5.86703,6.84673,9.3483,4.72836,6.78966,8.93065,9.77689,9.45013,6.44382,20.1816
2022-06-01,8.53399,11.0792,8.88177,6.0486,9.42823,4.40088,5.27295,8.50104,3.54822,9.49254,6.3282,6.32445,9.34469,6.04208,12.2163
2022-07-01,7.90378,9.59889,10.9698,4.89807,7.32427,4.13077,5.23119,6.47236,8.7964,6.8958,6.78443,5.19532,7.55588,6.00826,8.75197
2022-08-01,5.85121,6.67707,7.15232,3.8438,5.94103,3.36349,4.67841,5.07713,6.64011,8.70935,5.64422,4.4717,5.73617,5.43622,7.22252
2022-09-01,5.13746,5.75764,7.02765,4.1174,5.04023,3.34832,4.10772,4.51675,6.123,6.14582,4.65372,4.23279,6.58449,5.84184,6.16237
2022-10-01,7.4913,8.09762,10.5307,5.16159,9.78872,7.26994,6.84635,7.97015,8.57714,6.37634,6.8898,6.06195,11.7101,6.4748,8.26453
2022-11-01,27.8562,23.298,23.5687,18.3404,25.7151,28.7247,17.377,18.2361,21.9714,17.0242,19.5389,17.2218,35.813,26.9039,29.7217
2022-12-01,26.0153,20.5501,25.094,21.1921,22.2412,23.6687,18.0915,16.9835,29.1579,20.8455,17.8707,17.2915,25.5796,39.5863,27.2823
2023-01-01,19.8784,18.4234,23.2223,13.6327,21.1638,18.8455,19.4131,16.6112,32.3178,22.5203,15.222,18.8836,22.4911,34.5901,21.2249
2023-02-01,12.7026,12.9675,13.8557,8.9807,14.755,10.9844,12.8405,10.2892,16.5548,13.5397,9.30155,10.9493,13.3571,19.8131,13.2213
2023-03-01,8.13911,7.61168,8.56962,5.40345,8.74943,6.54279,8.06558,6.12101,10.4299,7.63786,5.96594,6.6353,7.75642,10.6989,8.32649
2023-04-01,7.38868,5.34259,5.99777,3.87989,6.05668,5.31029,5.50927,5.55331,8.37488,7.94655,5.23703,5.00187,5.72406,8.60074,6.74171
2023-05-01,8.66468,5.16859,5.83614,4.9241,9.81589,7.33034,4.80026,6.85522,8.98647,11.6718,8.9794,5.54404,6.32849,9.80646,10.4039
2023-06-01,13.4612,3.62037,7.49408,3.48,8.79929,5.37062,4.23571,4.9317,6.13716,8.25758,8.29548,4.76915,7.44204,7.9273,7.28199
2023-07-01,13.1088,4.35075,5.11682,2.7702,10.4418,4.91499,4.14269,5.28699,4.83379,7.64085,6.7077,6.74071,6.5722,8.35143,9.27302
2023-08-01,9.05731,4.13969,4.35254,3.34416,7.58122,4.25974,3.82785,5.06315,4.29113,6.7267,5.03188,5.1451,6.64975,6.66277,12.3505
2023-09-01,7.44908,5.7055,4.80246,3.39645,6.32523,3.57286,3.76318,6.65563,4.29998,6.489,5.31363,5.56688,6.82588,6.74455,8.13552
2023-10-01,8.59661,8.04865,6.83219,4.03222,9.80976,7.00509,4.45233,9.93856,5.29627,8.90383,9.4737,7.52948,7.65159,6.67092,7.01007
2023-11-01,19.886,26.1623,15.5448,24.4504,31.8899,22.3378,17.9773,30.6285,27.3094,29.7334,32.3409,30.0088,27.9012,21.0063,21.247
2023-12-01,22.8461,23.5802,11.8409,38.7031,36.7634,22.0724,22.346,41.1029,34.4299,30.723,32.272,35.7176,28.2714,22.3505,23.6592
2024-01-01,19.4065,20.3186,13.8058,35.2144,26.4055,21.0442,22.1963,31.2738,37.4549,32.502,26.5298,25.8767,23.2897,19.3383,24.3796
2024-02-01,13.1247,13.2977,8.92886,18.907,15.8071,13.3177,15.0012,18.987,21.3172,20.055,16.201,15.3958,14.187,11.645,14.9101
2024-03-01,7.60141,10.229,5.48815,11.3213,8.56107,7.93678,8.58993,10.5578,11.9329,11.1815,9.25943,8.85462,8.02631,6.60981,8.49509
2024-04-01,7.35257,6.37099,5.85367,8.89667,6.9802,6.54855,8.47092,7.59651,7.54208,7.04368,5.82214,7.61204,5.4945,5.54068,5.47961
2024-05-01,19.3578,6.53111,6.32764,6.86913,13.0019,8.40222,9.85697,7.88026,6.28253,8.9173,5.84681,14.1582,5.03459,5.36788,6.81114
2024-06-01,14.0296,6.15512,10.0006,7.54304,8.40862,5.81769,6.50824,8.7915,5.98042,6.22117,5.64552,8.55589,7.34372,5.31197,11.7304
2024-07-01,8.40456,8.9142,7.10508,10.6063,7.46834,9.81222,5.38133,7.72387,5.33859,4.77856,10.3327,7.36765,5.4635,4.4564,9.40639
2024-08-01,6.65764,6.95532,5.68612,7.3915,6.43993,6.68928,4.4197,7.15298,5.02561,3.84222,6.93602,5.94829,4.85272,3.98015,7.36887
2024-09-01,5.96028,5.8524,6.22483,6.24484,5.92663,6.5149,4.10236,6.43743,4.50003,3.40547,6.71075,4.97596,4.55035,4.59698,6.79949
2024-10-01,6.3822,7.59828,8.75418,9.25114,5.59356,9.86449,4.34972,11.005,9.73043,4.85972,7.81256,5.939,6.40387,5.47707,9.9344
2024-11-01,21.0782,19.3487,16.493,21.6085,27.7316,27.3122,12.5211,28.7597,27.0252,16.4438,21.8528,17.6771,28.2753,25.2201,23.4211
2024-12-01,21.2185,30.7142,25.979,21.2739,23.3235,27.0381,11.0792,37.4726,21.7036,12.4904,26.9891,16.6825,39.761,23.0865,23.0474
2025-01-01,15.6137,24.5962,20.8653,19.5894,25.7488,17.2061,11.6171,35.1699,19.7257,9.57829,25.5185,13.8818,26.9231,15.4589,24.4714
2025-02-01,10.5629,15.4031,12.8262,12.5218,15.7404,11.3097,8.05356,19.4085,12.043,6.75012,16.7559,8.68964,16.0958,10.292,15.0696
2025-03-01,7.31419,8.80261,7.1559,8.05076,9.15742,6.408,4.9908,12.0002,6.84347,4.40077,9.39646,5.19148,8.74027,6.38098,9.3234
2025-04-01,5.09044,5.6746,4.80253,5.55783,6.83516,4.69311,4.26253,7.60952,6.58138,3.43252,5.99617,6.85848,7.06374,4.58069,6.66656
2025-05-01,14.8056,5.60093,4.6624,9.69771,12.812,8.78612,4.62027,6.91417,7.34817,4.65993,5.57689,11.5673,7.76732,6.62069,8.96039
2025-06-01,8.86443,9.36722,3.45848,6.86637,14.0124,6.60628,4.17355,5.01424,5.77093,5.44807,5.07472,9.14317,6.39365,4.93946,12.7884
2025-07-01,7.08704,7.10126,3.07391,10.6363,12.9092,5.259,4.07001,4.43479,4.24128,4.23926,7.06439,7.90829,9.31503,7.29055,7.94319
2025-08-01,6.09371,5.74233,2.46634,6.52436,11.1197,4.31663,3.2162,4.23827,3.65746,4.04523,7.19205,5.82411,6.16322,4.98324,5.85309
2025-09-01,5.17703,5.00924,2.7464,5.91143,8.12724,3.93872,3.08112,4.14868,3.32244,4.58037,5.84882,5.71029,5.43892,5.9389,4.7821
2025-10-01,6.84102,6.23098,4.14604,6.82022,11.0175,5.54812,3.50176,5.93254,5.95053,5.94079,10.9357,9.10651,8.7009,10.6662,6.96219
2025-11-01,18.5489,19.1556,13.6805,25.9241,24.3399,20.9169,14.7823,18.3857,12.7923,24.8171,29.9669,32.1004,19.7523,27.8986,32.0987
2025-12-01,24.0219,19.99,11.3449,24.0902,25.0818,18.6583,16.7851,17.1234,20.6087,22.6165,27.7659,29.4205,15.8402,32.1126,24.8517
2026-01-01,24.8604,17.5588,11.8545,25.1594,29.8256,22.7133,15.7462,14.1565,15.7317,22.483,29.9874,24.0741,14.7471,31.931,22.7504
2026-02-01,15.2849,13.0527,8.26584,15.7045,19.1193,14.0173,11.5249,8.96659,10.41,14.4325,19.3232,13.4528,9.3841,19.3232,13.1212
2026-03-01,8.02422,8.4822,5.33918,8.93415,10.6516,8.18042,8.13421,5.73402,6.26625,8.59615,11.3371,8.37004,6.06536,10.1671,8.49922
2026-04-01,5.76151,5.5723,3.80527,6.13018,7.49378,6.55063,6.14241,4.01443,4.66855,7.76345,7.3453,6.33941,5.46782,7.36062,7.29307
2026-05-01,5.67402,14.8952,10.3873,13.0332,15.0884,6.8327,6.62617,4.16453,8.2017,8.42055,6.97422,8.54547,9.77796,12.9413,6.72809
2026-06-01,4.04963,9.27356,6.43576,7.1998,9.74688,6.66432,4.76147,4.15534,5.85745,6.14111,6.17496,6.2783,6.49734,9.65649,8.54639
2026-07-01,5.78015,17.3681,9.12981,6.0396,8.90834,5.67639,4.13644,5.17295,5.47238,6.1838,5.80053,5.48972,8.74951,11.2963,15.5989
2026-08-01,3.87298,11.4087,6.52882,5.23477,6.74148,6.55013,3.41881,4.6813,4.5057,6.12543,4.97334,5.12488,6.95201,7.6592,9.20819
2026-09-01,4.91777,8.53895,5.80633,5.70739,7.04862,6.42453,3.25923,5.12616,4.12263,5.93795,6.76097,4.67642,5.59712,6.22773,8.38865
2026-10-01,8.94539,8.20912,7.59035,5.36031,9.25641,8.32987,4.01764,8.94553,7.65042,6.08657,7.40153,7.10665,8.67724,7.9139,13.4414
2026-11-01,21.9013,20.4889,30.2703,27.7933,26.9395,27.1822,14.2429,32.3325,25.6546,19.7012,24.9781,27.6153,22.7482,30.7891,40.9187
2026-12-01,20.6348,26.6878,28.0541,25.0433,24.2172,39.232,14.7956,23.642,20.7313,20.9971,25.5072,24.7066,20.4182,36.5063,35.5935
2027-01-01,15.3455,20.7011,22.8366,23.421,18.6294,32.7957,9.9839,18.0484,14.7999,16.1494,25.5968,16.3398,15.6189,23.0585,35.4049
2027-02-01,9.72984,12.856,14.373,16.5455,11.6082,20.6956,9.86147,11.941,10.2232,11.1574,17.5262,12.4196,9.87956,13.5504,21.4571
2027-03-01,5.56693,7.30115,10.0854,10.7704,6.65454,10.8289,8.86821,6.95009,6.4891,6.91203,10.7912,7.04234,6.0509,7.6033,11.8738
2027-04-01,4.85088,5.52465,7.63989,7.31976,5.06926,7.07352,9.72622,5.71532,4.90819,4.70095,6.80723,6.4737,4.18147,7.60772,7.41671
2027-05-01,4.54273,5.28381,9.66857,10.2257,15.8574,10.14,10.3059,10.4637,7.89442,5.203,13.0793,6.59331,9.12427,9.26014,6.22747
2027-06-01,4.0442,4.19629,8.30317,8.06926,10.8576,9.72571,13.1085,10.6832,14.157,5.52775,8.51719,4.93869,7.21666,8.93738,6.11678
2027-07-01,12.119,6.01573,6.52714,6.58112,10.3646,10.6703,12.7285,11.3177,12.9121,4.4732,6.46249,6.03674,7.39001,10.2716,5.6615
2027-08-01,7.75888,4.98092,5.40073,4.91653,7.37497,8.54348,9.1597,8.81938,9.10227,4.34258,5.19144,4.93727,5.46567,7.49363,5.31364
2027-09-01,6.18352,3.99431,5.26211,4.29315,6.72919,7.42156,6.56978,6.65631,8.17655,4.03464,5.16595,4.02979,4.8087,5.8825,4.60939
2027-10-01,6.4774,8.35834,6.44714,5.32444,8.00576,7.65519,4.7441,11.4881,9.14588,5.32949,6.21665,6.10349,4.80052,7.22144,7.66016
2027-11-01,19.8651,26.5525,19.405,23.9053,19.5827,26.1369,4.34552,25.9664,27.8676,26.0739,13.7882,19.3218,26.241,22.1393,27.5277
2027-12-01,36.4443,18.8738,27.984,21.8185,19.7699,25.5927,4.25188,40.4694,33.861,32.7853,26.5556,21.2105,22.4105,27.1463,23.3487
2028-01-01,27.3665,14.5357,28.5139,14.7718,16.2662,21.8023,21.6149,36.2989,29.5331,25.1347,20.2321,20.743,20.7022,22.202,22.9934
2028-02-01,16.4419,10.8952,17.9928,10.6331,10.8823,12.3861,16.1631,21.2041,17.7461,14.9607,12.5435,12.7066,12.4165,13.2437,15.8887
2028-03-01,10.2774,6.61765,9.71077,6.40767,7.12425,9.08889,9.3867,11.442,9.228,8.65749,9.04146,7.33929,7.6879,7.55578,8.16608
2028-04-01,6.6738,4.52866,6.62307,5.86966,5.91132,6.64677,6.09828,8.50924,5.99906,8.73163,5.60435,9.098,5.29426,7.85783,6.27873
2028-05-01,9.60668,5.19566,6.24322,5.05339,6.45082,10.6479,8.32127,8.78916,5.60485,19.7855,4.99597,10.7257,5.83824,10.2735,10.9598
2028-06-01,9.57328,11.8113,5.3057,5.27984,4.74521,8.41687,7.13587,6.46729,6.20562,19.6397,10.3072,12.1144,6.62542,10.7307,10.406
2028-07-01,11.2739,8.39276,4.14474,4.45198,4.72327,10.6507,5.26775,6.93948,6.76602,14.5166,9.08568,9.21016,7.17762,10.3157,9.74884
