, "CCCMA ""CGCM3"" a", "CCCMA ""CGCM3"" b", "GFDL ""CM2"" a", "GFDL ""CM2"" b", "GISS ""AOM"" a", "GISS ""AOM"" b", "historico mas futuro", "MPI ""ECHAM5"" a", "MPI ""ECHAM5"" b", "MRI ""CGCM2.3.2."" a", "MRI ""CGCM2.3.2."" b", "NIES ""MIRO3.2."" a", "NIES ""MIRO3.2."" b", "UKMO ""HADCM3"" a", "UKMO ""HADCM3"" b"
"Mar 2022", 85.853, 53.1665, 145.156, 132.861, 113.486, 87.6332, 108.341, 162.299, 129.693, 154.542, 129.015, 101.758, 107.495, 175.122, 87.8666
"Apr 2022", 154.7, 135.691, 107.665, 63.3991, 100.028, 161.086, 64.067, 117.787, 98.6673, 114.11, 128.141, 59.639, 113.319, 88.6583, 263.347
"May 2022", 101.358, 322.502, 285.876, 176.541, 372.209, 87.4331, 148.013, 160.132, 114.878, 125.966, 179.916, 234.237, 282.553, 138.133, 452.727
"Jun 2022", 319.792, 271.15, 213.304, 170.176, 278.463, 126.595, 139.421, 242.765, 78.8853, 279.138, 198.829, 150.516, 309.157, 190.091, 276.319
"Jul 2022", 227.053, 263.732, 352.078, 178.408, 233.342, 150.014, 196.969, 223.817, 304.646, 211.756, 247.622, 141.034, 299.52, 233.373, 238.657
"Aug 2022", 205.551, 205.561, 241.751, 148.491, 224.255, 174.713, 196.099, 180.872, 247.273, 255.803, 210.379, 150.956, 258.432, 265.405, 242.95
"Sep 2022", 199.397, 187.282, 229.814, 162.121, 189.544, 186.713, 178.546, 168.484, 203.638, 183.58, 163.707, 149.406, 278.657, 296.194, 254.113
"Oct 2022", 233.916, 176.684, 219.464, 126.346, 217.303, 241.253, 185.586, 165.458, 226.767, 162.875, 160.433, 128.459, 261.825, 232.855, 228.286
"Nov 2022", 330.797, 239.245, 256.914, 187.531, 284.745, 375.768, 223.735, 195.052, 325.567, 234.108, 222.435, 231.763, 358.979, 366.42, 345.988
"Dec 2022", 214.276, 167.656, 212.676, 138.184, 184.7, 194.408, 158.068, 121.506, 332.232, 174.787, 129.04, 151.603, 214.661, 392.748, 226.515
"Jan 2023", 136.458, 118.371, 152.115, 68.5823, 149.274, 116.513, 124.457, 90.4646, 251.133, 153.921, 87.0791, 115.082, 143.428, 265.873, 146.231
"Feb 2023", 95.3461, 80.3614, 91.7454, 146.286, 99.3123, 79.8135, 74.7998, 63.1207, 107.771, 90.7123, 116.661, 66.104, 96.2638, 130.288, 95.9824
"Mar 2023", 153.732, 116.815, 151.887, 53.2169, 144.042, 116.497, 124.392, 95.8843, 110.783, 131.927, 108.802, 102.734, 138.473, 102.802, 148.081
"Apr 2023", 122.027, 68.1352, 92.0841, 65.0062, 87.6582, 69.8844, 57.5309, 94.0226, 167.906, 130.747, 86.5091, 60.9903, 100.699, 153.338, 119.63
"May 2023", 184.494, 120.343, 168.137, 96.4286, 251.34, 176.07, 98.183, 150.367, 175.886, 268.443, 243.947, 135.238, 160.489, 234.19, 228.237
"Jun 2023", 375.668, 77.4426, 177.934, 123.185, 218.811, 155.846, 96.0563, 171.856, 190.227, 190.908, 302.788, 172.463, 272.081, 244.762, 219.316
"Jul 2023", 322.543, 165.158, 149.129, 97.7144, 356.97, 191.2, 156.226, 289.957, 222.899, 277.273, 288.211, 288.975, 290.422, 272.95, 349.271
"Aug 2023", 271.106, 222.418, 143.336, 243.043, 278.198, 182.793, 205.408, 241.061, 234.931, 291.551, 208.633, 253.591, 251.208, 236.168, 294.266
"Sep 2023", 218.791, 218.63, 173.567, 164.278, 257.295, 153.705, 198.45, 311.602, 253.805, 295.131, 262.628, 249.801, 260.465, 210.861, 229.468
"Oct 2023", 172.448, 195.614, 127.702, 173.552, 316.541, 186.506, 181.754, 303.824, 239.457, 316.075, 245.996, 229.904, 210.383, 170.294, 188.457
"Nov 2023", 270.072, 291.867, 149.859, 407.409, 421.58, 290.621, 290.254, 402.322, 430.206, 420.425, 372.143, 389.167, 329.759, 221.783, 302.624
"Dec 2023", 195.915, 211.986, 100.185, 419.645, 337.259, 202.278, 218.602, 367.251, 387.892, 301.308, 302.349, 311.43, 216.892, 158.676, 214.672
