," ""CCCMA """"CGCM3"""" a"""," ""CCCMA """"CGCM3"""" b"""," ""GFDL """"CM2"""" a"""," ""GFDL """"CM2"""" b"""," ""GISS """"AOM"""" a"""," ""GISS """"AOM"""" b"""," ""historico mas futuro"""," ""MPI """"ECHAM5"""" a"""," ""MPI """"ECHAM5"""" b"""," ""MRI """"CGCM2.3.2."""" a"""," ""MRI """"CGCM2.3.2."""" b"""," ""NIES """"MIRO3.2."""" a"""," ""NIES """"MIRO3.2."""" b"""," ""UKMO """"HADCM3"""" a"""," ""UKMO """"HADCM3"""" b"""
Nov-21,11.7875,6.25815,12.4887,11.3938,12.5075,13.8041,8.64057,13.0056,10.0668,12.0293,15.8874,6.74786,16.3287,14.2094,13.3531
Dec-21,9.02456,6.2149,9.54074,7.56698,12.388,14.0426,6.05593,7.72229,7.35833,10.0254,18.3967,7.84169,15.6598,9.82167,12.892
Jan-22,5.93052,3.93292,6.46486,5.90093,8.16877,7.96699,4.22311,5.293,4.91159,5.72883,11.806,4.71338,8.5155,6.63355,6.82127
Feb-22,6.45572,3.43454,4.88193,4.32369,5.74749,5.49983,3.68293,4.10738,4.14803,4.66137,7.69271,3.59072,6.07338,5.33575,5.15615
Mar-22,3.95563,2.84712,4.05174,3.59188,5.00417,4.11432,3.37441,4.40423,3.19586,4.11968,5.34776,2.64979,4.79002,4.93676,3.79786
Apr-22,4.4412,4.91507,5.24215,3.3521,4.07339,4.54379,3.01525,5.26301,3.54999,5.26715,5.29234,2.79787,4.76887,3.88825,7.87189
May-22,4.51476,10.936,8.01537,5.21209,9.84773,4.12229,4.83398,5.81241,3.49304,4.59905,6.26424,6.73468,8.74813,4.4335,14.3236
Jun-22,9.00015,9.00511,8.09605,6.19965,8.941,3.94327,5.46492,7.89517,3.2508,9.03367,6.62894,5.42603,9.9316,7.36793,9.23576
Jul-22,8.08335,9.21405,12.5226,6.12052,8.1016,5.67719,6.85052,7.539,9.52807,6.99828,8.58555,4.89855,10.0044,8.38171,8.40504
Aug-22,7.32298,7.28557,8.3918,5.15303,8.33795,5.72434,6.67019,6.50915,9.71521,9.00915,7.59519,5.42655,8.94908,10.008,8.97497
Sep-22,7.97861,7.80865,10.2083,6.90552,7.83168,7.44856,6.68967,6.92567,9.10091,6.94367,6.54075,6.00211,11.5343,12.4097,10.0303
Oct-22,11.06,9.18664,11.3384,7.22376,10.7777,10.7727,8.60523,8.18892,11.2643,8.06306,7.98209,6.71144,13.1456,11.7934,10.8331
Nov-22,13.2573,9.59093,10.6441,8.18574,12.0576,14.006,8.7798,8.22916,12.5675,10.3265,9.41763,9.35828,13.4311,15.4105,13.7414
Dec-22,8.08538,7.14841,8.14297,5.76585,8.14649,7.90709,6.53597,5.5911,11.9598,7.38684,5.93175,6.60903,8.07222,14.6494,8.42354
Jan-23,5.99078,5.02325,5.41464,3.67119,6.60756,5.10872,4.73617,4.14272,7.38404,6.43238,4.19512,4.7463,5.65421,7.81986,5.97556
Feb-23,4.77924,4.2006,4.40199,3.21434,4.94978,4.37699,3.97938,3.45369,5.1046,4.46824,3.7396,3.60216,5.09463,5.82809,4.92119
Mar-23,3.86282,3.10613,3.79931,2.49816,3.75856,3.24127,3.20377,2.64549,4.7906,3.4005,3.10744,2.80455,3.67659,4.34366,4.10376
Apr-23,5.44443,3.26735,3.75385,2.29091,3.84872,3.78175,3.06556,3.70875,6.00442,5.62969,3.77731,3.06381,3.88599,6.09342,4.75506
May-23,6.11023,3.37816,4.47257,3.38914,7.67304,5.36448,3.07696,4.35318,5.71887,8.45896,6.50291,3.89444,4.78521,7.43159,7.619
Jun-23,11.3012,2.91273,6.04693,4.00226,8.03828,5.44042,3.49235,5.65283,5.91411,6.20708,10.0818,5.79549,9.21292,8.06617,7.4061
Jul-23,10.7835,4.84808,5.0081,3.50105,12.164,6.59337,4.88527,9.43275,6.82212,9.40044,9.88865,9.25528,9.79597,9.28199,11.9879
Aug-23,9.72176,7.95759,5.16164,8.39898,10.2697,6.74127,6.79825,9.37695,8.37919,10.611,7.47197,8.67239,10.0194,8.81162,11.0938
Sep-23,8.88572,8.99323,7.10722,7.97356,10.0381,5.9351,7.48056,11.7186,9.6952,11.846,10.5641,10.2677,10.6288,9.2736,8.94365
Oct-23,8.65041,9.76376,6.81126,9.73488,13.6789,8.58267,8.56241,14.4653,11.4458,14.4986,12.5584,11.6392,10.5658,8.86519,8.98973
Nov-23,11.0338,10.8137,6.71496,15.5355,16.4684,12.2927,11.3424,15.899,17.1675,16.8305,14.2501,15.1591,12.8315,9.62061,12.4387
Dec-23,7.81242,9.68577,4.52742,15.2497,10.2812,8.64591,8.05597,10.6757,14.9986,10.2135,10.1841,9.62077,7.44565,6.46496,8.45884
Jan-24,5.38029,5.73876,4.35085,9.23129,6.23319,5.73638,5.53905,7.23523,9.29136,7.12375,6.14054,5.64698,5.05438,4.54138,5.99388
Feb-24,4.496,4.46871,3.26903,5.6604,5.13676,4.66713,4.19137,5.52006,6.71698,5.44683,4.86035,4.68469,4.59095,3.8714,4.73876
Mar-24,3.48326,5.02284,2.52148,4.40428,3.82004,3.48651,3.06668,4.28342,4.64899,4.33299,3.60676,3.6999,3.36348,2.97407,3.6307
Apr-24,5.56934,3.61005,4.34223,5.89052,4.95127,4.92891,5.98293,4.70963,4.20921,3.85909,3.20242,5.17625,3.17969,3.80502,3.18093
May-24,14.0907,4.60076,5.18227,4.84282,9.65806,5.43239,5.63705,5.1885,4.5002,6.4099,4.70698,9.94562,3.79728,3.51511,4.93502
Jun-24,9.22598,6.21138,8.71463,7.60904,7.1721,4.57672,4.08011,8.15098,6.84361,4.78939,6.40456,6.30567,6.89357,5.13113,9.84106
Jul-24,6.92931,12.1533,7.82439,10.0379,7.42818,11.4741,4.96292,7.43751,8.72326,4.75433,12.8812,7.67537,6.04907,5.70628,9.07789
Aug-24,7.30457,10.2438,7.5888,8.46187,7.18713,9.07954,4.68528,11.1395,9.38855,4.42081,9.45249,6.69242,8.31996,6.61396,8.60626
Sep-24,7.65493,9.15105,8.71142,8.9198,9.58681,10.3905,4.59963,11.3732,8.59916,4.83567,9.88111,6.38325,9.47392,8.68159,9.98267
Oct-24,8.50629,11.0225,8.45961,9.85751,9.82331,10.9031,5.4986,12.46,11.3441,5.93678,11.2566,6.85745,10.7485,8.07983,11.311
Nov-24,10.1252,10.9589,9.29667,10.482,12.7824,11.1624,6.47948,16.9709,10.9257,7.75893,11.6633,7.33997,18.0095,10.514,10.819
Dec-24,6.29342,9.0023,7.4403,7.33038,9.96781,7.02083,4.35262,15.8072,6.73162,4.63633,8.336,5.6001,12.5685,5.90548,9.53958
Jan-25,4.42461,5.71397,4.57054,5.19357,7.50313,4.6668,3.48623,8.63908,4.81433,3.38755,5.63035,3.80585,6.5584,4.02463,6.77713
Feb-25,3.80851,4.53853,3.83161,4.33461,5.56466,4.05973,3.14565,6.42312,4.09959,3.07809,4.51828,3.30949,5.37599,3.84478,4.99157
Mar-25,3.65108,3.41899,2.9054,3.8333,4.15421,3.06997,2.44517,5.96084,3.09173,2.44923,3.57824,2.5618,3.96149,2.98821,4.03182
Apr-25,3.15315,3.09894,2.67111,3.62321,4.51323,3.03338,2.95681,4.70473,5.13616,2.42183,3.14716,5.879,5.25598,2.74911,4.27647
May-25,10.4901,3.77701,3.16689,7.29051,10.2956,7.0797,3.24752,5.27746,4.59658,3.34186,3.97512,6.93586,5.95039,4.98451,6.74659
Jun-25,7.48137,7.69733,2.92693,6.93247,14.1974,5.72355,4.91287,4.55294,3.90341,5.4163,5.04837,7.66549,7.29606,5.09399,12.66
Jul-25,7.42421,6.61251,3.35822,12.3226,13.8228,5.57424,4.82501,4.97644,3.76789,4.96844,8.98597,10.229,9.53389,9.82671,8.03655
Aug-25,7.07997,6.94522,3.00033,7.29088,12.7049,5.12527,4.30631,7.7434,4.67784,6.1473,9.05184,7.78574,6.99898,6.47956,6.7248
Sep-25,7.35558,6.78805,4.25651,9.53932,10.2657,6.89321,5.21869,7.57193,4.88091,8.53485,8.75773,9.81226,7.08291,11.1997,6.91318
Oct-25,8.29574,7.78564,4.79906,10.0343,11.162,8.84477,5.94589,8.20132,6.83152,8.92908,14.7215,11.1792,8.21702,13.3376,9.41457
Nov-25,11.4426,8.60593,7.83206,13.6685,11.9238,11.0427,8.50666,9.06264,8.96094,10.7108,14.4028,12.3447,8.14147,15.7295,16.5946
Dec-25,9.84232,8.44088,5.19686,8.34495,10.1355,8.18361,5.80549,5.74537,8.10043,9.13663,12.1904,9.49265,5.45312,11.5567,8.27075
Jan-26,6.1642,5.11806,3.73596,5.97886,7.33997,5.90908,4.00279,4.17642,4.46967,5.88614,8.27668,5.51299,4.0134,7.31678,6.05834
Feb-26,4.7684,4.83953,2.95181,4.66094,5.47372,4.35191,3.45907,3.63879,3.75545,4.36768,5.94581,4.62606,3.44338,5.30701,4.68445
Mar-26,3.54255,3.62917,2.35123,3.57611,5.18214,3.55388,3.37471,2.85733,2.8397,3.62027,4.77675,3.99652,2.65229,3.84365,4.14208
Apr-26,3.50627,3.14416,2.23748,3.56686,4.84266,4.59103,3.52256,2.60806,2.90225,5.5103,4.41958,4.2581,3.66008,4.41083,5.17657
May-26,4.10942,10.9807,7.59306,8.96541,11.1856,4.89756,4.04977,3.09417,5.90923,5.23142,5.02015,6.01371,6.84745,9.71966,5.31118
Jun-26,3.42374,8.37943,4.7994,4.88978,9.46435,7.03711,3.69188,6.15926,5.21294,4.98061,6.72104,6.32098,5.7549,8.25144,9.56039
Jul-26,6.93732,17.4394,10.1903,7.75174,11.2744,7.59368,4.13931,8.98011,5.88018,7.56122,8.10815,7.11194,8.72371,10.914,17.408
Aug-26,4.22008,11.4498,8.74705,8.47483,9.21119,11.0156,3.86011,8.68377,6.22947,9.08879,8.42413,8.22067,7.20453,10.0144,12.0433
Sep-26,8.48409,9.5449,9.10767,9.9571,10.8625,12.4025,5.51622,9.39309,6.91642,8.5241,10.6965,7.74009,7.45596,9.46827,14.9058
Oct-26,9.60006,9.16091,11.3249,9.2168,10.3142,12.9321,6.59051,10.1563,8.86418,7.87227,11.1697,9.07064,8.86548,11.5108,16.1007
Nov-26,10.6239,9.49051,14.0868,14.5818,10.5698,16.5955,8.11957,10.988,11.1957,8.93629,13.9071,11.6112,9.15958,14.4302,17.4229
Dec-26,6.6302,7.00986,7.39955,8.53402,6.79032,12.6301,5.47818,5.93268,6.13949,5.96975,10.1839,6.4084,6.09886,11.2965,13.5335
Jan-27,4.2862,4.77998,5.06786,6.14499,4.92485,7.47725,4.06084,4.48814,4.27553,4.15164,7.20644,4.39453,4.42792,5.96522,9.08686
Feb-27,3.73696,4.06795,4.54447,5.72901,4.18652,5.67559,3.81441,3.85811,4.05576,3.69278,5.83629,5.16371,3.74824,5.18004,6.54119
Mar-27,2.79533,3.26847,4.37007,4.50506,3.18225,4.12922,3.25335,3.10272,3.22667,2.84913,4.42431,3.16352,3.13396,3.84241,5.04138
Apr-27,3.60372,3.52829,5.13929,4.24367,3.4191,4.07227,6.18422,3.62036,3.25107,2.67081,4.08024,4.44566,2.64962,5.96191,4.43765
May-27,3.50192,3.50181,5.98212,7.31914,12.0594,7.94872,4.91402,7.43485,5.72852,3.46284,10.1893,4.10873,7.10525,7.29816,4.62531
Jun-27,4.6675,3.85017,6.46176,6.97576,9.84079,9.71057,8.29128,11.1619,12.1059,4.62328,7.04855,3.44898,6.18042,8.51281,8.20214
Jul-27,13.3147,6.09049,7.47104,7.71782,9.77113,10.7173,8.23422,13.1649,12.4539,5.6981,6.5649,6.14982,6.77472,10.4497,8.57068
Aug-27,10.0128,7.86785,8.55175,5.93161,7.94324,11.0602,8.91507,10.9253,9.99969,7.81061,7.40196,6.27559,6.42816,8.17336,9.65907
Sep-27,8.61201,5.71134,10.3184,6.62799,8.49746,9.83498,5.71871,9.50786,12.1078,8.3263,8.57788,5.47937,7.15008,7.35878,8.36312
Oct-27,10.2674,9.6732,10.6419,8.18528,8.12848,10.2885,4.572,12.1074,13.2804,10.0787,9.6707,7.59656,8.59636,9.33586,10.3083
Nov-27,12.8006,10.8277,12.1524,11.4309,7.97404,11.5122,5.47931,14.9702,15.1633,15.4504,9.75926,11.5911,10.3605,13.0261,13.6757
Dec-27,11.0195,6.83784,10.4584,6.72915,5.48523,7.24624,5.26076,14.9536,10.3908,10.3624,8.54988,9.09073,9.33943,9.15896,8.38948
Jan-28,5.93899,4.56373,6.64807,4.44289,4.11898,5.05797,7.23941,9.20289,6.66361,5.9928,5.12095,5.74015,6.52594,5.68538,5.94069
Feb-28,5.09209,4.1943,5.06899,3.90995,3.96703,4.42354,4.64287,6.97667,5.45144,4.68034,4.58151,4.24865,4.83938,4.72375,4.69821
Mar-28,4.41823,3.12507,3.65136,3.0035,3.22148,4.52962,3.14713,5.03867,3.98148,3.46249,3.80223,3.5647,3.66806,3.6275,3.45958
Apr-28,3.77786,2.76779,3.91349,4.35362,3.90118,4.22147,3.04239,5.76037,3.51628,7.29653,3.21775,6.93427,3.43016,6.16343,3.97498
May-28,6.57953,3.7003,4.10639,3.73425,4.09612,7.79817,5.39672,6.15142,4.09788,13.7184,3.48188,7.65771,4.38951,7.78193,7.748
Jun-28,8.20588,10.0611,5.04378,6.99476,4.43436,6.33046,5.42123,6.53914,6.07887,14.7773,9.0815,11.6127,8.03887,10.8221,8.94673
Jul-28,10.8885,7.92739,4.24848,6.22449,7.48434,9.44438,4.62858,11.2476,6.7744,15.6799,7.60444,12.3163,8.6134,11.259,11.7901
Aug-28,7.06321,7.32515,5.72671,8.03488,10.7779,7.34526,4.59778,8.81728,5.52071,10.3186,6.10991,12.3394,9.7713,9.73415,12.0225
Sep-28,7.22078,5.86023,5.53663,8.4198,11.2453,7.10208,4.92425,11.0901,5.88615,11.9296,5.6482,12.4421,8.43541,9.88329,12.8275
Oct-28,8.17838,9.69014,7.25499,8.20789,11.1921,8.1032,5.49157,13.7797,8.32671,14.9821,8.0838,15.594,11.4412,11.8894,15.8351
Nov-28,10.1288,13.6034,9.07728,10.21,18.0236,12.0226,7.30086,19.0304,9.15177,21.8629,9.80769,17.8657,13.2807,16.8151,16.5399
Dec-28,6.11891,8.7727,5.77621,6.36319,10.7783,10.1178,10.4045,16.7618,6.21947,18.183,7.66676,12.3569,8.87386,13.3467,12.0198
Jan-29,4.96398,5.74585,5.11849,4.95802,7.11423,6.83958,7.63289,10.3653,4.60979,12.1425,5.23116,8.00557,5.5321,7.91552,8.03122
Feb-29,3.93499,4.50895,3.83185,4.17088,5.17576,5.28445,5.84466,6.72025,3.80426,7.96391,4.72913,6.74167,4.62309,6.03062,6.18259
Mar-29,2.96015,3.3846,3.23916,3.13119,3.84757,4.95239,3.88336,5.27796,2.96417,5.52304,4.30905,4.85559,3.43539,5.21259,4.37088
Apr-29,3.9222,6.11314,3.43473,3.52402,4.34491,3.96934,3.47978,4.55415,2.7459,4.84684,3.31937,4.43071,3.14357,4.41272,4.14364
May-29,5.64455,6.94457,5.75908,4.10988,7.27414,5.45708,6.11829,6.45179,3.45378,11.0268,3.2751,3.79947,3.86251,8.2454,4.09533
Jun-29,4.88644,11.9415,6.35388,3.49412,5.20591,9.54002,6.23636,10.8875,3.42573,12.7768,7.01322,4.94018,5.18408,13.4468,4.29912
Jul-29,3.96779,14.5584,7.27947,6.23784,10.7474,14.7224,6.93917,12.309,4.11628,8.12145,6.95892,6.74348,9.70125,17.1667,9.1517
Aug-29,4.14758,8.25577,5.79909,4.86691,8.45612,9.04714,6.39196,10.5869,4.32075,7.56658,6.02223,6.7059,8.23101,10.6887,11.9504
Sep-29,5.98573,8.50737,6.46083,6.90661,10.0299,11.1737,6.35527,11.2358,4.3138,6.50208,10.372,6.70404,9.42387,11.1737,10.0298
Oct-29,7.42323,12.4839,7.85028,5.74045,9.79471,13.0411,7.83694,13.8014,5.05911,8.22192,11.9937,8.74663,10.4521,12.6449,11.6365
Nov-29,7.50171,15.2438,8.21666,6.77716,11.5155,15.0965,8.62151,18.3492,5.46784,9.04368,12.7486,10.2509,12.3109,12.0104,15.1962
Dec-29,7.07718,13.8004,5.8832,6.64914,8.43868,10.5096,6.04039,12.0405,3.83397,5.93299,10.4225,6.36605,10.7853,9.26554,8.66213
Jan-30,4.02032,9.14106,4.19413,4.7638,7.05894,7.02988,4.21044,7.84347,2.99566,4.30794,7.48573,4.35825,7.0707,5.88675,6.14788
Feb-30,3.505,6.10068,3.49357,3.57068,5.2298,5.75701,3.67188,5.98122,3.20133,3.98984,5.33804,3.82185,4.99551,5.31661,5.31763
Mar-30,2.74754,4.38542,3.33327,2.89951,4.48692,4.32739,3.36671,4.75406,2.40663,2.91846,4.48151,3.26404,3.69403,4.11398,3.92108
Apr-30,2.62117,5.45422,2.85747,7.36424,4.39022,4.06887,3.00913,6.85815,7.03877,3.51413,3.5309,2.95426,4.22345,3.71221,4.8197
May-30,3.32432,5.45013,3.11167,9.87661,5.70187,6.87271,4.82956,6.84373,8.26487,6.22848,3.41181,5.02249,6.14912,6.30172,8.45199
Jun-30,6.52047,4.85932,5.04544,5.896,4.97524,9.08653,5.46149,9.28902,10.4789,7.20907,11.3107,6.01507,8.26557,5.40951,8.61491
Jul-30,15.0999,6.07628,5.78945,6.72314,9.72848,6.02372,6.84814,9.62236,12.3499,6.8042,9.0195,6.30575,14.0914,9.90714,9.02559
Aug-30,10.5786,9.01967,6.65427,6.72462,9.28466,11.2588,6.66841,9.49454,13.5804,6.70395,12.0985,7.01321,9.62653,11.6008,9.10521
Sep-30,7.73278,8.60426,6.55952,10.9799,8.68198,10.1685,6.68833,9.30343,9.99696,7.22873,9.76611,7.22028,10.931,9.98461,9.60654
Oct-30,10.9065,9.52489,7.92257,11.6518,9.72607,12.5482,8.6044,10.5374,13.627,8.53666,11.9734,9.32557,11.1727,11.5629,10.4448
Nov-30,15.8812,14.9092,9.96677,18.4883,10.5125,16.0324,8.77909,12.145,15.5788,12.4213,16.8273,15.1917,13.7327,12.4705,10.9531
Dec-30,10.3325,11.886,6.24717,15.9954,8.14923,11.0295,6.53542,8.25588,10.5738,13.1496,11.1781,9.71837,10.922,8.14589,7.7775
Jan-31,7.11816,7.63572,4.3461,11.2054,5.52997,7.26999,4.73577,5.67471,7.13531,8.05038,7.24428,6.05864,6.4287,5.6351,5.03892
Feb-31,5.92219,5.33777,3.69328,6.83564,4.34962,5.728,3.97916,4.67254,5.41258,5.59948,5.50379,5.03937,5.05291,4.55828,4.27495
Mar-31,4.05231,4.12943,3.00694,4.85606,3.33665,4.33855,3.20374,3.47792,4.11278,5.27439,4.09154,4.59312,3.76668,3.45101,3.28657
Apr-31,5.42057,4.51137,2.90812,7.055,3.16266,3.87846,3.06567,3.7938,3.69506,4.18485,3.90297,4.77356,4.44872,4.59183,3.24805
May-31,7.01875,6.86038,6.95011,7.48876,3.77257,4.99043,3.07718,9.13637,6.49544,10.4949,5.89326,4.47407,13.3765,5.00626,5.55357
Jun-31,6.31727,7.74999,7.09431,6.40679,4.57471,8.4109,3.49266,8.08785,9.59234,8.24417,5.59529,4.94541,7.84949,6.31887,5.44178
Jul-31,11.9024,6.83799,6.38226,4.86332,5.54787,10.7673,4.88571,13.0091,12.1707,10.1508,11.726,5.59803,10.2065,10.3904,6.39193
