;año,mes,Ojos de Agua,Cipreses,Isla,Colbún,Machicura,San Ignacio,Pehuenche,Curillinque,Loma Alta
1996,11,,30.40,77.13,105.59,106.53,29.66,252.96,85.71,0.00
1996,12,,23.74,89.70,73.81,71.94,1.94,212.29,108.43,0.00
1997,1,,17.05,88.59,87.21,0.00,4.46,231.36,110.82,0.00
1997,2,,11.35,77.53,69.08,0.00,5.35,185.54,98.18,0.00
1997,3,,9.65,72.21,125.41,0.00,65.69,125.11,81.23,0.00
1997,4,,10.17,68.72,154.11,0.00,114.75,215.74,74.49,0.00
1997,5,,12.44,57.97,159.15,0.00,132.54,317.83,60.86,0.00
1997,6,,11.55,61.94,247.67,0.00,183.20,449.48,68.28,0.00
1997,7,,33.10,74.84,390.77,0.00,217.56,404.61,88.01,9.39
1997,8,,12.46,75.64,356.84,0.00,209.80,491.72,88.15,76.72
1997,9,,5.69,79.84,340.44,0.00,197.86,494.70,88.02,91.46
1997,10,,15.22,87.21,369.92,0.00,214.32,564.31,32.25,33.94
1997,11,,33.48,87.26,343.62,0.00,190.41,410.52,73.03,70.18
1997,12,,53.14,93.78,335.83,0.00,177.40,469.56,79.15,66.09
1998,1,,50.34,95.10,317.58,285.44,204.07,487.12,108.74,112.65
1998,2,,50.28,81.00,180.35,166.18,110.17,295.90,95.18,97.23
1998,3,,39.94,70.47,192.01,187.45,134.39,198.85,82.61,84.25
1998,4,,29.86,69.98,175.50,179.37,88.47,240.16,81.31,74.74
1998,5,,52.00,77.24,162.03,171.30,165.36,210.39,89.84,91.71
1998,6,,48.64,72.36,194.51,217.60,185.58,237.63,81.62,82.57
1998,7,,46.91,79.13,136.44,158.86,155.12,230.72,88.61,91.08
1998,8,,20.84,76.30,76.53,88.22,91.79,179.75,86.23,87.81
1998,9,,14.59,68.14,57.32,58.58,45.24,201.59,75.95,77.11
1998,10,,13.41,62.78,65.56,68.33,24.87,157.98,66.66,65.54
1998,11,,19.02,64.44,48.31,55.80,1.79,99.44,70.61,72.38
1998,12,,12.77,74.07,44.64,46.52,0.00,123.10,81.87,85.21
1999,1,,11.53,80.50,45.69,48.13,0.00,110.62,89.67,94.08
1999,2,,8.70,68.88,40.07,40.90,0.00,104.75,76.57,79.63
1999,3,,7.79,43.66,29.93,29.34,0.00,78.02,46.04,44.98
1999,4,,5.35,42.73,36.70,37.80,22.89,95.22,44.77,44.65
1999,5,,5.02,25.98,44.37,46.13,38.35,98.34,22.23,18.63
1999,6,,2.87,25.15,31.11,33.53,27.51,154.91,24.26,16.67
1999,7,,2.24,25.53,42.93,41.48,40.11,181.70,24.61,22.90
1999,8,,0.21,32.17,78.21,78.12,81.16,250.90,34.46,42.57
1999,9,,5.50,48.94,185.90,183.83,167.01,449.86,57.95,60.43
1999,10,,30.83,86.96,291.62,267.51,197.99,579.58,99.74,105.69
