#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1977,10,53.6,52.9,52.1,51.4,50.7,50,49.3,48.5
1977,11,86.5,85.4,84.2,83,81.9,80.7,79.5,78.4
1977,12,84.6,83.5,82.3,81.2,80,78.9,77.8,76.6
1978,1,0,0,0,0,0,0,0,0
1978,2,0,0,0,0,0,0,0,0
1978,3,0,0,0,0,0,0,0,0
1978,4,0,0,0,0,0,0,0,0
1978,5,474.7,468,461.4,454.7,448,441.4,434.7,428
1978,6,1071.5,1056.5,1041.4,1026.4,1011.3,996.3,981.2,966.2
1978,7,1029.2,1014.8,1000.3,985.9,971.4,956.9,942.5,928
1978,8,94.7,93.4,92.1,90.7,89.4,88.1,86.7,85.4
1978,9,132.1,130.2,128.4,126.5,124.7,122.8,121,119.1
1978,10,476.2,469.5,462.8,456.2,449.5,442.8,436.1,429.4
1978,11,348.4,343.5,338.6,333.7,328.8,323.9,319,314.2
1978,12,0,0,0,0,0,0,0,0
1979,1,0,0,0,0,0,0,0,0
1979,2,0,0,0,0,0,0,0,0
1979,3,84.7,83.5,82.4,81.2,80,78.8,77.6,76.4
1979,4,246.8,242.2,237.6,233,228.4,223.8,219.2,214.6
1979,5,125.8,123.4,121.1,118.8,116.4,114.1,111.7,109.4
1979,6,425.1,417.2,409.3,401.4,393.5,385.5,377.6,369.7
1979,7,803.2,788.2,773.3,758.3,743.4,728.4,713.4,698.5
1979,8,424.7,416.8,408.9,401,393,385.1,377.2,369.3
1979,9,326.1,320,313.9,307.9,301.8,295.7,289.7,283.6
1979,10,433.6,425.5,417.4,409.3,401.3,393.2,385.1,377.1
1979,11,3.2,3.2,3.1,3,3,2.9,2.9,2.8
1979,12,8.5,8.4,8.2,8.1,7.9,7.7,7.6,7.4
1980,1,3.8,3.7,3.6,3.6,3.5,3.4,3.4,3.3
1980,2,0,0,0,0,0,0,0,0
1980,3,0,0,0,0,0,0,0,0
1980,4,21.1,20.7,20.2,19.8,19.3,18.9,18.4,18
1980,5,636.1,622.5,608.9,595.3,581.8,568.2,554.6,541
1980,6,777.3,760.7,744.1,727.5,710.8,694.2,677.6,661
1980,7,436.2,426.9,417.6,408.2,398.9,389.6,380.3,371
1980,8,409.7,401,392.2,383.5,374.7,366,357.2,348.5
1980,9,87.6,85.7,83.8,82,80.1,78.2,76.4,74.5
1980,10,28.5,27.9,27.3,26.7,26.1,25.5,24.9,24.3
1980,11,43.9,42.9,42,41.1,40.1,39.2,38.2,37.3
1980,12,0,0,0,0,0,0,0,0
1981,1,0,0,0,0,0,0,0,0
1981,2,0,0,0,0,0,0,0,0
1981,3,0,0,0,0,0,0,0,0
1981,4,392.8,388.1,383.3,378.6,373.9,369.1,364.4,359.7
1981,5,1190.9,1176.5,1162.2,1147.8,1133.5,1119.1,1104.8,1090.4
1981,6,1014,1001.8,989.6,977.3,965.1,952.9,940.7,928.5
1981,7,782.2,772.8,763.3,753.9,744.5,735.1,725.6,716.2
1981,8,250.3,247.3,244.3,241.3,238.3,235.3,232.2,229.2
1981,9,246.6,243.6,240.7,237.7,234.7,231.7,228.8,225.8
1981,10,314.8,311,307.2,303.4,299.6,295.8,292,288.2
1981,11,135,133.4,131.7,130.1,128.5,126.8,125.2,123.6
1981,12,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2
1982,1,0,0,0,0,0,0,0,0
1982,2,0,0,0,0,0,0,0,0
1982,3,0,0,0,0,0,0,0,0
1982,4,19,18.8,18.5,18.2,18,17.7,17.4,17.2
1982,5,577.8,569.7,561.7,553.6,545.6,537.6,529.5,521.5
