#,,Pp Banda 1,Pp Banda 2,Pp Banda 3,Pp Banda 4,Pp Banda 5,Pp Banda 6,Pp Banda 7,Pp Banda 8
1977,11,348.5,343.6,338.7,333.8,328.9,324,319.1,314.2
1977,12,0,0,0,0,0,0,0,0
1978,1,0,0,0,0,0,0,0,0
1978,2,0,0,0,0,0,0,0,0
1978,3,84.7,83.5,82.3,81.1,79.9,78.8,77.6,76.4
1978,4,247.7,243.1,238.4,233.8,229.2,224.6,220,215.4
1978,5,125.8,123.5,121.2,118.8,116.5,114.1,111.8,109.5
1978,6,425.7,417.7,409.8,401.9,394,386,378.1,370.2
1978,7,802.8,787.9,772.9,758,743,728.1,713.2,698.2
1978,8,424.1,416.2,408.3,400.5,392.6,384.7,376.8,368.9
1978,9,326.2,320.1,314,308,301.9,295.8,289.8,283.7
1978,10,433.4,425.3,417.3,409.2,401.1,393.1,385,376.9
1978,11,3.1,3.1,3,3,2.9,2.8,2.8,2.7
1978,12,8.8,8.6,8.5,8.3,8.1,8,7.8,7.6
1979,1,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.3
1979,2,0,0,0,0,0,0,0,0
1979,3,0,0,0,0,0,0,0,0
1979,4,20.8,20.4,19.9,19.5,19.1,18.6,18.2,17.7
1979,5,637.5,623.8,610.2,596.6,583,569.4,555.7,542.1
1979,6,776.6,760,743.4,726.8,710.2,693.6,677,660.4
1979,7,435,425.7,416.4,407.1,397.8,388.5,379.2,369.9
1979,8,409.3,400.6,391.8,383.1,374.3,365.6,356.8,348.1
1979,9,87.2,85.4,83.5,81.6,79.8,77.9,76,74.2
1979,10,28.4,27.8,27.2,26.6,26,25.4,24.8,24.2
1979,11,44.8,43.8,42.9,41.9,41,40,39,38.1
1979,12,0,0,0,0,0,0,0,0
1980,1,0,0,0,0,0,0,0,0
1980,2,0,0,0,0,0,0,0,0
1980,3,0,0,0,0,0,0,0,0
1980,4,393.9,389.2,384.5,379.7,375,370.2,365.5,360.7
1980,5,1185.2,1170.9,1156.6,1142.4,1128.1,1113.8,1099.5,1085.2
1980,6,1014.1,1001.9,989.7,977.5,965.3,953,940.8,928.6
1980,7,782.1,772.7,763.2,753.8,744.4,735,725.5,716.1
1980,8,250.5,247.5,244.5,241.5,238.4,235.4,232.4,229.4
1980,9,246.5,243.5,240.5,237.6,234.6,231.6,228.7,225.7
1980,10,316.5,312.7,308.9,305.1,301.3,297.5,293.6,289.8
1980,11,136.1,134.4,132.8,131.1,129.5,127.9,126.2,124.6
1980,12,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.1
1981,1,0,0,0,0,0,0,0,0
1981,2,0,0,0,0,0,0,0,0
1981,3,0,0,0,0,0,0,0,0
1981,4,19.3,19,18.7,18.5,18.2,17.9,17.7,17.4
1981,5,577.6,569.5,561.5,553.4,545.3,537.2,529.1,521.1
1981,6,1147.2,1131.2,1115.1,1099.1,1083,1067,1050.9,1034.9
1981,7,1229.1,1211.9,1194.7,1177.5,1160.3,1143.1,1126,1108.8
1981,8,185.8,183.2,180.6,178,175.4,172.8,170.2,167.6
1981,9,150.4,148.3,146.2,144.1,142,139.9,137.8,135.7
1981,10,340.5,335.8,331,326.2,321.5,316.7,312,307.2
1981,11,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1
1981,12,66.1,65.2,64.2,63.3,62.4,61.5,60.5,59.6
1982,1,0,0,0,0,0,0,0,0
1982,2,0,0,0,0,0,0,0,0
1982,3,9.8,9.7,9.6,9.4,9.3,9.2,9,8.9
1982,4,37.6,37,36.4,35.8,35.2,34.6,34,33.4
1982,5,176.9,174.1,171.3,168.5,165.7,162.9,160.1,157.2
1982,6,514,505.8,497.7,489.5,481.3,473.2,465,456.9
1982,7,1393.3,1371.1,1349,1326.9,1304.8,1282.6,1260.5,1238.4
1982,8,454.5,447.2,440,432.8,425.6,418.4,411.1,403.9
1982,9,87.3,85.9,84.6,83.2,81.8,80.4,79,77.6
1982,10,352.9,347.3,341.7,336.1,330.5,324.9,319.3,313.7
1982,11,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.2
1982,12,218.1,214.6,211.2,207.7,204.2,200.8,197.3,193.9
1983,1,0,0,0,0,0,0,0,0
1983,2,0,0,0,0,0,0,0,0
1983,3,42.5,41.8,41.1,40.5,39.8,39.1,38.4,37.8
1983,4,86,84.3,82.6,80.9,79.2,77.5,75.9,74.2
1983,5,1194.4,1171,1147.6,1124.2,1100.9,1077.5,1054.1,1030.7
1983,6,420.8,412.6,404.4,396.1,387.9,379.6,371.4,363.2
1983,7,684.7,671.3,657.9,644.5,631.1,617.7,604.3,590.9
1983,8,123,120.6,118.2,115.8,113.4,111,108.6,106.2
1983,9,36.3,35.6,34.8,34.1,33.4,32.7,32,31.3
1983,10,25.7,25.2,24.7,24.2,23.7,23.2,22.7,22.2
1983,11,17.2,16.9,16.5,16.2,15.8,15.5,15.2,14.8
1983,12,0,0,0,0,0,0,0,0
1984,1,25.9,25.3,24.8,24.3,23.8,23.3,22.8,22.3
1984,2,0,0,0,0,0,0,0,0
1984,3,48.8,47.9,46.9,46,45,44.1,43.1,42.1
1984,4,94,92.2,90.4,88.7,86.9,85.1,83.3,81.6
1984,5,414.7,406.8,399,391.2,383.3,375.5,367.7,359.8
1984,6,237.4,232.9,228.4,223.9,219.4,214.9,210.5,206
1984,7,884.1,867.4,850.7,834,817.3,800.6,783.9,767.2
1984,8,626.8,615,603.1,591.3,579.5,567.6,555.8,543.9
1984,9,350,343.3,336.7,330.1,323.5,316.9,310.3,303.7
1984,10,62.1,60.9,59.7,58.6,57.4,56.2,55,53.9
1984,11,0,0,0,0,0,0,0,0
