#,Banda,2850,2550,2250,1950,1547.5
1979,4,5.31,5.95,6.6,7.24,8.1
1979,5,1.47,2.35,3.22,4.1,5.27
1979,6,-1.54,-0.43,0.68,1.79,3.28
1979,7,-2.88,-1.76,-0.64,0.47,1.97
1979,8,-1.66,-0.6,0.45,1.5,2.92
1979,9,-0.15,0.94,2.04,3.13,4.6
1979,10,2.92,3.96,5,6.04,7.44
1979,11,4.51,5.64,6.77,7.91,9.42
1979,12,8.03,8.92,9.8,10.69,11.87
1980,1,10.89,11.78,12.66,13.55,14.73
1980,2,12.31,12.98,13.64,14.31,15.2
1980,3,10.4,11.08,11.75,12.42,13.32
1980,4,6.71,7.52,8.33,9.14,10.23
1980,5,1.41,2.25,3.09,3.93,5.05
1980,6,-1.23,-0.35,0.54,1.43,2.63
1980,7,-2.98,-1.82,-0.67,0.49,2.04
1980,8,-2.06,-0.75,0.56,1.87,3.63
1980,9,-0.17,1.09,2.36,3.63,5.33
1980,10,3.31,4.49,5.67,6.85,8.44
1980,11,4.78,5.98,7.18,8.38,9.99
1980,12,8.27,9.18,10.09,11,12.22
1981,1,11.22,12.14,13.05,13.96,15.18
1981,2,12.12,12.77,13.43,14.08,14.96
1981,3,10.05,10.7,11.35,11.99,12.86
1981,4,5.92,6.63,7.35,8.06,9.02
1981,5,1.49,2.37,3.25,4.14,5.33
1981,6,-1.59,-0.44,0.7,1.85,3.39
1981,7,-2.68,-1.64,-0.6,0.44,1.83
1981,8,-1.45,-0.53,0.4,1.32,2.56
1981,9,-0.16,1,2.16,3.32,4.87
1981,10,2.71,3.68,4.64,5.61,6.91
1981,11,4.66,5.83,7,8.17,9.74
1981,12,8.6,9.55,10.5,11.44,12.72
1982,1,11,11.9,12.79,13.68,14.88
1982,2,12.25,12.91,13.57,14.23,15.12
1982,3,10.23,10.89,11.55,12.21,13.09
1982,4,6.76,7.57,8.39,9.21,10.3
1982,5,1.73,2.76,3.79,4.82,6.2
1982,6,-1.53,-0.43,0.67,1.77,3.25
1982,7,-3.38,-2.07,-0.76,0.56,2.32
1982,8,-1.56,-0.57,0.43,1.42,2.75
1982,9,-0.16,1,2.16,3.32,4.87
1982,10,2.94,3.99,5.04,6.09,7.5
1982,11,4.6,5.75,6.91,8.07,9.61
1982,12,8.84,9.81,10.79,11.76,13.07
1983,1,11,11.9,12.79,13.68,14.88
1983,2,12.44,13.11,13.78,14.45,15.36
1983,3,11,11.71,12.42,13.13,14.08
1983,4,7.08,7.94,8.79,9.65,10.8
1983,5,1.74,2.78,3.82,4.86,6.25
1983,6,-1.3,-0.36,0.57,1.51,2.76
1983,7,-2.88,-1.76,-0.64,0.47,1.97
1983,8,-1.62,-0.59,0.44,1.47,2.85
1983,9,-0.17,1.09,2.36,3.63,5.33
1983,10,2.9,3.93,4.96,5.99,7.38
1983,11,4.36,5.45,6.55,7.64,9.11
1983,12,7.94,8.81,9.68,10.56,11.73
1984,1,9.07,9.8,10.54,11.28,12.26
1984,2,13.14,13.85,14.56,15.27,16.23
1984,3,9.81,10.44,11.08,11.71,12.56
1984,4,5.87,6.58,7.29,8,8.95
1984,5,1.97,3.14,4.32,5.49,7.07
1984,6,-1.3,-0.36,0.57,1.51,2.76
1984,7,-2.41,-1.47,-0.54,0.4,1.65
1984,8,-1.62,-0.59,0.44,1.47,2.85
1984,9,-0.17,1.09,2.34,3.6,5.29
