#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1976,10,0.678,1.589,2.500,3.411,4.321,5.232,6.143,7.054
1976,11,2.816,4.310,5.804,7.298,8.792,10.286,11.781,13.275
1976,12,5.992,6.871,7.751,8.630,9.510,10.389,11.269,12.148
1977,1,8.110,8.925,9.741,10.556,11.371,12.187,13.002,13.818
1977,2,8.350,8.873,9.397,9.920,10.444,10.967,11.491,12.014
1977,3,10.098,10.874,11.649,12.425,13.200,13.976,14.751,15.527
1977,4,5.201,6.062,6.924,7.785,8.647,9.508,10.369,11.231
1977,5,-0.424,0.806,2.036,3.267,4.497,5.727,6.958,8.188
1977,6,-2.857,-1.994,-1.132,-0.270,0.593,1.455,2.317,3.180
1977,7,-2.793,-2.167,-1.541,-0.916,-0.290,0.336,0.962,1.588
1977,8,-2.245,-1.602,-0.959,-0.316,0.328,0.971,1.614,2.257
1977,9,-2.754,-1.444,-0.133,1.177,2.487,3.797,5.107,6.417
1977,10,0.677,1.587,2.498,3.408,4.318,5.228,6.138,7.048
1977,11,2.437,3.730,5.023,6.316,7.609,8.902,10.194,11.487
1977,12,5.485,6.290,7.095,7.900,8.705,9.510,10.315,11.120
1978,1,8.943,9.842,10.742,11.641,12.540,13.439,14.338,15.237
1978,2,9.999,10.626,11.253,11.880,12.507,13.134,13.761,14.388
1978,3,6.931,7.463,7.995,8.527,9.059,9.592,10.124,10.656
1978,4,3.547,4.134,4.721,5.309,5.896,6.483,7.071,7.658
1978,5,-0.296,0.563,1.421,2.280,3.139,3.997,4.856,5.714
1978,6,-4.111,-2.870,-1.629,-0.388,0.853,2.094,3.335,4.576
1978,7,-3.375,-2.619,-1.863,-1.106,-0.350,0.406,1.162,1.919
1978,8,-3.238,-2.311,-1.383,-0.455,0.473,1.400,2.328,3.256
1978,9,-2.203,-1.155,-0.107,0.941,1.989,3.037,4.086,5.134
1978,10,0.711,1.665,2.620,3.574,4.529,5.483,6.438,7.393
1978,11,2.139,3.274,4.409,5.544,6.678,7.813,8.948,10.083
1978,12,5.526,6.337,7.148,7.959,8.770,9.581,10.392,11.203
1979,1,9.064,9.976,10.887,11.798,12.710,13.621,14.532,15.444
1979,2,10.966,11.654,12.342,13.029,13.717,14.404,15.092,15.780
1979,3,9.303,10.018,10.732,11.447,12.161,12.875,13.590,14.304
1979,4,5.236,6.103,6.970,7.837,8.704,9.571,10.439,11.306
1979,5,-0.280,0.533,1.347,2.160,2.974,3.788,4.601,5.415
1979,6,-2.657,-1.855,-1.053,-0.251,0.551,1.353,2.155,2.958
1979,7,-5.092,-3.951,-2.810,-1.669,-0.528,0.613,1.754,2.895
1979,8,-6.220,-4.438,-2.656,-0.874,0.908,2.689,4.471,6.253
1979,9,-2.873,-1.506,-0.139,1.228,2.594,3.961,5.328,6.695
1979,10,0.978,2.291,3.605,4.918,6.232,7.545,8.858,10.172
1979,11,2.334,3.572,4.810,6.049,7.287,8.525,9.764,11.002
1979,12,5.943,6.815,7.687,8.560,9.432,10.304,11.176,12.049
1980,1,9.464,10.416,11.367,12.319,13.270,14.222,15.173,16.125
1980,2,10.683,11.352,12.022,12.692,13.362,14.032,14.701,15.371
1980,3,8.867,9.548,10.229,10.910,11.591,12.272,12.953,13.634
1980,4,4.264,4.970,5.676,6.382,7.088,7.794,8.500,9.206
1980,5,-0.306,0.581,1.467,2.354,3.240,4.126,5.013,5.899
1980,6,-4.246,-2.964,-1.683,-0.401,0.881,2.163,3.445,4.726
1980,7,-3.101,-2.407,-1.712,-1.017,-0.322,0.373,1.068,1.763
1980,8,-1.812,-1.293,-0.774,-0.255,0.264,0.783,1.302,1.821
1980,9,-2.434,-1.276,-0.118,1.040,2.198,3.356,4.514,5.672
1980,10,0.578,1.353,2.129,2.905,3.681,4.457,5.233,6.009
1980,11,2.246,3.438,4.629,5.821,7.013,8.204,9.396,10.588
1980,12,6.432,7.376,8.320,9.264,10.209,11.153,12.097,13.041
1981,1,9.180,10.102,11.025,11.948,12.871,13.794,14.717,15.640
1981,2,10.887,11.569,12.252,12.934,13.617,14.300,14.982,15.665
1981,3,9.062,9.758,10.454,11.150,11.846,12.542,13.238,13.934
1981,4,5.273,6.146,7.019,7.892,8.766,9.639,10.512,11.385
1981,5,-0.388,0.737,1.863,2.988,4.113,5.239,6.364,7.490
1981,6,-4.004,-2.795,-1.586,-0.378,0.831,2.039,3.248,4.456
1981,7,-8.570,-6.650,-4.730,-2.809,-0.889,1.031,2.952,4.872
1981,8,-2.538,-1.811,-1.084,-0.357,0.370,1.097,1.825,2.552
1981,9,-2.453,-1.286,-0.119,1.048,2.215,3.382,4.549,5.715
1981,10,0.721,1.689,2.658,3.626,4.594,5.562,6.531,7.499
1981,11,2.198,3.364,4.531,5.697,6.863,8.030,9.196,10.362
1981,12,6.816,7.817,8.817,9.818,10.818,11.819,12.819,13.819
1982,1,9.195,10.119,11.044,11.968,12.892,13.817,14.741,15.666
1982,2,11.095,11.790,12.486,13.182,13.877,14.573,15.268,15.964
1982,3,9.941,10.705,11.468,12.231,12.995,13.758,14.522,15.285
1982,4,5.641,6.575,7.509,8.443,9.377,10.312,11.246,12.180
1982,5,-0.394,0.749,1.892,3.035,4.178,5.321,6.464,7.607
1982,6,-3.024,-2.111,-1.198,-0.285,0.627,1.540,2.453,3.366
1982,7,-4.339,-3.367,-2.395,-1.422,-0.450,0.522,1.494,2.467
1982,8,-3.105,-2.215,-1.326,-0.436,0.453,1.343,2.232,3.122
1982,9,-2.869,-1.504,-0.139,1.226,2.591,3.955,5.320,6.685
1982,10,0.698,1.636,2.574,3.512,4.450,5.388,6.326,7.264
1982,11,2.011,3.078,4.145,5.212,6.279,7.346,8.413,9.480
1982,12,5.416,6.211,7.006,7.801,8.596,9.391,10.186,10.981
1983,1,6.720,7.396,8.071,8.747,9.422,10.098,10.774,11.449
1983,2,12.152,12.914,13.676,14.438,15.199,15.961,16.723,17.485
1983,3,8.641,9.305,9.968,10.632,11.295,11.959,12.622,13.286
1983,4,4.196,4.891,5.586,6.281,6.976,7.671,8.366,9.061
1983,5,-0.467,0.888,2.242,3.597,4.952,6.306,7.661,9.016
1983,6,-2.956,-2.064,-1.171,-0.279,0.613,1.506,2.398,3.290
1983,7,-2.555,-1.982,-1.410,-0.837,-0.265,0.307,0.880,1.452
1983,8,-3.097,-2.210,-1.323,-0.435,0.452,1.339,2.226,3.114
1983,9,-2.837,-1.487,-0.137,1.212,2.562,3.911,5.261,6.611
1983,10,1.060,2.484,3.908,5.332,6.757,8.181,9.605,11.029
1983,11,2.578,3.946,5.314,6.682,8.050,9.418,10.786,12.154
1983,12,7.958,9.126,10.295,11.463,12.631,13.799,14.967,16.135
1984,1,9.280,10.213,11.146,12.079,13.011,13.944,14.877,15.810
1984,2,10.676,11.346,12.015,12.685,13.354,14.023,14.693,15.362
1984,3,9.377,10.098,10.818,11.538,12.258,12.978,13.698,14.418
