#,,Banda 1-FC,Banda 2-FC,Banda 3-FC,Banda 4-FC,Banda 5-FC,Banda 6-FC,Banda 7-FC,Banda 8-FC
#,Banda,3460.5,3150.5,2840.5,2530.5,2220.5,1910.5,1600.5,1290.5
#,Mes,T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC],T [ºC]
1999,2,9.438,10.029,10.621,11.213,11.804,12.396,12.988,13.580
1999,3,8.490,9.142,9.794,10.446,11.098,11.750,12.402,13.054
1999,4,4.646,5.415,6.185,6.954,7.724,8.493,9.263,10.032
1999,5,-0.276,0.525,1.326,2.128,2.929,3.730,4.531,5.333
1999,6,-2.455,-1.714,-0.973,-0.232,0.509,1.250,1.991,2.732
1999,7,-1.213,-0.941,-0.669,-0.398,-0.126,0.146,0.418,0.689
1999,8,-4.313,-3.077,-1.842,-0.606,0.629,1.865,3.101,4.336
1999,9,-2.873,-1.506,-0.139,1.228,2.595,3.962,5.329,6.696
1999,10,0.798,1.870,2.942,4.013,5.085,6.157,7.229,8.301
1999,11,2.405,3.680,4.956,6.232,7.508,8.784,10.060,11.335
1999,12,7.194,8.250,9.306,10.361,11.417,12.473,13.529,14.585
2000,1,8.167,8.988,9.809,10.630,11.451,12.273,13.094,13.915
2000,2,11.913,12.660,13.407,14.154,14.901,15.648,16.395,17.142
2000,3,8.948,9.635,10.323,11.010,11.697,12.384,13.071,13.759
2000,4,4.793,5.587,6.380,7.174,7.968,8.762,9.556,10.349
2000,5,-0.349,0.664,1.678,2.691,3.705,4.719,5.732,6.746
2000,6,-5.939,-4.146,-2.353,-0.561,1.232,3.025,4.817,6.610
2000,7,-4.420,-3.430,-2.439,-1.449,-0.458,0.532,1.522,2.513
2000,8,-4.242,-3.027,-1.811,-0.596,0.619,1.834,3.049,4.264
2000,9,-2.312,-1.212,-0.112,0.988,2.088,3.188,4.288,5.388
2000,10,0.798,1.870,2.941,4.013,5.085,6.156,7.228,8.300
2000,11,2.778,4.251,5.725,7.199,8.673,10.147,11.620,13.094
2000,12,6.972,7.995,9.018,10.041,11.065,12.088,13.111,14.135
2001,1,8.721,9.598,10.475,11.351,12.228,13.105,13.982,14.859
2001,2,10.716,11.388,12.060,12.732,13.404,14.076,14.748,15.420
2001,3,8.465,9.116,9.766,10.416,11.066,11.716,12.366,13.016
2001,4,4.547,5.300,6.053,6.806,7.559,8.312,9.065,9.818
2001,5,-0.291,0.554,1.399,2.245,3.090,3.936,4.781,5.627
2001,6,-1.510,-1.054,-0.598,-0.143,0.313,0.769,1.225,1.681
2001,7,-7.235,-5.614,-3.993,-2.372,-0.750,0.871,2.492,4.113
2001,8,-3.911,-2.791,-1.670,-0.550,0.571,1.691,2.812,3.932
2001,9,-2.703,-1.417,-0.131,1.155,2.441,3.727,5.013,6.299
2001,10,0.828,1.941,3.054,4.166,5.279,6.391,7.504,8.617
2001,11,2.630,4.026,5.422,6.818,8.213,9.609,11.005,12.401
2001,12,6.580,7.546,8.512,9.478,10.444,11.409,12.375,13.341
2002,1,10.856,11.948,13.039,14.131,15.222,16.313,17.405,18.496
2002,2,10.764,11.438,12.113,12.788,13.463,14.138,14.813,15.488
2002,3,10.290,11.080,11.870,12.661,13.451,14.241,15.031,15.822
2002,4,4.968,5.791,6.614,7.437,8.260,9.083,9.905,10.728
2002,5,-0.310,0.588,1.486,2.384,3.282,4.180,5.079,5.977
2002,6,-4.660,-3.254,-1.847,-0.440,0.967,2.374,3.781,5.187
2002,7,-3.758,-2.916,-2.074,-1.232,-0.390,0.452,1.294,2.137
2002,8,-3.713,-2.649,-1.586,-0.522,0.542,1.605,2.669,3.733
2002,9,-2.496,-1.309,-0.121,1.067,2.254,3.442,4.629,5.817
2002,10,0.807,1.892,2.977,4.062,5.146,6.231,7.316,8.400
2002,11,2.269,3.472,4.676,5.880,7.084,8.287,9.491,10.695
2002,12,6.812,7.812,8.811,9.811,10.811,11.811,12.811,13.810
2003,1,9.394,10.338,11.283,12.227,13.172,14.116,15.060,16.005
2003,2,11.102,11.798,12.494,13.190,13.886,14.583,15.279,15.975
2003,3,9.125,9.826,10.526,11.227,11.928,12.629,13.329,14.030
2003,4,5.061,5.899,6.737,7.575,8.413,9.252,10.090,10.928
2003,5,-0.407,0.773,1.952,3.131,4.310,5.489,6.668,7.848
2003,6,-2.948,-2.058,-1.168,-0.278,0.612,1.502,2.392,3.282
2003,7,-1.489,-1.155,-0.822,-0.488,-0.154,0.179,0.513,0.847
2003,8,-4.237,-3.023,-1.809,-0.596,0.618,1.832,3.046,4.260
2003,9,-2.429,-1.273,-0.118,1.038,2.194,3.350,4.505,5.661
2003,10,0.922,2.160,3.398,4.636,5.873,7.111,8.349,9.587
2003,11,2.407,3.684,4.961,6.238,7.515,8.792,10.069,11.346
2003,12,6.510,7.466,8.421,9.377,10.332,11.288,12.244,13.199
2004,1,9.297,10.232,11.167,12.101,13.036,13.971,14.906,15.840
2004,2,9.360,9.947,10.534,11.121,11.707,12.294,12.881,13.468
2004,3,9.360,10.079,10.798,11.517,12.236,12.954,13.673,14.392
2004,4,4.902,5.714,6.526,7.338,8.149,8.961,9.773,10.585
2004,5,-0.340,0.646,1.632,2.618,3.604,4.590,5.576,6.562
2004,6,-3.693,-2.578,-1.463,-0.349,0.766,1.881,2.996,4.111
2004,7,-5.430,-4.213,-2.996,-1.780,-0.563,0.653,1.870,3.087
2004,8,-3.508,-2.503,-1.498,-0.493,0.512,1.517,2.522,3.527
2004,9,-3.034,-1.591,-0.147,1.297,2.740,4.184,5.627,7.071
2004,10,0.969,2.271,3.572,4.874,6.176,7.477,8.779,10.080
2004,11,2.997,4.586,6.176,7.766,9.356,10.946,12.536,14.126
2004,12,8.529,9.780,11.032,12.284,13.536,14.788,16.039,17.291
2005,1,9.331,10.269,11.207,12.146,13.084,14.022,14.960,15.898
2005,2,10.937,11.623,12.308,12.994,13.680,14.365,15.051,15.737
2005,3,8.234,8.866,9.499,10.131,10.763,11.396,12.028,12.660
2005,4,4.839,5.641,6.442,7.244,8.045,8.847,9.648,10.450
2005,5,-0.390,0.741,1.871,3.001,4.132,5.262,6.392,7.523
2005,6,-2.674,-1.867,-1.060,-0.252,0.555,1.362,2.169,2.977
2005,7,-8.532,-6.620,-4.708,-2.797,-0.885,1.027,2.938,4.850
2005,8,-3.942,-2.813,-1.684,-0.554,0.575,1.705,2.834,3.963
2005,9,-2.205,-1.156,-0.107,0.942,1.991,3.040,4.089,5.138
2005,10,0.880,2.063,3.246,4.428,5.611,6.793,7.976,9.158
2005,11,2.570,3.934,5.298,6.662,8.026,9.390,10.754,12.117
2005,12,7.656,8.779,9.903,11.027,12.150,13.274,14.398,15.521
2006,1,9.409,10.355,11.301,12.247,13.193,14.139,15.085,16.031
2006,2,11.121,11.818,12.515,13.213,13.910,14.607,15.305,16.002
2006,3,9.937,10.700,11.464,12.227,12.990,13.753,14.516,15.279
2006,4,4.337,5.056,5.774,6.492,7.211,7.929,8.647,9.366
2006,5,-0.410,0.779,1.968,3.157,4.346,5.535,6.724,7.913
2006,6,-1.763,-1.231,-0.699,-0.166,0.366,0.898,1.430,1.963
2006,7,-1.704,-1.322,-0.940,-0.558,-0.177,0.205,0.587,0.969
2006,8,-3.964,-2.829,-1.693,-0.557,0.578,1.714,2.850,3.986
2006,9,-2.968,-1.556,-0.144,1.268,2.680,4.092,5.505,6.917
2006,10,1.019,2.388,3.757,5.126,6.495,7.864,9.234,10.603
2006,11,2.617,4.006,5.395,6.783,8.172,9.560,10.949,12.338
2006,12,6.788,7.784,8.781,9.777,10.773,11.769,12.766,13.762
2007,1,8.909,9.804,10.700,11.595,12.491,13.387,14.282,15.178
2007,2,11.214,11.917,12.621,13.324,14.027,14.730,15.433,16.136
2007,3,7.980,8.593,9.206,9.819,10.432,11.045,11.658,12.270
2007,4,4.632,5.400,6.167,6.934,7.701,8.468,9.236,10.003
2007,5,-0.308,0.585,1.477,2.369,3.261,4.153,5.045,5.937
2007,6,-3.529,-2.463,-1.398,-0.333,0.732,1.797,2.862,3.928
2007,7,-4.404,-3.417,-2.430,-1.444,-0.457,0.530,1.517,2.504
2007,8,-4.790,-3.418,-2.046,-0.673,0.699,2.071,3.444,4.816
2007,9,-2.343,-1.228,-0.114,1.001,2.116,3.231,4.346,5.461
2007,10,0.773,1.811,2.848,3.886,4.924,5.962,7.000,8.038
2007,11,2.312,3.538,4.765,5.991,7.218,8.444,9.671,10.897
2007,12,7.195,8.252,9.308,10.364,11.420,12.476,13.532,14.588
2008,1,9.269,10.201,11.133,12.065,12.997,13.928,14.860,15.792
2008,2,11.641,12.371,13.101,13.831,14.561,15.291,16.021,16.750
2008,3,8.331,8.971,9.611,10.251,10.891,11.531,12.170,12.810
2008,4,5.206,6.069,6.931,7.793,8.656,9.518,10.380,11.242
2008,5,-0.350,0.666,1.681,2.697,3.713,4.729,5.745,6.761
2008,6,-3.887,-2.713,-1.540,-0.367,0.806,1.980,3.153,4.326
2008,7,-2.640,-2.049,-1.457,-0.865,-0.274,0.318,0.909,1.501
2008,8,-3.473,-2.478,-1.483,-0.488,0.507,1.502,2.496,3.491
2008,9,-2.119,-1.111,-0.103,0.905,1.914,2.922,3.930,4.938
2008,10,0.828,1.941,3.054,4.166,5.279,6.391,7.504,8.617
2008,11,2.601,3.981,5.360,6.740,8.120,9.500,10.880,12.260
2008,12,8.675,9.948,11.221,12.494,13.768,15.041,16.314,17.587
2009,1,9.880,10.873,11.867,12.860,13.853,14.847,15.840,16.833
2009,2,11.280,11.987,12.694,13.402,14.109,14.816,15.523,16.231
2009,3,9.194,9.900,10.606,11.312,12.018,12.724,13.430,14.136
2009,4,5.026,5.858,6.691,7.523,8.356,9.188,10.020,10.853
2009,5,-0.346,0.657,1.660,2.662,3.665,4.668,5.670,6.673
2009,6,-4.971,-3.470,-1.970,-0.469,1.031,2.532,4.032,5.533
2009,7,-6.410,-4.974,-3.538,-2.101,-0.665,0.771,2.208,3.644
2009,8,-4.231,-3.019,-1.807,-0.595,0.617,1.830,3.042,4.254
2009,9,-2.341,-1.227,-0.113,1.000,2.114,3.228,4.341,5.455
2009,10,0.964,2.258,3.553,4.848,6.142,7.437,8.731,10.026
2009,11,2.501,3.828,5.156,6.483,7.810,9.137,10.464,11.791
2009,12,7.269,8.336,9.402,10.469,11.536,12.603,13.670,14.737
2010,1,9.168,10.090,11.012,11.934,12.855,13.777,14.699,15.621
2010,2,9.653,10.259,10.864,11.469,12.075,12.680,13.285,13.890
2010,3,8.341,8.981,9.622,10.262,10.903,11.544,12.184,12.825
2010,4,5.311,6.191,7.070,7.950,8.829,9.709,10.589,11.468
2010,5,-0.373,0.708,1.789,2.869,3.950,5.030,6.111,7.192
2010,6,-3.238,-2.261,-1.283,-0.306,0.672,1.649,2.627,3.604
2010,7,-4.342,-3.369,-2.396,-1.423,-0.450,0.523,1.495,2.468
2010,8,-4.279,-3.053,-1.827,-0.601,0.624,1.850,3.076,4.302
2010,9,-2.337,-1.225,-0.113,0.998,2.110,3.222,4.334,5.445
2010,10,0.970,2.273,3.577,4.880,6.183,7.486,8.790,10.093
2010,11,2.695,4.125,5.554,6.984,8.414,9.844,11.274,12.704
2010,12,6.346,7.278,8.209,9.141,10.072,11.004,11.935,12.867
2011,1,9.716,10.693,11.669,12.646,13.623,14.600,15.577,16.553
2011,2,10.831,11.511,12.190,12.869,13.548,14.227,14.906,15.585
2011,3,7.493,8.068,8.643,9.219,9.794,10.369,10.945,11.520
2011,4,4.547,5.300,6.053,6.806,7.559,8.312,9.065,9.818
2011,5,-0.345,0.657,1.659,2.660,3.662,4.664,5.666,6.668
2011,6,-4.250,-2.967,-1.684,-0.401,0.882,2.165,3.448,4.731
2011,7,-3.076,-2.387,-1.697,-1.008,-0.319,0.370,1.059,1.748
2011,8,-3.206,-2.288,-1.369,-0.451,0.468,1.386,2.305,3.224
2011,9,-2.674,-1.402,-0.130,1.143,2.415,3.688,4.960,6.232
2011,10,0.925,2.169,3.412,4.655,5.898,7.141,8.384,9.627
2011,11,2.685,4.109,5.534,6.958,8.383,9.807,11.232,12.656
2011,12,8.111,9.301,10.491,11.682,12.872,14.063,15.253,16.444
2012,1,8.918,9.815,10.712,11.608,12.505,13.401,14.298,15.195
2012,2,12.828,13.632,14.436,15.240,16.045,16.849,17.653,18.458
2012,3,9.978,10.744,11.510,12.276,13.043,13.809,14.575,15.341
2012,4,5.214,6.078,6.942,7.805,8.669,9.533,10.396,11.260
2012,5,-0.380,0.722,1.824,2.926,4.028,5.130,6.232,7.334
2012,6,-2.930,-2.045,-1.161,-0.277,0.608,1.492,2.377,3.261
2012,7,-5.270,-4.089,-2.908,-1.728,-0.547,0.634,1.815,2.996
2012,8,-1.614,-1.152,-0.689,-0.227,0.236,0.698,1.160,1.623
2012,9,-2.332,-1.223,-0.113,0.997,2.106,3.216,4.325,5.435
2012,10,0.627,1.468,2.310,3.151,3.993,4.834,5.676,6.518
2012,11,2.381,3.645,4.908,6.172,7.436,8.699,9.963,11.226
2012,12,6.815,7.815,8.815,9.815,10.816,11.816,12.816,13.816
2013,1,9.032,9.939,10.847,11.755,12.663,13.571,14.479,15.387
2013,2,9.556,10.155,10.754,11.354,11.953,12.552,13.151,13.750
2013,3,9.401,10.123,10.845,11.566,12.288,13.010,13.732,14.454
2013,4,5.187,6.047,6.906,7.765,8.624,9.483,10.342,11.201
2013,5,-0.372,0.706,1.784,2.862,3.940,5.018,6.096,7.174
2013,6,-4.672,-3.262,-1.852,-0.441,0.969,2.380,3.790,5.201
2013,7,-2.780,-2.157,-1.534,-0.911,-0.288,0.335,0.958,1.580
2013,8,-4.486,-3.201,-1.916,-0.631,0.655,1.940,3.225,4.510
2013,9,-2.709,-1.420,-0.131,1.158,2.447,3.735,5.024,6.313
2013,10,0.781,1.830,2.879,3.928,4.978,6.027,7.076,8.125
2013,11,2.478,3.793,5.108,6.423,7.738,9.053,10.368,11.683
2013,12,7.760,8.899,10.037,11.176,12.315,13.454,14.593,15.732
2014,1,9.310,10.246,11.182,12.118,13.054,13.990,14.926,15.862
2014,2,11.148,11.847,12.546,13.245,13.944,14.643,15.342,16.041
2014,3,9.806,10.559,11.312,12.065,12.818,13.571,14.324,15.077
2014,4,4.848,5.651,6.454,7.257,8.060,8.862,9.665,10.468
2014,5,-0.333,0.633,1.599,2.565,3.531,4.497,5.463,6.429
2014,6,-3.380,-2.359,-1.339,-0.319,0.701,1.721,2.741,3.762
2014,7,-5.720,-4.438,-3.156,-1.875,-0.593,0.688,1.970,3.251
2014,8,-4.827,-3.444,-2.061,-0.678,0.704,2.087,3.470,4.853
2014,9,-2.536,-1.329,-0.123,1.084,2.290,3.497,4.703,5.909
2014,10,0.695,1.628,2.561,3.494,4.427,5.360,6.293,7.227
2014,11,2.722,4.167,5.611,7.056,8.500,9.945,11.389,12.834
2014,12,6.612,7.582,8.553,9.523,10.494,11.464,12.435,13.405
2015,1,8.773,9.655,10.537,11.418,12.300,13.182,14.064,14.946
2015,2,11.026,11.718,12.409,13.100,13.792,14.483,15.174,15.866
2015,3,8.622,9.284,9.946,10.609,11.271,11.933,12.595,13.257
2015,4,6.175,7.198,8.221,9.244,10.267,11.289,12.312,13.335
2015,5,-0.443,0.842,2.127,3.412,4.697,5.982,7.267,8.552
2015,6,-2.817,-1.966,-1.116,-0.266,0.584,1.435,2.285,3.135
2015,7,-3.856,-2.992,-2.128,-1.264,-0.400,0.464,1.328,2.192
2015,8,-2.865,-2.045,-1.224,-0.403,0.418,1.239,2.060,2.881
2015,9,-2.363,-1.239,-0.115,1.010,2.134,3.259,4.383,5.507
2015,10,0.812,1.904,2.995,4.087,5.178,6.269,7.361,8.452
2015,11,2.602,3.983,5.364,6.745,8.126,9.507,10.888,12.268
2015,12,7.089,8.129,9.169,10.210,11.250,12.291,13.331,14.372
2016,1,9.609,10.575,11.541,12.507,13.473,14.439,15.405,16.372
2016,2,12.420,13.199,13.978,14.756,15.535,16.314,17.093,17.871
2016,3,8.999,9.690,10.381,11.073,11.764,12.455,13.146,13.837
2016,4,4.472,5.212,5.953,6.694,7.434,8.175,8.915,9.656
2016,5,-0.344,0.654,1.651,2.649,3.646,4.644,5.642,6.639
2016,6,-3.000,-2.094,-1.189,-0.283,0.622,1.528,2.434,3.339
2016,7,-1.750,-1.358,-0.966,-0.574,-0.181,0.211,0.603,0.995
2016,8,-3.506,-2.502,-1.497,-0.493,0.512,1.516,2.521,3.525
2016,9,-3.203,-1.679,-0.155,1.369,2.892,4.416,5.940,7.464
2016,10,0.817,1.914,3.012,4.109,5.206,6.304,7.401,8.498
2016,11,2.604,3.985,5.367,6.748,8.130,9.511,10.893,12.274
2016,12,7.270,8.337,9.405,10.472,11.539,12.606,13.673,14.740
2017,1,9.530,10.488,11.447,12.405,13.363,14.321,15.279,16.237
2017,2,9.551,10.150,10.749,11.348,11.947,12.546,13.145,13.744
2017,3,7.138,7.686,8.235,8.783,9.331,9.879,10.427,10.975
2017,4,3.759,4.382,5.005,5.627,6.250,6.872,7.495,8.118
2017,5,-0.319,0.606,1.532,2.457,3.382,4.307,5.233,6.158
2017,6,-2.653,-1.852,-1.051,-0.250,0.550,1.351,2.152,2.953
2017,7,-5.801,-4.501,-3.201,-1.901,-0.602,0.698,1.998,3.298
2017,8,-2.934,-2.093,-1.253,-0.412,0.428,1.269,2.109,2.950
2017,9,-2.170,-1.138,-0.105,0.927,1.960,2.992,4.025,5.057
2017,10,0.867,2.031,3.195,4.359,5.523,6.687,7.851,9.015
2017,11,2.642,4.044,5.446,6.847,8.249,9.651,11.053,12.455
2017,12,7.219,8.278,9.338,10.397,11.457,12.516,13.576,14.635
2018,1,10.486,11.541,12.595,13.649,14.704,15.758,16.812,17.866
2018,2,10.175,10.813,11.451,12.089,12.727,13.365,14.003,14.641
2018,3,8.118,8.742,9.365,9.989,10.612,11.235,11.859,12.482
2018,4,5.520,6.434,7.348,8.262,9.177,10.091,11.005,11.919
2018,5,-0.355,0.675,1.705,2.735,3.765,4.795,5.825,6.855
2018,6,-3.322,-2.320,-1.317,-0.314,0.689,1.692,2.695,3.698
2018,7,-4.210,-3.267,-2.324,-1.380,-0.437,0.507,1.450,2.393
2018,8,-3.987,-2.845,-1.703,-0.560,0.582,1.724,2.866,4.008
2018,9,-2.444,-1.281,-0.118,1.044,2.207,3.369,4.532,5.694
2018,10,0.993,2.328,3.662,4.996,6.331,7.665,8.999,10.334
2018,11,2.475,3.788,5.101,6.414,7.727,9.040,10.353,11.666
2018,12,7.223,8.283,9.343,10.403,11.464,12.524,13.584,14.644
2019,1,8.548,9.407,10.267,11.126,11.986,12.845,13.704,14.564
2019,2,10.514,11.173,11.832,12.492,13.151,13.810,14.469,15.129
2019,3,8.123,8.747,9.371,9.995,10.619,11.242,11.866,12.490
2019,4,5.625,6.557,7.489,8.420,9.352,10.284,11.215,12.147
2019,5,-0.422,0.801,2.024,3.248,4.471,5.694,6.917,8.140
2019,6,-4.375,-3.055,-1.734,-0.413,0.908,2.229,3.549,4.870
2019,7,-6.848,-5.314,-3.779,-2.245,-0.710,0.824,2.359,3.893
2019,8,-5.086,-3.629,-2.172,-0.715,0.742,2.199,3.656,5.113
2019,9,-2.973,-1.559,-0.144,1.270,2.685,4.099,5.514,6.928
2019,10,0.823,1.930,3.036,4.142,5.248,6.354,7.460,8.566
2019,11,2.199,3.365,4.532,5.699,6.865,8.032,9.199,10.365
2019,12,6.447,7.393,8.339,9.285,10.232,11.178,12.124,13.070
2020,1,9.245,10.175,11.104,12.034,12.963,13.893,14.822,15.752
2020,2,10.631,11.297,11.964,12.630,13.297,13.964,14.630,15.297
2020,3,7.917,8.525,9.133,9.741,10.349,10.957,11.564,12.172
2020,4,4.378,5.103,5.828,6.554,7.279,8.004,8.729,9.454
2020,5,-0.295,0.561,1.417,2.274,3.130,3.987,4.843,5.699
2020,6,-4.507,-3.146,-1.786,-0.425,0.935,2.295,3.656,5.016
2020,7,-4.509,-3.499,-2.488,-1.478,-0.468,0.543,1.553,2.563
2020,8,-3.448,-2.460,-1.472,-0.485,0.503,1.491,2.479,3.466
2020,9,-2.946,-1.544,-0.143,1.259,2.660,4.062,5.464,6.865
2020,10,0.987,2.314,3.640,4.966,6.292,7.618,8.945,10.271
2020,11,2.100,3.215,4.329,5.444,6.558,7.673,8.787,9.902
2020,12,6.062,6.952,7.842,8.732,9.621,10.511,11.401,12.291
2021,1,10.037,11.046,12.055,13.064,14.073,15.082,16.091,17.100
2021,2,10.728,11.400,12.073,12.746,13.418,14.091,14.763,15.436
2021,3,8.124,8.748,9.372,9.995,10.619,11.243,11.867,12.491
2021,4,5.020,5.851,6.682,7.514,8.345,9.177,10.008,10.839
2021,5,-0.324,0.616,1.555,2.495,3.434,4.374,5.313,6.253
2021,6,-3.276,-2.287,-1.298,-0.309,0.680,1.669,2.658,3.647
2021,7,-6.150,-4.772,-3.394,-2.016,-0.638,0.740,2.118,3.496
2021,8,-4.459,-3.181,-1.904,-0.627,0.651,1.928,3.205,4.483
2021,9,-2.240,-1.174,-0.109,0.957,2.023,3.089,4.155,5.220
2021,10,0.765,1.793,2.820,3.848,4.875,5.903,6.931,7.958
2021,11,2.295,3.513,4.731,5.948,7.166,8.384,9.602,10.819
2021,12,7.011,8.040,9.069,10.098,11.127,12.156,13.185,14.214
2022,1,8.740,9.619,10.498,11.376,12.255,13.134,14.012,14.891
2022,2,10.222,10.863,11.503,12.144,12.785,13.426,14.067,14.708
2022,3,8.300,8.938,9.575,10.213,10.850,11.488,12.125,12.762
2022,4,4.483,5.225,5.967,6.710,7.452,8.195,8.937,9.679
2022,5,-0.445,0.847,2.138,3.430,4.722,6.014,7.306,8.598
2022,6,-3.718,-2.596,-1.473,-0.351,0.771,1.894,3.016,4.138
2022,7,-3.055,-2.370,-1.686,-1.001,-0.317,0.368,1.052,1.737
2022,8,-1.830,-1.306,-0.781,-0.257,0.267,0.791,1.315,1.840
2022,9,-3.108,-1.629,-0.151,1.328,2.807,4.286,5.764,7.243
2022,10,0.758,1.777,2.796,3.815,4.833,5.852,6.871,7.890
2022,11,2.474,3.787,5.099,6.412,7.724,9.037,10.350,11.662
2022,12,6.772,7.766,8.760,9.754,10.747,11.741,12.735,13.729
2023,1,9.790,10.774,11.759,12.743,13.727,14.711,15.696,16.680
2023,2,11.894,12.640,13.386,14.131,14.877,15.623,16.369,17.114
2023,3,8.235,8.867,9.499,10.132,10.764,11.396,12.029,12.661
2023,4,4.611,5.374,6.138,6.902,7.665,8.429,9.192,9.956
2023,5,-0.368,0.699,1.766,2.833,3.901,4.968,6.035,7.102
2023,6,-5.467,-3.817,-2.166,-0.516,1.134,2.785,4.435,6.085
2023,7,-5.034,-3.906,-2.778,-1.650,-0.522,0.606,1.734,2.862
2023,8,-3.750,-2.676,-1.602,-0.527,0.547,1.622,2.696,3.771
2023,9,-3.268,-1.713,-0.158,1.396,2.951,4.506,6.061,7.615
2023,10,0.983,2.303,3.624,4.944,6.265,7.585,8.906,10.226
2023,11,2.098,3.211,4.325,5.438,6.551,7.665,8.778,9.891
2023,12,6.642,7.617,8.592,9.567,10.542,11.517,12.492,13.467
2024,1,9.495,10.450,11.404,12.359,13.313,14.268,15.222,16.177
2024,2,10.907,11.590,12.274,12.958,13.642,14.326,15.010,15.693
2024,3,8.004,8.618,9.233,9.848,10.462,11.077,11.691,12.306
2024,4,3.528,4.112,4.696,5.280,5.865,6.449,7.033,7.617
2024,5,-0.370,0.703,1.776,2.849,3.922,4.995,6.068,7.141
2024,6,-3.863,-2.697,-1.531,-0.365,0.802,1.968,3.134,4.300
2024,7,-1.665,-1.292,-0.919,-0.546,-0.173,0.200,0.574,0.947
2024,8,-4.874,-3.477,-2.081,-0.685,0.711,2.107,3.504,4.900
2024,9,-2.625,-1.376,-0.127,1.122,2.371,3.620,4.869,6.118
2024,10,0.700,1.640,2.580,3.521,4.461,5.401,6.341,7.282
2024,11,2.239,3.428,4.616,5.804,6.992,8.181,9.369,10.557
2024,12,6.548,7.509,8.470,9.431,10.392,11.353,12.314,13.275
2025,1,8.896,9.791,10.685,11.580,12.474,13.369,14.263,15.157
2025,2,10.596,11.260,11.925,12.589,13.254,13.918,14.582,15.247
2025,3,9.378,10.098,10.818,11.539,12.259,12.979,13.699,14.419
2025,4,4.484,5.226,5.969,6.712,7.454,8.197,8.939,9.682
2025,5,-0.324,0.615,1.554,2.493,3.432,4.371,5.310,6.249
2025,6,-2.509,-1.751,-0.994,-0.237,0.520,1.278,2.035,2.792
2025,7,-2.829,-2.195,-1.561,-0.927,-0.293,0.340,0.974,1.608
2025,8,-4.162,-2.970,-1.777,-0.585,0.607,1.800,2.992,4.185
2025,9,-2.438,-1.278,-0.118,1.042,2.202,3.362,4.522,5.682
2025,10,0.769,1.801,2.834,3.867,4.899,5.932,6.965,7.997
2025,11,2.410,3.689,4.968,6.247,7.525,8.804,10.083,11.362
2025,12,7.492,8.592,9.691,10.791,11.891,12.990,14.090,15.190
2026,1,9.258,10.189,11.120,12.051,12.982,13.912,14.843,15.774
2026,2,11.845,12.587,13.330,14.073,14.815,15.558,16.301,17.043
2026,3,9.870,10.628,11.386,12.144,12.902,13.660,14.418,15.176
2026,4,5.531,6.447,7.363,8.279,9.195,10.111,11.027,11.943
2026,5,-0.381,0.725,1.831,2.937,4.043,5.150,6.256,7.362
2026,6,-0.732,-0.511,-0.290,-0.069,0.152,0.373,0.594,0.815
2026,7,-3.001,-2.329,-1.656,-0.984,-0.311,0.361,1.034,1.706
2026,8,-5.943,-4.240,-2.538,-0.835,0.867,2.570,4.272,5.974
2026,9,-2.810,-1.473,-0.136,1.201,2.538,3.875,5.212,6.549
2026,10,1.101,2.579,4.058,5.536,7.015,8.493,9.972,11.450
2026,11,2.539,3.886,5.232,6.579,7.926,9.273,10.620,11.967
2026,12,6.999,8.026,9.053,10.081,11.108,12.135,13.162,14.190
2027,1,9.315,10.252,11.189,12.125,13.062,13.998,14.935,15.871
2027,2,11.828,12.570,13.311,14.053,14.795,15.536,16.278,17.019
2027,3,9.254,9.965,10.675,11.386,12.097,12.807,13.518,14.229
2027,4,5.859,6.829,7.800,8.770,9.740,10.711,11.681,12.651
2027,5,-0.173,0.329,0.831,1.332,1.834,2.336,2.838,3.340
2027,6,-2.818,-1.968,-1.117,-0.266,0.585,1.435,2.286,3.137
2027,7,-1.107,-0.859,-0.611,-0.363,-0.115,0.133,0.381,0.629
2027,8,-3.693,-2.635,-1.577,-0.519,0.539,1.597,2.655,3.713
2027,9,-2.627,-1.377,-0.127,1.123,2.372,3.622,4.872,6.122
2027,10,0.680,1.594,2.507,3.421,4.335,5.248,6.162,7.076
2027,11,2.213,3.388,4.562,5.737,6.911,8.086,9.260,10.435
2027,12,7.254,8.319,9.384,10.448,11.513,12.578,13.643,14.707
2028,1,8.522,9.378,10.235,11.092,11.948,12.805,13.662,14.519
2028,2,11.075,11.770,12.464,13.159,13.853,14.547,15.242,15.936
2028,3,9.293,10.006,10.720,11.434,12.147,12.861,13.575,14.288
2028,4,6.147,7.166,8.184,9.202,10.220,11.238,12.256,13.274
2028,5,-0.388,0.737,1.862,2.987,4.112,5.238,6.363,7.488
2028,6,-4.387,-3.063,-1.739,-0.414,0.910,2.235,3.559,4.883
2028,7,-6.435,-4.993,-3.552,-2.110,-0.668,0.774,2.216,3.658
2028,8,-4.311,-3.076,-1.841,-0.606,0.629,1.864,3.099,4.334
2028,9,-3.044,-1.596,-0.148,1.301,2.749,4.197,5.645,7.094
2028,10,0.990,2.320,3.649,4.979,6.309,7.639,8.968,10.298
2028,11,2.737,4.189,5.641,7.093,8.546,9.998,11.450,12.902
2028,12,8.051,9.232,10.414,11.596,12.777,13.959,15.140,16.322
