;año,mes,Armerillo,Ancoa,Desagüe_LagMaule,Maule_Baños,Maule_Colbun,Desagüe_LagInvernada,Melado_Lancha,Canal_ad_pehuenche,Canal_ev_pehuenche,Canal_Garzas,Canal_Melado_Hierros,Afluente_Lag_Maule,Afluente_Embalse_Melado,Afluente_Claro_Las_Garzas,Afluente_Lag__Invernada,Central_Isla (16),Canal_aduccion_Pehuenche,FIN
1986,2,,16.28,36.5,47.61,0,,0,,,,,10.92,36.06,12.47,25.16,11.11,,-999999
1986,3,,14.64,57.2,71.43,0,,0,,,,,12.52,30.62,7.76,22.48,14.23,,-999999
1986,4,,19.92,24.4,39.6,0,,0,,,,,13.1,64.11,21.11,24.37,15.2,,-999999
1986,5,,47.57,0.68,36.6,0,,0,,,,,16.39,209,22.57,29.67,35.92,,-999999
1986,6,,75.46,0.65,76.6,0,,0,,,,,19.72,354,51.95,47.09,75.95,,-999999
1986,7,,21.04,0.65,41.7,0,,0,,,,,9.54,135,55.04,34.85,41.05,,-999999
1986,8,,33.63,0.72,41.3,0,,0,,,,,11.05,151,46.37,30.34,40.58,,-999999
1986,9,,12.19,0.68,43.5,0,,0,,,,,5.92,124,36.51,28.96,42.82,,-999999
1986,10,,13.64,0.69,85.4,0,,0,,,,,13.38,223,54.25,49.09,84.71,,-999999
1986,11,,26.85,1.11,84.3,0,,0,,,,,23.87,215.87,42.28,60.43,83.19,,-999999
1986,12,,15.15,1.31,97.8,0,,0,,,,,29.82,221.7,49.64,87.07,96.49,,-999999
1987,1,,0,1.1,51.1,0,,0,,,,,20.45,107.55,33.78,67.06,50,,-999999
1987,2,,16.68,4.64,30.5,0,,0,,,,,13.09,59.87,23.02,46.86,25.86,,-999999
1987,3,,13.64,8.1,26.8,0,,0,,,,,11.28,51.97,23.16,37.24,18.7,,-999999
1987,4,,10.63,7.36,23.1,0,,0,,,,,8.24,42.61,19.93,30.01,15.74,,-999999
1987,5,,10.21,29.6,41.9,0,,0,,,,,13.1,48.03,22.85,26.98,12.3,,-999999
1987,6,,12.54,21.7,41.5,0,,0,,,,,11.71,86.88,35.21,26.16,19.8,,-999999
1987,7,,86.6,12.7,45.7,0,,0,,,,,21.11,218.24,57.67,31,33,,-999999
1987,8,,26.98,6.68,35.6,0,,0,,,,,14.48,146.37,40.99,26.64,28.92,,-999999
1987,9,,23.72,4.9,34.3,0,,0,,,,,9.28,129.87,32.31,26.62,29.4,,-999999
1987,10,,33.07,1.67,80.3,0,,0,,,,,11,261.08,38.6,43.69,78.63,,-999999
1987,11,,16.34,0.93,119,0,,0,,,,,22.76,311.23,28.25,89.86,118.07,,-999999
1987,12,,18.04,1.05,90.5,0,,0,,,,,25.17,192.56,27.57,89.8,89.45,,-999999
1988,1,,16.41,3.98,41.6,0,,0,,,,,15.49,90.03,18.54,60.89,37.62,,-999999
1988,2,,16.94,36.4,54.2,0,,0,,,,,14.4,50.37,19.25,41.68,17.8,,-999999
1988,3,,15.12,10.3,23.2,0,,0,,,,,9.01,38.39,20.13,33.39,12.9,,-999999
1988,4,,12.8,31.8,40.6,0,,0,,,,,10.07,32,17.19,26.44,8.8,,-999999
1988,5,,9.58,20.8,30.5,0,,0,,,,,9.06,35.76,17.89,24.69,9.7,,-999999
1988,6,,21.78,26.3,33.9,0,,0,,,,,17.75,56.4,23.62,23.21,7.6,,-999999
1988,7,,26.15,25.65,37.95,0,,0,,,,,11.22,81.8,30.22,21.52,12.3,,-999999
1988,8,,40.72,24.3,40.5,0,,0,,,,,15.68,118,42.09,21.4,16.2,,-999999
1988,9,,16.97,23.9,42,0,,0,,,,,8.54,85.12,28.12,21.33,18.1,,-999999
1988,10,,14.99,3.39,86,0,,0,,,,,7.35,149.39,28.08,30.9,82.61,,-999999
1988,11,,15.56,0.78,92.97,0,,0,,,,,18.54,241.57,21.39,63.3,92.19,,-999999
1988,12,,20.8,0.57,44.5,0,,0,,,,,15.78,143.68,14.19,46.17,43.93,,-999999
1989,1,,18.15,45.6,71.4,0,,0,,,,,14.02,58.16,11.8,30.57,25.8,,-999999
1989,2,,16.6,63.1,79,0,,0,,,,,14.87,35.67,11.88,26.24,15.9,,-999999
1989,3,,13.86,37.3,51.8,0,,0,,,,,9.81,26.73,13.25,20.98,14.5,,-999999
1989,4,,11.35,25.9,39.1,0,,0,,,,,7.99,22.42,11.7,19.45,13.2,,-999999
1989,5,,8.02,37.6,52.6,0,,0,,,,,10.86,20.93,11.62,18.39,15,,-999999
1989,6,,12.19,36.8,51,0,,0,,,,,13.58,28.51,13.59,17.15,14.2,,-999999
1989,7,,13.76,33.5,47.5,0,,0,,,,,13.04,39.3,17.47,16.3,14,,-999999
1989,8,,31.69,16.7,30.5,0,,0,,,,,11.69,79.8,34.93,17.84,13.8,,-999999
1989,9,,16.15,2.09,29.9,0,,0,,,,,6.08,88.3,31.23,19.16,27.81,,-999999
1989,10,,12.48,1.57,64.7,0,,0,,,,,7.79,149.89,33.86,31.75,63.13,,-999999
1989,11,,16.35,0.55,80.3,0,,0,,,,,15.05,178.33,28.5,58.19,79.75,,-999999
1989,12,,16.65,37.3,65.2,0,,0,,,,,12.81,76.17,21.03,38.11,27.9,,-999999
1990,1,,16.85,89.2,104.4,0,,0,,,,,14.45,40.33,15.74,25.98,15.2,,-999999
1990,2,,16.08,76.4,90.9,0,,0,,,,,12.98,31.13,14.37,22.79,14.5,,-999999
1990,3,,13.43,27.5,42.5,0,,0,,,,,10.47,26.7,14.19,21,15,,-999999
1990,4,,6.34,0.15,23.3,0,,0,,,,,6.7,49.82,19.04,22.87,23.15,,-999999
1990,5,,11.98,0.2,21.2,0,,0,,,,,7.15,69.2,19.15,21.03,21,,-999999
1990,6,,5.83,0.21,16.7,0,,0,,,,,5.55,42.6,17.99,19.04,16.49,,-999999
1990,7,,6.12,6.24,20.4,0,,0,,,,,8.38,39.7,16.92,17.45,14.16,,-999999
1990,8,,12.22,11.6,34.6,0,,0,,,,,8.93,74.4,20.87,18.6,23,,-999999
1990,9,,32.61,0.4,36.2,0,,0,,,,,9.83,148,37.69,21.2,35.8,,-999999
1990,10,,12.85,0.56,49.6,0,,0,,,,,8.32,118.23,27.85,31.28,49.04,,-999999
1990,11,,15.03,0.43,54.1,0,,0,,,,,12.22,102.1,15.08,42.48,53.67,,-999999
1990,12,,17.28,5.24,38.5,0,,0,,,,,9.62,64,10.07,36.52,33.26,,-999999
1991,1,,17,48.9,71.6,0,,0,,,,,11.76,35.92,12.82,25.72,22.7,,-999999
1991,2,,15.8,57,72.1,0,,0,,,,,11.54,25.22,11.66,21.85,15.1,,-999999
1991,3,,11.4,35.5,47.9,0,,0,,,,,8.44,20.68,11.53,19.11,12.4,,-999999
1991,4,,10.34,9.09,23.5,0,,0,,,,,8.92,32.3,8.26,18.99,14.41,,-999999
1991,5,,11.06,3.25,69.3,0,,0,,,,,20.37,343.16,59.97,43.16,66.05,,-999999
1991,6,,0,0.47,49.2,0,,0,,,,,13.43,186.06,54.63,38.81,48.73,,-999999
1991,7,,23.5,0.53,32.9,0,,0,,,,,10.43,160.62,76.32,33.13,32.37,,-999999
1991,8,,15.13,0.23,24.2,0,,0,,,,,6.86,87.21,27.24,27.31,23.97,,-999999
1991,9,,23.75,0.39,32.1,0,,0,,,,,8.39,142.72,43.81,29.9,31.71,,-999999
1991,10,,18.77,0.47,44.1,0,,0,,,,,9.11,140.54,38.65,34.63,43.63,,-999999
1991,11,,13.04,0.64,67.4,0,,0,,,,,18.89,205.24,40.21,59.56,66.76,,-999999
1991,12,,17.18,0.87,50.9,0,,0,,,,,22.58,173.74,26.14,63.43,50.03,,-999999
1992,1,,16.92,0.67,26.7,0,,0,,,,,16.21,98.16,22.17,61.35,26.03,,-999999
1992,2,,17.77,2.08,25.18,0,,0,,,,,10.37,47.2,15.86,42.09,23.1,,-999999
1992,3,,16.52,0.65,16.95,0,,0,,,,,8.04,37.46,11.7,32.92,16.3,,-999999
1992,4,,10.87,3.93,23.5,0,,0,,,,,9.51,48.62,17.2,27.49,19.57,,-999999
1992,5,,60.88,5.97,34.5,0,,0,,,,,17.18,186.51,79.14,30.85,28.53,,-999999
1992,6,,66.98,1.18,26.4,0,,0,,,,,17.53,164.1,79.12,30.34,25.22,,-999999
1992,7,,11.76,1.18,22.5,0,,0,,,,,9.32,93.26,48.4,26.47,21.32,,-999999
1992,8,,13.77,1.21,25,0,,0,,,,,8.08,73.21,30.49,24.15,23.79,,-999999
1992,9,,21.9,1.1,38.4,0,,0,,,,,8.59,125.38,36.23,27.89,37.3,,-999999
1992,10,,22.46,1.12,74.1,0,,0,,,,,7.64,192.46,36.5,40.9,72.98,,-999999
1992,11,,19.96,1.55,131,0,,0,,,,,21.11,302.26,27.48,83.26,129.45,,-999999
1992,12,,18.59,2.18,120,0,,0,,,,,33.9,240.52,29.91,98.86,117.82,,-999999
1993,1,,21.28,1.25,57.6,0,,0,,,,,23.27,118.75,33.1,72.59,56.35,,-999999
1993,2,,19.93,2.71,28.8,0,,0,,,,,14.02,56.1,18.01,48.26,26.09,,-999999
1993,3,,17.78,0.53,17.2,0,,0,,,,,8.56,38.04,14.23,35.77,16.67,,-999999
1993,4,,10.75,22.4,36.5,0,,0,,,,,12.03,45.23,13.73,30.45,14.1,,-999999
1993,5,,30.87,3.08,43.6,0,,0,,,,,15.13,116.01,39.38,38.01,40.52,,-999999
1993,6,,71.16,1.85,62.3,0,,0,,,,,16.07,245.94,77.48,41.72,60.45,,-999999
1993,7,,29.27,1.25,21.2,0,,0,,,,,10.99,129.18,57.06,33.51,19.95,,-999999
1993,8,,22.75,0.62,17.2,0,,0,,,,,9.62,121.14,46.87,28.6,16.58,,-999999
1993,9,,15.62,0.93,21.7,0,,0,,,,,6.85,129.91,25.9,27.97,20.77,,-999999
1993,10,,15.18,0.92,54.5,0,,0,,,,,10.58,157.51,24.56,39.34,53.58,,-999999
1993,11,,19.48,1.05,85.1,0,,0,,,,,21.14,182.79,25.67,64.79,84.05,,-999999
1993,12,,24.98,0.95,73.7,0,,0,,,,,21.4,163.1,29.82,72.19,72.75,,-999999
1994,1,,20.14,13.1,49.7,0,,0,,,,,13.73,74.1,18.61,55.17,36.6,,-999999
1994,2,,18.94,31.7,48.3,0,,0,,,,,12.52,40.53,16.83,37.42,16.6,,-999999
1994,3,,17.25,18.2,34.4,0,,0,,,,,8.84,31.13,13.29,30.72,16.2,,-999999
1994,4,,16.27,17.9,34.4,0,,0,,,,,11.5,43.48,16.03,27.47,16.5,,-999999
1994,5,,14.39,8.72,26.7,0,,0,,,,,9.55,58.29,16.57,25.48,17.98,,-999999
1994,6,,29.69,23.4,46.8,0,,0,,,,,14.65,114.11,47.72,28.63,23.4,,-999999
1994,7,,67.77,17.9,52.5,0,,0,,,,,18.73,195.94,90.82,32.56,34.6,,-999999
1994,8,,17.91,6.89,32.7,0,,0,,,,,6.68,90.62,34.31,28.26,25.81,,-999999
1994,9,,21.59,9.41,42.8,0,,0,,,,,9.2,134.58,30.12,29.02,33.39,,-999999
1994,10,,16.68,1.24,74.6,0,,0,,,,,9.5,168.48,26.44,40.47,73.36,,-999999
1994,11,,15.75,0.96,98.6,0,,0,,,,,20.06,196.62,22.33,69.13,97.64,,-999999
1994,12,,24.18,0.89,70.5,0,,0,,,,,19.09,140.8,17.82,68.57,69.61,,-999999
1995,1,,20.71,30.5,56,0,,0,,,,,13.34,64.14,13.08,45.3,25.5,,-999999
1995,2,,20.36,38.4,52.8,0,,0,,,,,12.44,40.72,9.38,30.77,14.4,,-999999
1995,3,,18.12,14.6,31.5,0,,0,,,,,6.96,27.57,8.22,30.01,16.9,,-999999
1995,4,,18.9,15.6,36.8,0,,0,,,,,11.78,49.98,21.06,27.65,21.2,,-999999
1995,5,,10.96,24.2,52.8,0,,0,,,,,9.06,45.65,13.92,25.75,28.6,,-999999
1995,6,,49.71,5.89,55.4,0,,0,,,,,16.67,158.38,54.74,33.3,49.51,,-999999
1995,7,,44.23,5.26,36.8,0,,0,,,,,16.76,127.36,53.72,28.76,31.54,,-999999
1995,8,,30.86,6.35,29.1,0,,0,,,,,11.51,86.23,39.68,25.97,22.75,,-999999
1995,9,,33.17,0.77,45.6,0,,0,,,,,7.17,165.81,53.39,31.65,44.83,,-999999
1995,10,,20.51,0.68,64.8,0,,0,,,,,8.35,177.9,43.92,39.25,64.12,,-999999
1995,11,,22.37,1.05,121,0,,0,,,,,22.83,269.31,52.12,86,119.95,,-999999
1995,12,,25.48,1.18,88.3,0,,0,,,,,26.69,185.62,34.14,89.95,87.12,,-999999
1996,1,,21.02,17,53.1,0,,0,,,,,15.3,66.53,18.48,51.92,36.1,,-999999
1996,2,,20.41,28.5,50,0,,0,,,,,12.71,36.54,13.96,36.97,21.5,,-999999
1996,3,,18.69,32.3,48,0,,0,,,,,11.56,31.95,15.49,29.19,15.7,,-999999
1996,4,,13.72,82.9,89.2,0,,0,,,,,16.82,31.75,13,26.49,6.3,,-999999
1996,5,,14.35,48.5,59.8,0,,0,,,,,14.91,28.51,14.31,24.4,11.3,,-999999
1996,6,,25.04,21.1,40.7,0,,0,,,,,13.7,80.53,36.33,24.31,19.6,,-999999
1996,7,,10.05,29.2,44.6,0,,0,,,,,10.8,47.67,23.11,19.54,15.4,,-999999
1996,8,,15.35,23.6,43.1,0,,0,,,,,12.58,67.29,27.97,21.71,19.5,,-999999
1996,9,,9.86,19.1,47.2,0,,0,,,,,7.42,65.6,24.06,22.57,28.1,,-999999
1996,10,,13.14,0.54,43.6,0,,0,,,,,9.9,81.23,20.32,33.86,43.06,,-999999
1996,11,,21.19,12.7,41.1,0,,0,,,,,10.69,64.57,15.59,33.97,28.4,,-999999
1996,12,,19.86,51.5,60.7,0,,0,,,,,11.1,34.06,11.3,23.59,9.2,,-999999
1997,1,,19.71,74.5,79.9,0,,0,,,,,13.79,27.32,9.8,19.22,5.4,,-999999
1997,2,,19.03,73.8,81,0,,0,,,,,13.93,20.53,9.74,18.23,7.2,,-999999
1997,3,,16.42,43.8,50.9,0,,0,,,,,9.82,18.56,9.44,16.76,7.1,,-999999
1997,4,,23.94,36.6,54,0,,0,,,,,11.52,57.54,23.86,19.07,17.4,,-999999
1997,5,,17.92,19.2,54.3,0,,0,,,,,11.76,83,26.3,19.78,35.1,,-999999
1997,6,,81.56,1.74,56.2,0,,0,,,,,14.21,247.01,99.45,26.47,54.46,,-999999
1997,7,,29.62,1.38,36.5,0,,0,,,,,7.54,115.82,44.2,25.54,35.12,,-999999
1997,8,,40.3,1.14,60.2,0,,0,,,,,13.76,232.5,62.87,31.18,59.06,,-999999
1997,9,,50.26,0.5,74.8,0,,0,,,,,11.84,254.62,62.43,39.77,74.3,,-999999
1997,10,,42.52,0.49,73.8,0,,0,,,,,10.17,201.53,61.8,39,73.31,,-999999
1997,11,,24.12,0.81,108,0,,0,,,,,19.16,258.96,46.65,74.68,107.19,,-999999
1997,12,,23.09,1.09,117,0,,0,,,,,30.14,237.16,43.66,109.66,115.91,,-999999
1998,1,,25.2,0.81,81.8,0,,0,,,,,22.83,127.04,33.57,91.01,80.99,,-999999
1998,2,,22.61,0.57,37.1,0,,0,,,,,14.1,61.7,21.92,60.6,36.54,,-999999
1998,3,,20.79,0.55,23.4,0,,0,,,,,10.26,41.12,16.64,42.56,22.85,,-999999
1998,4,,17.01,9.84,29.8,0,,0,,,,,11.96,49.79,19.43,36.77,19.96,,-999999
1998,5,,12.35,1.25,19,0,,0,,,,,9.51,37.94,12.91,31.51,17.75,,-999999
1998,6,,14.64,0.79,18.5,0,,0,,,,,8.21,41.95,15.91,26.94,17.71,,-999999
1998,7,,6.54,11.8,26,0,,0,,,,,8.02,30.34,12.16,22.76,14.2,,-999999
1998,8,,13.42,32.8,46.3,0,,0,,,,,9.93,25.35,11.45,21.12,13.5,,-999999
1998,9,,10.19,30.2,45.6,0,,0,,,,,11.45,34.32,13.47,20.18,15.4,,-999999
1998,10,,20.6,18.8,40.4,0,,0,,,,,8.35,44.5,9.93,23.03,21.6,,-999999
1998,11,,20.65,24.9,36.7,0,,0,,,,,7.79,29.22,9.99,21.9,11.8,,-999999
1998,12,,17.42,39.8,46.9,0,,0,,,,,8.8,23.97,9.21,19.05,7.1,,-999999
1999,1,,16.08,48.5,54.6,0,,0,,,,,9.76,22.04,7.07,17.26,6.1,,-999999
1999,2,,15.45,46.4,51.7,0,,0,,,,,6.79,19.4,7.79,15.78,5.3,,-999999
1999,3,,11.27,17.6,26.9,0,,0,,,,,3.5,16.42,6.78,15.08,9.3,,-999999
1999,4,,7.69,20.4,24,0,,0,,,,,5.66,20.84,7.98,14.06,3.6,,-999999
1999,5,,8.83,2.77,13.2,0,,0,,,,,5.13,26.07,9.13,14,10.43,,-999999
1999,6,,20.17,2.19,13.4,0,,0,,,,,9.34,53.54,22.6,14.55,11.21,,-999999
1999,7,,15.26,0.16,14.9,0,,0,,,,,5.95,50.11,20.59,13.87,14.74,,-999999
1999,8,,23.65,0.13,18.5,0,,0,,,,,8.48,84.04,33.76,14.46,18.37,,-999999
1999,9,,48.11,0.14,28.5,0,,0,,,,,9,151.7,58.8,18.36,28.36,,-999999
1999,10,,26.13,0.13,75.6,0,,0,,,,,9,222.45,25.21,34,75.47,,-999999
1999,11,,28.54,0.33,115,0,,0,,,,,18.9,240.62,24.31,64.27,114.67,,-999999
1999,12,,24.26,0.47,70.4,0,,0,,,,,18.92,126.62,22.38,60.55,69.93,,-999999
2000,1,,20.51,0.49,29.3,0,,0,,,,,9.35,50.45,13.03,39.77,28.81,,-999999
2000,2,,21.22,0.36,25.3,0,,0,,,,,8.27,49.54,13.36,30.75,24.94,,-999999
2000,3,,17.09,0.33,14.8,0,,0,,,,,5.44,30.77,11.59,25.3,14.47,,-999999
2000,4,0,11.58,0.34,15.9,0,,0,,,,,5.61,25.31,9.05,21.02,15.56,,-999999
2000,5,0,8.85,0.38,17.8,0,,0,,,,,7.52,27.41,10.44,19.75,17.42,,-999999
2000,6,0,92.43,0.53,38.2,0,,0,,,,,18.4,227.02,107.85,26.08,37.68,,-999999
2000,7,0,19.42,0.48,42.1,0,,0,,,,,8.5,155.8,65.38,28.19,41.62,,-999999
2000,8,0,19.06,0.41,33.6,0,,0,,,,,8.42,115.26,29.38,27.1,33.19,,-999999
2000,9,0,36.77,0.51,33,0,,0,,,,,11.44,139.18,53.57,26.64,32.5,,-999999
2000,10,0,21.3,0.42,80.2,0,,0,,,,,7.6,195.25,38.8,38.83,79.78,,-999999
2000,11,0,24.4,0.55,114,0,,0,,,,,16.59,228.41,23.88,65.97,113.45,,-999999
2000,12,0,24.58,0.82,120,0,,0,,,,,29.43,232.3,22.64,60.22,119.18,,-999999
2001,1,0,23.7,0.48,57,0,,0,,,,,19.69,108.87,34.79,56.56,56.52,,-999999
2001,2,0,21.88,0.51,26.3,0,,0,,,,,11.85,53.75,15.6,50.23,25.79,,-999999
2001,3,0,18.23,0.43,17.6,0,,0,,,,,8.37,35.11,11.64,36.4,17.17,,-999999
2001,4,0,12.45,0.48,15.9,0,,0,,,,,8.05,32.57,12.81,30.23,15.42,,-999999
2001,5,0,30.52,0.58,30.7,0,,0,,,,,15,136.73,32.83,33.71,30.12,,-999999
2001,6,0,69.91,0.57,42.8,0,,0,,,,,10.24,128.75,45.75,31.22,42.23,,-999999
2001,7,0,68.46,0.69,49.4,0,,0,,,,,18.63,241.47,107.57,37.08,48.72,,-999999
2001,8,0,52.69,0.59,41.9,0,,0,,,,,13.53,178.65,63.38,35.97,41.31,,-999999
2001,9,35.84,21,0.57,42.7,0,,0,,,,,6.94,134.22,46.28,35.98,42.13,,-999999
2001,10,46.82,15.81,0.57,71.7,0,,0,,,,,9.61,171.71,34.92,47.39,71.13,,-999999
2001,11,51.21,24.07,0.82,93,0,,0,,,,,22.81,179.62,30.95,71.37,92.18,,-999999
2001,12,74.52,24.07,0.69,91,0,,0,,,,,23.9,158.29,21.91,96.42,90.31,,-999999
2002,1,0.93,18.43,0.61,36.3,0,,0,,,,,14.24,62.04,14.64,61.86,35.69,,-999999
2002,2,1.08,0,23.6,46.2,0,,0,,,,,11.33,36.79,12.22,43.15,22.6,,-999999
2002,3,43.99,0,0.88,34.6,0,,0,,,,,9.15,66.98,27.45,38.32,33.72,,-999999
2002,4,17.43,0,2.6,26.2,0,0,0,,,,,8.99,47.29,13.5,30.27,23.6,,-999999
2002,5,63.77,0,1.83,33.2,0,0,0,,,,,12.77,122.12,32.63,32.88,31.37,,-999999
2002,6,71.76,0,0,31.4,0,0,0,,,,,13.57,129.12,57.59,30.87,31.4,,-999999
2002,7,61.01,0,8.24,36.4,0,0,0,,,,,9.91,107.31,49.32,27.97,28.16,,-999999
2002,8,292.03,0,1.04,58.8,0,0,0,,,,,16.46,246.79,139.23,41.87,57.76,,-999999
2002,9,166.3,0,0,60.1,0,0,0,,209.54,,0,10.34,162.54,72.05,43.93,60.1,209.54,-999999
2002,10,0,0,0,73,0,12.9,0,124.13,265.9,,0,6.54,226.58,52.11,49.16,73,265.9,-999999
2002,11,0,0,0,123,0,40.46,0,139.2,300.87,,4.21,14.72,296.34,62.21,87.3,123,300.87,-999999
2002,12,0,0,0,152.29,0,83.64,0,112.25,312.03,,14.19,36.11,297.22,41.1,136.12,152.29,312.03,-999999
2003,1,0,20.47,19.57,112.27,0,53.04,0,137.79,259.55,,17.41,35.01,161.41,38.55,108.68,92.7,259.55,-999999
2003,2,0,15.48,9.1,51.13,0,11.04,0,128.18,241,,18.8,16.41,70.87,22.48,67.47,42.03,241,-999999
2003,3,0,13.77,19.66,44.58,0,1.19,0,96.34,172.69,0.89,18.09,11.82,43.69,17.67,49.63,24.92,172.69,-999999
2003,4,0,11.06,19.58,36.92,0,0.1,0,74.84,,,15.26,10.82,43.93,10.89,36.2,17.34,,-999999
2003,5,0,7.51,19.86,33.38,0,0.12,0,69.57,,0.4,6.98,10.36,45.76,10.85,29.62,13.52,,-999999
2003,6,186.47,33.84,10.36,62.14,0,0.28,0,81.84,212.69,0.22,0,16.83,185.65,59.2,37.42,51.78,212.69,-999999
2003,7,35.07,14.01,13,50.46,0,0.13,0,93.29,208.51,0.14,0,10.41,116.51,31.31,32.1,37.46,208.51,-999999
2003,8,19.62,5.84,15.04,38.05,0,0.1,0,95.38,150.85,0.02,0,5.98,64.05,17.49,27.77,23,150.85,-999999
2003,9,22.31,13.04,25.03,58.06,0,0.11,0,101.25,182.58,0.1,0,9.73,74.82,19.11,29.1,33.03,182.58,-999999
2003,10,11.41,26.13,14,67.08,0,0.11,0,109.51,193.42,0.76,13.39,11.44,107.44,26.56,38.28,53.08,193.42,-999999
2003,11,10.36,28.51,2.33,65.26,0,0.12,0,114.33,211.94,0.88,17.37,14.93,114.83,27.34,54.48,62.92,211.94,-999999
2003,12,1.66,22.72,6.73,44.24,0,0.1,0,105.27,154.17,1,18.94,9.31,64.79,16.23,50.29,37.51,154.17,-999999
2004,1,1.42,0,57.55,79.97,0,0.1,0,125.26,149.16,1.4,18.99,10.05,33.63,13.29,37.66,22.42,149.16,-999999
2004,2,2.29,0,39.49,57.38,0,0.1,0,105.04,110.21,1.01,18.96,9.1,26.93,9.26,30.11,17.89,110.21,-999999
2004,3,2.33,0,29.54,44.13,0,0.1,0,89.3,98.88,0.66,17.65,8.23,23.19,9.13,25.57,14.59,98.88,-999999
2004,4,77.63,0,24.86,71.19,0,0.17,0,90.77,161,0.34,4.75,14.71,100.98,28.08,35.16,46.33,161,-999999
2004,5,13,0,25.1,40.71,0,0.1,0,81.84,112.02,0.18,0,7.55,37.58,11.01,24.12,15.61,112.02,-999999
2004,6,24.96,21.99,26.43,47.29,0,0.13,0,78.48,153.53,0.11,0.73,11.8,80.16,24.91,25.66,20.86,153.53,-999999
2004,7,31.65,23.79,25,46.92,0,0.13,0,84.21,169.27,0.13,0,12.54,90.61,26.83,24.29,21.92,169.27,-999999
2004,8,27.41,17.95,22.57,46.55,0,0.11,0,91.27,164.76,0.15,0,8.55,80.92,23.01,24.05,23.98,164.76,-999999
2004,9,40.94,26.99,6.63,49.45,0,0.14,0,95.75,216.37,0.08,0,9.54,118.79,37.81,27.76,42.82,216.37,-999999
2004,10,16.99,17.91,0,61.29,0,0.1,0,79.31,186.86,0.45,1.11,8.63,119.54,26.05,32.55,61.29,186.86,-999999
2004,11,16.2,16.41,0,78.31,0,0.1,0,100.34,230.46,0.6,2.75,14.11,143.89,28.24,45.3,78.31,230.46,-999999
2004,12,4.44,20.68,0,52.77,0,0.1,0,113.17,202.64,0.69,13.85,13.25,115.17,14.81,50.96,52.77,202.64,-999999
2005,1,0.72,19.01,45.02,68.71,0,0.1,0,120.97,140.22,0.96,18.99,9.23,48.71,11.4,36.53,23.68,140.22,-999999
2005,2,1.06,18.29,40.26,59.03,0,0.1,0,108.4,113.83,0.93,19,9.89,28.15,10.02,28.96,18.77,113.83,-999999
2005,3,0.91,15.12,24.45,41.74,0,0.1,0,88.38,97.31,0.82,16.58,6.37,23.53,8.84,24.85,17.28,97.31,-999999
2005,4,0.72,8.87,30.49,41.12,0,0.1,0,71.88,81.15,0.46,9.17,6.89,21.19,10.4,20.66,10.63,81.15,-999999
2005,5,61.51,31.87,24.23,56.65,0,0.23,0,82.37,151.37,0.48,1.84,18.15,94.76,31.69,23.95,32.42,151.37,-999999
2005,6,0,0,0,57.77,0,0.3,0,86.62,242.1,0.08,0,14.35,219.75,60.34,32.02,57.77,242.1,-999999
2005,7,0,0,0.04,44.76,0,0.22,0,96.22,212.93,0.02,0,9.2,157.19,64.41,32.99,44.73,212.93,-999999
2005,8,0,0,0,64.59,0,0.38,0,112.78,259.23,0.07,0,16.17,234.58,85.16,37.76,64.59,259.23,-999999
2005,9,0,0,0.1,48.29,0,0.13,0,115.9,230.9,0.07,0,5.59,124.44,50.66,34.88,48.19,230.9,-999999
2005,10,0,0,0,77.71,0,0.56,0,127.27,264.48,0.92,3.27,7.09,171.82,29.68,43.21,77.71,264.48,-999999
2005,11,0,0,0.01,136.57,0,28.26,0,123.48,260.4,1.49,14.1,19.75,265.45,42.34,76.92,136.56,260.4,-999999
2005,12,0,0,0,126.52,0,75.74,0,117.66,250.94,1.65,15.88,32.34,262.94,28.52,101.8,126.52,250.94,-999999
2006,1,0,0,0,103.65,0,71.45,0,142.87,241.65,1.71,18.94,32.36,141.89,41.8,100.2,103.65,241.65,-999999
2006,2,0,0,0.3,38.07,0,24.26,0,125.28,161.86,1.1,18.55,19.53,61.22,15.46,66.18,37.77,161.86,-999999
2006,3,0,0,8.59,21.62,0,4.59,0,82.15,96,1.04,18.27,12.16,42.68,16.25,45.64,13.03,96,-999999
2006,4,,0,19.44,39.72,0,0.1,0,98.01,126.75,0.96,11.29,12.98,47.11,14.82,39.48,20.28,126.75,-999999
2006,5,,0,17.57,43.04,0,0.11,0,101.01,140.79,0.29,4.94,12.82,63.57,23.6,34.57,25.47,140.79,-999999
2006,6,,0,1.7,47.32,0,0.17,0,110.72,245.7,0.17,0,18.45,215.99,59.76,44.91,45.62,245.7,-999999
2006,7,,0,0,56.53,0,0,0,,,,0,16.52,251.99,80.17,46.94,56.53,,-999999
2006,8,,0,0,33.83,0,0,0,,,,0,11.98,135.82,64.24,36.9,33.83,,-999999
2006,9,,0,0.56,40.4,0,0,0,115.98,,,0,8.21,128.69,50.32,34.68,39.84,,-999999
2006,10,,0,0,67.81,0,0,0,107.58,,,0,10.82,203.51,54.54,48.33,67.81,,-999999
2006,11,,0,0,104.05,0,0,0,114.97,,,,18.74,226.2,47.67,79.15,104.05,,-999999
2006,12,,0,0,100.35,0,0,0,141.48,,,,28.63,186.31,39.41,98.83,100.35,,-999999
2007,1,,0,8.49,67.48,0,28.76,0,142,247.28,1.04,18.02,23.51,100.27,29.72,82.82,58.99,247.28,-999999
