1955	4	16.9	0		0	46
1955	5	20.8	0		0	45
1955	6	60.5	0		0	44.7
1955	7	29.6	0		0	44.6
1955	8	39.7	0		0	44.2
1955	9	34.1	0		0	44
1955	10	70.6	0		0	44.3
1955	11	101.2	0		0	45.4
1955	12	59.6	0		0	46.4
1956	1	55.7	0		0	46.8
1956	2	23	0		0	46.6
1956	3	31.2	0		0	46
1956	4	35.7	0		0	45.7
1956	5	61.4	0		0	45.8
1956	6	33.7	0		0	45.7
1956	7	72.4	0		0	45.6
1956	8	43.8	0		0	45.6
1956	9	34.4	0		0	45.3
1956	10	78.1	0		0	45.6
1956	11	94.7	0		0	46.7
1956	12	40.1	0		0	47.3
1957	1	17.4	0		0	46.8
1957	2	11.7	0		0	45.9
1957	3	9.8	0		0	44.9
1957	4	9.8	0		0	43.9
1957	5	37.8	0		0	44
1957	6	38.3	0		0	43.9
1957	7	62.2	0		0	44
1957	8	74.4	0		0	44
1957	9	49.3	0		0	44.5
1957	10	76.1	0		0	45
1957	11	114.4	0		0	46.4
1957	12	77.9	0		0	47.8
1958	1	29.8	0		0	48
1958	2	17.1	0		0	47.2
1958	3	15.1	0		0	46.1
1958	4	16.7	0		0	44.9
1958	5	48.5	0		0	44.3
1958	6	95.1	0		0	44.8
1958	7	134.1	0		0	46.6
1958	8	61.8	0		0	47.9
1958	9	46.5	0		0	47.7
1958	10	88.3	0		0	47.9
1958	11	110	0		0	49.2
1958	12	46.5	0		0	50
1959	1	25.2	0		0	49.5
1959	2	19.1	0		0	48.7
1959	3	17	0		0	47.7
1959	4	98.8	0		0	47.6
1959	5	77.9	0		0	48.3
1959	6	81.7	0		0	48.7
1959	7	80.5	0		0	49.1
1959	8	51.8	0		0	49.2
1959	9	102.2	0		0	49.6
1959	10	96.8	0		0	50.6
1959	11	111.1	0		0	51.6
1959	12	78.9	0		0	52.5
1960	1	37.2	0		0	52.6
1960	2	17.3	0		0	51.7
1960	3	17	0		0	50.4
1960	4	18.6	0		0	49
1960	5	16.5	0		0	47.6
1960	6	67.4	0		0	46.8
