Volumen,Area
0,0
3500000,1750000
7000000,1750000
10500000,1750000
14000000,1750000
17500000,1750000
21000000,1750000
24500000,1750000
28000000,1750000
31500000,1750000
35000000,1750000
38500000,1750000
42000000,1750000
45500000,1750000
49000000,1750000
52500000,1750000
55000000,1718750
