Recorder,diasdelmes_recorder,Generacion_Cipreses,Generacion_CentralIsla,Generacion_CentralCurrilinque,Generacion_CentralLomaAlta,Generacion_CentralPehuenche,Generacion_CentralChiburgo,Generacion_CentralColbun,Generacion_CentralMachicura,Generacion_CentralSanIgnacio,Deficit_Melado,Deficit_ParticularesRiberaSur,Deficit_ParticularesRiberaNorte,Deficit_CooperativaDeRiego,Deficit_AsociacionCanalMaule,Deficit_AsociacionMauleSur,Deficit_SORPAM,Deficit_GarzasySuizas,Vulnerabilidad,Caudal_Remanente_mensual,segundosdelmes_recorder,EventosFalla_AsociacionCanalMaule,EventosFalla_AsociacionMauleSur,EventosFalla_SORPAM,EventosFalla_CooperativaDeRiego,EventosFalla_ParticularesRiberaNorte,EventosFalla_ParticularesRiberaSur,uno_recorder,TasaDeDescuento,BeneficiosTotales
Sep-20,0.033333,440.4885803,850.9695332,1105.87966,602.1730294,3211.6854,211.7390698,831.5522536,181.1907605,7.422807289,0,0,0,0,0,0,0,1641.00591,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6994116671
Oct-20,0.032258,298.6298914,913.6645987,1187.355195,569.619209,3161.827645,369.499536,1996.761841,422.7784413,17.31988367,198391.6617,0,0,0,0,0,0,2609.346139,1641.00591,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6992986421
Nov-20,0.033333,219.4732728,883.5563708,1148.227969,511.9383967,5007.248499,369.499536,2568.545778,543.5722816,22.26842187,341795.2964,0,0,0,0,0,0,4923.01773,201001.0078,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6494836226
Dec-20,0.032258,164.9917153,862.8336167,1121.297661,480.2593805,3653.671616,369.499536,2854.114058,603.9692018,24.74269096,388953.161,0,0,0,0,0,0,3727.637341,346718.3142,0,1.57E-05,0,0,0,0,0,0,0.9999,0.097222188,6345537086
Jan-21,0.032258,143.745791,854.7524588,1110.795771,471.750459,2798.63025,369.499536,2801.293325,603.9692018,24.74269096,392187.977,0,0,0,0,0,0,3727.637341,392680.7984,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6308918039
Feb-21,0.035714,123.7248804,749.9640058,974.6176656,411.8782462,1824.920085,369.499536,2441.718294,543.5722816,22.26842187,397502.6745,0,0,0,-4.66E-10,0,0,8396.274621,395915.6144,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6303219431
Mar-21,0.032258,100.9078736,494.4806603,642.6036225,276.8797206,1320.043728,369.499536,1558.441902,362.3815211,14.84561458,233348.4995,0,0,0,0,0,0,2236.582405,405898.9491,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6287951322
Apr-21,0.033333,110.6859469,460.1054997,597.9312934,267.3813048,1302.332556,282.3187598,1828.113795,443.2877568,122.3671046,150125.2638,0,0,0,2.33E-10,0,0,2188.00788,235585.0819,2216616.802,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6308986735
May-21,0.032258,346.0283054,931.693189,1210.784296,646.9593392,4306.474733,141.1593799,479.0675183,120.7938404,4.948538193,0,0,0,0,-4.66E-10,0,0,745.5274682,152313.2717,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6353139611
Jun-21,0.033333,284.9609221,710.1555101,922.884432,483.2125157,2559.312992,141.1593799,7529.16915,1729.093693,850.4752032,0,0,0,0,-1.16E-10,0,0,1094.00394,745.5274682,17674680.86,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6994116671
Jul-21,0.032258,632.4997105,1040.656236,1352.387506,726.161842,5887.835151,141.1593799,478.9292774,120.7938404,4.948538193,0,0,0,0,-4.66E-10,0,0,745.5274682,1094.00394,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6992986421
Aug-21,0.032258,370.1659832,850.3414278,1105.063404,564.8801142,2839.853573,141.1593799,548.0117376,120.7938404,4.948538193,0,0,0,0,-4.66E-10,0,0,745.5274682,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6994116671
Sep-21,0.033333,343.7916287,752.1266975,977.4281972,500.209103,2592.846964,211.7390698,848.3664981,181.1907605,7.422807289,20904.79908,0,0,0,0,0,0,1641.00591,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6994116671
Oct-21,0.032258,355.8789981,793.7557623,1031.527356,525.656817,2738.681664,369.499536,2013.323818,422.7784413,17.31988367,183451.3737,0,0,0,4.66E-10,0,0,2609.346139,22545.80499,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6874189014
Nov-21,0.033333,250.3370069,895.2957851,1163.483956,530.9399487,3945.908652,369.499536,2587.640658,543.5722816,22.26842187,329186.5988,0,0,0,0,0,0,4923.01773,186060.7198,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6532435556
Dec-21,0.032258,195.7197264,874.521407,1136.486559,494.3193206,3923.092727,369.499536,2857.417683,603.9692018,24.74269096,382934.4506,0,0,0,0,0,0,3727.637341,334109.6166,0,1.57E-05,0,0,0,0,0,0,0.9999,0.091719045,6369421244
Jan-22,0.032258,159.906356,860.8993355,1118.783961,474.3096158,3021.668214,369.499536,2815.099475,603.9692018,24.74269096,392816.3642,0,0,0,0,0,0,3727.637341,386662.088,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6319520889
Feb-22,0.035714,147.6111449,799.6158268,1039.142818,439.0060285,2039.899588,369.499536,2463.563957,543.5722816,22.26842187,395493.6153,0,0,0,-4.66E-10,0,0,8396.274621,396544.0016,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6302112434
Mar-22,0.032258,114.3129089,503.2957935,654.0593516,280.5628202,1328.526849,369.499536,1582.663373,362.3815211,14.84561458,233298.4739,0,0,0,0,0,0,2236.582405,403889.8899,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6291503285
Apr-22,0.033333,130.1404264,458.5706283,595.9366474,267.0117201,1321.571655,282.3187598,2919.629655,693.5484294,261.9150188,135261.5262,0,0,0,0,0,0,2188.00788,235535.0563,4966898.42,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6309133614
May-22,0.032258,126.7909204,436.5637307,567.3375267,259.3211036,1286.870907,141.1593799,479.0675183,120.7938404,4.948538193,45725.12117,0,0,0,0,0,0,745.5274682,137449.5341,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6416490141
Jun-22,0.033333,134.8441584,359.1859548,466.7810376,223.4759512,1129.805793,141.1593799,1375.541581,342.4566198,128.5499742,43313.31032,0,0,0,0,0,0,1094.00394,46470.64863,2436000.277,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6591358786
Jul-22,0.032258,406.6489544,954.7510248,1240.749166,676.7176012,3669.34602,141.1593799,478.9292774,120.7938404,4.948538193,0,0,0,0,9.31E-10,0,0,745.5274682,44407.31426,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6623776300
Aug-22,0.032258,511.30549,623.351927,810.0786108,513.0070716,2930.875445,141.1593799,8519.01047,1965.577799,850.4752032,0,0,0,0,0,0,0,745.5274682,745.5274682,20273562.59,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6994116671
Sep-22,0.033333,376.1758623,809.9768305,1052.607487,561.3136062,2862.488304,211.7390698,718.7294083,181.1907605,7.422807289,1518.367082,0,0,0,0,0,0,1641.00591,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6994116671
Oct-22,0.032258,411.7558491,921.2181036,1197.171372,616.0921276,3233.832696,369.499536,1779.294309,422.7784413,17.31988367,149498.7657,0,0,0,0,0,0,2609.346139,3159.372992,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6984357873
Nov-22,0.033333,343.7430489,930.8239626,1209.654691,585.6467057,4775.152805,369.499536,2319.208234,543.5722816,22.26842187,247860.0932,0,0,0,0,0,0,4923.01773,152108.1118,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6617882057
Dec-22,0.032258,327.5704642,924.6725141,1201.66056,577.1558825,5434.617476,369.499536,2598.29507,603.9692018,24.74269096,310736.7098,0,0,0,0,0,0,3727.637341,252783.111,0,1.57E-05,0,0,0,0,0,0,0.9999,0.086527401,6523474832
Jan-23,0.032258,211.671448,880.5888474,1144.371517,502.1576323,4922.848344,369.499536,2614.210704,603.9692018,24.74269096,377199.305,0,0,0,0,0,0,3727.637341,314464.3472,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6446707909
Feb-23,0.035714,183.1500642,869.7403759,1130.273358,482.9966985,2661.83003,369.499536,2320.84216,543.5722816,22.26842187,387359.7465,0,0,0,0,0,0,8396.274621,380926.9424,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6329624198
Mar-23,0.032258,162.8166399,757.5904691,984.5286558,426.1297832,2030.871159,369.499536,1480.933323,362.3815211,14.84561458,217336.7651,0,0,0,0,0,0,2236.582405,395756.0211,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6305883745
Apr-23,0.033333,230.0651839,757.8373607,984.8495044,465.3336075,2348.381086,282.3187598,959.7563455,241.5876807,9.897076385,69511.81744,0,0,0,0,0,0,2188.00788,219573.3475,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6355998473
May-23,0.032258,188.1362606,746.8759631,970.6045918,444.9429819,2206.393335,141.1593799,489.933566,120.7938404,4.948538193,13452.90677,0,0,0,0,0,0,745.5274682,71699.82532,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6696721066
Jun-23,0.033333,284.0158686,683.5074006,888.2538123,443.8543628,2301.053544,141.1593799,508.3548638,120.7938404,4.948538193,0,0,0,0,0,0,0,1094.00394,14198.43423,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6875620227
Jul-23,0.032258,418.7132859,686.0733586,891.5884096,495.5894955,2637.958764,141.1593799,528.6146552,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,1094.00394,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6992986421
Aug-23,0.032258,444.8707839,625.7541881,813.2004754,514.234122,2744.39766,141.1593799,551.8046386,120.7938404,4.948538193,0,0,0,0,0,0,0,745.5274682,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6994116671
Sep-23,0.033333,524.0213926,626.9015159,814.6914882,514.8201652,2688.804133,211.7390698,855.1754908,181.1907605,7.422807289,0,0,0,0,0,0,0,1641.00591,745.5274682,0,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6994116671
Oct-23,0.032258,471.0187662,690.1347529,896.8664051,521.4155894,2627.296029,369.499536,2515.849887,519.2115616,71.09197924,108417.2937,0,0,0,0,0,0,2609.346139,1641.00591,1059767.943,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6992986421
Nov-23,0.033333,374.8612013,942.6601481,1225.036436,606.742308,5068.334452,369.499536,3389.032088,699.3835683,109.1503911,272420.1572,0,0,0,0,0,0,4923.01773,111026.6398,1712314.256,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6721269344
Dec-23,0.032258,354.6770223,934.9828386,1215.059369,589.7160969,5737.568236,369.499536,3490.009766,720.0480136,89.46942524,314436.3578,0,0,0,0,0,0,3727.637341,277343.175,1275667.562,1.57E-05,0,0,0,0,0,0,0.9999,0.081629624,6476951673
