Date,Average
2036-12-01,38.26816192
2037-01-01,92.89781047
2037-02-01,92.89781047
2037-03-01,92.89781047
2037-04-01,67.26756997
2037-05-01,67.26756997
2037-06-01,67.26756997
2037-07-01,50.60562723
2037-08-01,50.60562723
2037-09-01,50.60562723
2037-10-01,37.69039991
2037-11-01,37.69039991
2037-12-01,37.69039991
2038-01-01,96.00364491
2038-02-01,96.00364491
2038-03-01,96.00364491
2038-04-01,68.63679583
2038-05-01,68.63679583
2038-06-01,68.63679583
2038-07-01,50.54608384
2038-08-01,50.54608384
2038-09-01,50.54608384
2038-10-01,37.19102768
2038-11-01,37.19102768
2038-12-01,37.19102768
2039-01-01,98.64988632
2039-02-01,98.64988632
2039-03-01,98.64988632
2039-04-01,69.89232444
2039-05-01,69.89232444
2039-06-01,69.89232444
2039-07-01,51.17081329
2039-08-01,51.17081329
2039-09-01,51.17081329
2039-10-01,37.16323288
2039-11-01,37.16323288
2039-12-01,37.16323288
2040-01-01,103.6184063
2040-02-01,103.6184063
2040-03-01,103.6184063
2040-04-01,70.84304022
2040-05-01,70.84304022
2040-06-01,70.84304022
2040-07-01,50.19004882
2040-08-01,50.19004882
2040-09-01,50.19004882
2040-10-01,36.95857807
2040-11-01,36.95857807
2040-12-01,36.95857807
2041-01-01,108.6845666
2041-02-01,108.6845666
2041-03-01,108.6845666
2041-04-01,70.88851054
2041-05-01,70.88851054
2041-06-01,70.88851054
2041-07-01,47.44502267
2041-08-01,47.44502267
2041-09-01,47.44502267
2041-10-01,34.80423299
2041-11-01,34.80423299
2041-12-01,34.80423299
2042-01-01,109.2796723
2042-02-01,109.2796723
2042-03-01,109.2796723
2042-04-01,71.31851465
2042-05-01,71.31851465
2042-06-01,71.31851465
2042-07-01,47.40137707
2042-08-01,47.40137707
2042-09-01,47.40137707
2042-10-01,34.90617476
2042-11-01,34.90617476
2042-12-01,34.90617476
2043-01-01,109.7214718
2043-02-01,109.7214718
2043-03-01,109.7214718
2043-04-01,71.45368603
2043-05-01,71.45368603
2043-06-01,71.45368603
2043-07-01,47.78233995
2043-08-01,47.78233995
2043-09-01,47.78233995
2043-10-01,35.00397638
2043-11-01,35.00397638
2043-12-01,35.00397638
2044-01-01,110.4218646
2044-02-01,110.4218646
2044-03-01,110.4218646
2044-04-01,71.27507152
2044-05-01,71.27507152
2044-06-01,71.27507152
2044-07-01,47.72869221
2044-08-01,47.72869221
2044-09-01,47.72869221
2044-10-01,34.33418821
2044-11-01,34.33418821
2044-12-01,34.33418821
2045-01-01,111.3572047
2045-02-01,111.3572047
2045-03-01,111.3572047
2045-04-01,71.3176165
2045-05-01,71.3176165
2045-06-01,71.3176165
2045-07-01,48.30256899
2045-08-01,48.30256899
2045-09-01,48.30256899
2045-10-01,33.98325526
2045-11-01,33.98325526
2045-12-01,33.98325526
2046-01-01,111.9720855
2046-02-01,111.9720855
2046-03-01,111.9720855
2046-04-01,71.70501045
2046-05-01,71.70501045
2046-06-01,71.70501045
2046-07-01,47.97426089
2046-08-01,47.97426089
2046-09-01,47.97426089
2046-10-01,34.08307247
2046-11-01,34.08307247
2046-12-01,34.08307247
2047-01-01,112.0827296
2047-02-01,112.0827296
2047-03-01,112.0827296
2047-04-01,71.03186097
2047-05-01,71.03186097
2047-06-01,71.03186097
2047-07-01,47.36144208
2047-08-01,47.36144208
2047-09-01,47.36144208
2047-10-01,33.69263695
2047-11-01,33.69263695
2047-12-01,33.69263695
2048-01-01,111.4748611
2048-02-01,111.4748611
2048-03-01,111.4748611
2048-04-01,70.76607336
2048-05-01,70.76607336
2048-06-01,70.76607336
2048-07-01,47.18177316
2048-08-01,47.18177316
2048-09-01,47.18177316
2048-10-01,33.81867147
2048-11-01,33.81867147
2048-12-01,33.81867147
2049-01-01,111.4668569
2049-02-01,111.4668569
2049-03-01,111.4668569
2049-04-01,71.60678734
2049-05-01,71.60678734
2049-06-01,71.60678734
2049-07-01,46.34806768
2049-08-01,46.34806768
2049-09-01,46.34806768
2049-10-01,33.9929324
2049-11-01,33.9929324
2049-12-01,33.9929324
2050-01-01,108.3203907
2050-02-01,108.3203907
2050-03-01,108.3203907
2050-04-01,72.29639933
2050-05-01,72.29639933
2050-06-01,72.29639933
2050-07-01,46.71440389
2050-08-01,46.71440389
2050-09-01,46.71440389
2050-10-01,34.37952003
2050-11-01,34.37952003
2050-12-01,34.37952003
2051-01-01,107.5480793
2051-02-01,107.5480793
2051-03-01,107.5480793
2051-04-01,72.81928073
2051-05-01,72.81928073
2051-06-01,72.81928073
2051-07-01,46.61156537
2051-08-01,46.61156537
2051-09-01,46.61156537
2051-10-01,35.01782947
2051-11-01,35.01782947
2051-12-01,35.01782947
2052-01-01,107.4360786
2052-02-01,107.4360786
2052-03-01,107.4360786
2052-04-01,73.75895483
2052-05-01,73.75895483
2052-06-01,73.75895483
2052-07-01,45.46201722
2052-08-01,45.46201722
2052-09-01,45.46201722
2052-10-01,34.15884391
2052-11-01,34.15884391
2052-12-01,34.15884391
2053-01-01,107.4360786
2053-02-01,107.4360786
2053-03-01,107.4360786
2053-04-01,73.75895483
2053-05-01,73.75895483
2053-06-01,73.75895483
2053-07-01,45.46201722
2053-08-01,45.46201722
2053-09-01,45.46201722
2053-10-01,34.15884391
2053-11-01,34.15884391
2053-12-01,34.15884391
2054-01-01,107.4360786
2054-02-01,107.4360786
2054-03-01,107.4360786
2054-04-01,73.75895483
2054-05-01,73.75895483
2054-06-01,73.75895483
2054-07-01,45.46201722
2054-08-01,45.46201722
2054-09-01,45.46201722
2054-10-01,34.15884391
2054-11-01,34.15884391
2054-12-01,34.15884391
2055-01-01,107.4360786
2055-02-01,107.4360786
2055-03-01,107.4360786
2055-04-01,73.75895483
2055-05-01,73.75895483
2055-06-01,73.75895483
2055-07-01,45.46201722
2055-08-01,45.46201722
2055-09-01,45.46201722
2055-10-01,34.15884391
2055-11-01,34.15884391
2055-12-01,34.15884391
2056-01-01,107.4360786
2056-02-01,107.4360786
2056-03-01,107.4360786
2056-04-01,73.75895483
2056-05-01,73.75895483
2056-06-01,73.75895483
2056-07-01,45.46201722
2056-08-01,45.46201722
2056-09-01,45.46201722
2056-10-01,34.15884391
2056-11-01,34.15884391
2056-12-01,34.15884391
2057-01-01,107.4360786
2057-02-01,107.4360786
2057-03-01,107.4360786
2057-04-01,73.75895483
2057-05-01,73.75895483
2057-06-01,73.75895483
2057-07-01,45.46201722
2057-08-01,45.46201722
2057-09-01,45.46201722
2057-10-01,34.15884391
2057-11-01,34.15884391
2057-12-01,34.15884391
2058-01-01,107.4360786
2058-02-01,107.4360786
2058-03-01,107.4360786
2058-04-01,73.75895483
2058-05-01,73.75895483
2058-06-01,73.75895483
2058-07-01,45.46201722
2058-08-01,45.46201722
2058-09-01,45.46201722
2058-10-01,34.15884391
2058-11-01,34.15884391
2058-12-01,34.15884391
2059-01-01,107.4360786
2059-02-01,107.4360786
