Volumen,Altura
0,616
14300000,617
24100000,618
29700000,619
31800000,620.5
33840000,622.5
36560000,624.5
39920000,626.5
43880000,628.5
48400000,630.5
53450000,632.5
58990000,634.5
64990000,636.5
71410000,638.5
78210000,640.5
85370000,642.5
92830000,644.5
100570000,646.5
108550000,648.5
116730000,650.5
125080000,652.5
133570000,654.5
142150000,656.5
