;Year,Month,Armerillo
1994,8,8.4
1994,9,13.0
1994,10,12.3
1994,11,16.4
1994,12,19.5
1995,1,20.4
1995,2,20.0
1995,3,15.4
1995,4,12.9
1995,5,10.8
1995,6,8.1
1995,7,4.0
1995,8,6.6
1995,9,11.4
1995,10,13.3
1995,11,16.2
1995,12,21.1
1996,1,20.2
1996,2,20.6
1996,3,18.3
1996,4,12.4
1996,5,10.5
1996,6,8.4
1996,7,10.1
1996,8,9.0
1996,9,11.7
1996,10,13.5
1996,11,17.8
1996,12,19.7
1997,1,22.0
1997,2,18.1
1997,3,18.2
1997,4,14.5
1997,5,9.8
1997,6,7.0
1997,7,9.1
1997,8,8.3
1997,9,9.4
1997,10,10.0
1997,11,13.8
1997,12,17.5
1998,1,20.4
1998,2,19.4
1998,3,17.6
1998,4,12.6
1998,5,11.7
1998,6,7.8
1998,7,7.3
1998,8,7.0
1998,9,9.1
1998,10,15.5
1998,11,16.8
1998,12,19.3
1999,1,20.0
1999,2,21.4
1999,3,15.1
1999,4,12.4
1999,5,9.5
1999,6,7.5
1999,7,7.3
1999,8,10.2
1999,9,10.1
1999,10,13.3
1999,11,18.1
1999,12,21.6
2000,1,22.1
2000,2,20.0
2000,3,17.3
2000,4,14.4
2000,5,9.8
2000,6,7.4
2000,7,7.6
2000,8,8.9
2000,9,9.2
2000,10,14.2
2000,11,16.6
2000,12,20.3
2001,1,20.8
2001,2,21.3
2001,3,18.5
2001,4,13.8
2001,5,8.9
2001,6,8.4
2001,7,7.9
2001,8,10.2
2001,9,10.3
