Year,Month,Armerillo
2008,3,21.40306087
2008,4,16.86767581
2008,5,13.17910624
2008,6,9.967823518
2008,7,10.84546588
2008,8,9.79958619
2008,9,12.02017917
2008,10,13.85705341
2008,11,15.93830844
2008,12,17.66753124
2009,1,16.35290323
2009,2,19.25649155
2009,3,22.02460829
2009,4,24.177889399999998
2009,5,23.16239631
2009,6,20.07092166
2009,7,16.56263441
2009,8,11.74165899
2009,9,8.874301075
2009,10,7.45797235
2009,11,9.11359447
2009,12,8.513348694
2010,1,12.44
2010,2,11.86913523
2010,3,16.74880184
2010,4,19.52143779
2010,5,18.25168203
2010,6,18.61124424
2010,7,13.72263441
2010,8,10.82714286
2010,9,8.894301075
2010,10,6.196682028
2010,11,8.571658986000001
2010,12,9.950015361
2011,1,12.53677419
2011,2,14.58982488
2011,3,15.75686636
2011,4,19.30853456
2011,5,19.48382488
2011,6,17.390276500000002
2011,7,13.85930108
2011,8,11.91262673
2011,9,8.604301075
2011,10,6.728348694
2011,11,8.226497696000001
2011,12,10.80001536
2012,1,20.8
2012,2,20.4
2012,3,19.3
2012,4,14.4
2012,5,11.9
2012,6,9.6
2012,7,7.6
2012,8,8.5
2012,9,12.1
2012,10,12.3
2012,11,16.8
2012,12,16.5
2013,1,20.9
2013,2,19.7
2013,3,16.7
2013,4,14.0
2013,5,10.1
2013,6,9.2
2013,7,8.2
2013,8,9.2
2013,9,10.4
2013,10,13.6
2013,11,16.4
2013,12,20.2
2014,1,21.0
2014,2,19.6
2014,3,17.3
2014,4,12.4
2014,5,10.7
2014,6,7.3
2014,7,7.9
2014,8,10.0
2014,9,10.5
2014,10,14.6
2014,11,15.9
2014,12,18.4
2015,1,21.4
2015,2,20.4
2015,3,19.4
2015,4,15.1
2015,5,10.5
2015,6,9.1
2015,7,8.3
2015,8,9.5
2015,9,10.9
2015,10,11.9
2015,11,15.4
2015,12,19.0
2016,1,20.6
2016,2,20.6
2016,3,18.8
2016,4,13.3
2016,5,12.0
2016,6,8.2
2016,7,8.1
2016,8,10.2
2016,9,13.3
2016,10,13.8
2016,11,17.5
2016,12,18.6
2017,1,22.1
2017,2,21.3
2017,3,17.8
2017,4,13.5
2017,5,9.9
2017,6,7.6
2017,7,8.1
2017,8,7.9
2017,9,11.0
2017,10,12.1
2017,11,16.2
2017,12,19.3
2018,1,20.4
2018,2,20.8
2018,3,17.1
2018,4,13.6
2018,5,10.7
2018,6,7.2
2018,7,7.9
2018,8,9.5
2018,9,11.0
2018,10,12.9
2018,11,16.4
2018,12,18.8
2019,1,12.53677419
2019,2,14.58982488
2019,3,15.75686636
2019,4,19.30853456
2019,5,19.48382488
2019,6,17.390276500000002
2019,7,13.85930108
2019,8,11.91262673
2019,9,8.604301075
2019,10,6.728348694
2019,11,8.226497696000001
2019,12,10.80001536
2020,1,20.8
2020,2,20.4
2020,3,19.3
2020,4,14.4
2020,5,11.9
2020,6,9.6
2020,7,7.6
2020,8,8.5
2020,9,12.1
2020,10,12.3
2020,11,16.8
2020,12,16.5
2021,1,20.9
2021,2,19.7
2021,3,16.7
2021,4,14.0
2021,5,10.1
2021,6,9.2
2021,7,8.2
2021,8,9.2
2021,9,10.4
2021,10,13.6
2021,11,16.4
